"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","24-158","CLE","@","CHI",-2,0,"3:11",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,-8,0
2,2,"2015-10-28","24-159","CLE","@","MEM",30,0,"15:09",4,5,0.8,1,1,1,3,4,0.75,0,1,1,1,0,1,1,2,12,9.6,13,16.8
3,3,"2015-10-30","24-161","CLE","","MIA",10,0,"9:12",2,4,0.5,0,1,0,0,0,NA,0,0,0,2,0,0,0,1,4,3,2,7
4,4,"2015-11-02","24-164","CLE","@","PHI",7,0,"17:03",1,3,0.333,0,0,NA,2,4,0.5,0,2,2,0,0,0,0,2,4,1.3,-8,6.5
5,5,"2015-11-04","24-166","CLE","","NYK",10,0,"10:09",0,0,NA,0,0,NA,1,4,0.25,0,0,0,0,0,0,0,1,1,-0.6,-1,1
6,6,"2015-11-06","24-168","CLE","","PHI",6,1,"20:13",0,1,0,0,0,NA,0,0,NA,0,1,1,1,1,0,1,2,0,-0.5,16,4.3
7,7,"2015-11-08","24-170","CLE","","IND",4,0,"8:53",2,5,0.4,1,3,0.333,0,0,NA,0,0,0,0,0,0,0,0,5,2.3,-7,5.5
10,8,"2015-11-14","24-176","CLE","@","MIL",-3,0,"3:23",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,3,0
11,9,"2015-11-17","24-179","CLE","@","DET",-5,0,"2:24",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,5,0
12,10,"2015-11-19","24-181","CLE","","MIL",15,0,"17:17",1,2,0.5,0,1,0,5,6,0.833,0,3,3,4,0,0,2,2,7,6.5,-3,15.8
13,11,"2015-11-21","24-183","CLE","","ATL",12,0,"19:49",3,9,0.333,1,3,0.333,1,2,0.5,0,4,4,0,2,0,2,3,8,2.5,-12,16.5
14,12,"2015-11-23","24-185","CLE","","ORL",14,0,"27:17",1,8,0.125,1,4,0.25,1,2,0.5,1,2,3,2,2,1,2,3,4,0.6,-6,16.3
15,13,"2015-11-25","24-187","CLE","@","TOR",-4,1,"20:43",2,10,0.2,2,4,0.5,0,0,NA,0,3,3,2,1,0,2,2,6,0.3,-5,14.8
16,14,"2015-11-27","24-189","CLE","@","CHO",5,0,"0:08",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
17,15,"2015-11-28","24-190","CLE","","BRK",2,0,"0:59",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,3,0
18,16,"2015-12-01","24-193","CLE","","WAS",-12,0,"1:09",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
20,17,"2015-12-05","24-197","CLE","@","MIA",-15,0,"32:02",3,8,0.375,1,3,0.333,4,4,1,0,0,0,1,2,0,2,3,11,6.1,1,16
21,18,"2015-12-08","24-200","CLE","","POR",5,0,"34:32",2,3,0.667,1,2,0.5,2,4,0.5,0,1,1,0,1,0,0,3,7,5,7,10.8
22,19,"2015-12-11","24-203","CLE","@","ORL",35,1,"23:12",1,5,0.2,1,2,0.5,3,6,0.5,1,2,3,2,0,0,1,3,6,2.2,16,12.8
23,20,"2015-12-15","24-207","CLE","@","BOS",12,0,"0:16",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
24,21,"2015-12-17","24-209","CLE","","OKC",4,0,"13:25",2,3,0.667,1,2,0.5,0,0,NA,0,1,1,0,1,0,2,4,5,1.4,13,7.8
25,22,"2015-12-20","24-212","CLE","","PHI",22,0,"12:41",1,4,0.25,0,2,0,1,2,0.5,0,1,1,1,0,0,0,0,3,1.2,-6,5.8
28,23,"2015-12-26","24-218","CLE","@","POR",-29,0,"12:00",2,4,0.5,0,0,NA,2,4,0.5,0,0,0,2,1,0,0,0,6,5.6,2,11
30,24,"2015-12-29","24-221","CLE","@","DEN",6,0,"1:52",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
31,25,"2016-01-02","24-225","CLE","","ORL",25,0,"6:51",1,3,0.333,0,0,NA,0,0,NA,0,2,2,0,0,0,1,1,2,-0.5,-4,4
32,26,"2016-01-04","24-227","CLE","","TOR",22,0,"1:46",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
33,27,"2016-01-06","24-229","CLE","@","WAS",6,0,"0:17",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
