"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","25-068","SAC","","LAL",18,0,"3:49",1,2,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,2,2,-3,4.8
4,2,"2015-11-03","25-072","SAC","","MEM",-14,0,"3:16",2,2,1,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,4,4.1,5,5.5
5,3,"2015-11-04","25-073","SAC","@","PHO",-21,0,"5:05",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,2,0,0,0,0,3,3.4,-3,6.5
6,4,"2015-11-06","25-075","SAC","","HOU",-6,0,"15:09",3,4,0.75,2,2,1,0,0,NA,0,0,0,2,0,0,0,0,8,7.8,10,12
10,5,"2015-11-13","25-082","SAC","","BRK",2,0,"4:17",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,-4,0
11,6,"2015-11-15","25-084","SAC","","TOR",6,0,"4:44",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,3,2.3,0,3.5
17,7,"2015-11-27","25-096","SAC","","MIN",-10,0,"1:15",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,2,0.7,2,1.5
18,8,"2015-11-28","25-097","SAC","@","GSW",-19,0,"9:23",3,4,0.75,3,3,1,0,0,NA,0,1,1,2,0,0,2,1,9,6.7,9,13.8
19,9,"2015-11-30","25-099","SAC","","DAL",14,0,"19:37",2,3,0.667,2,3,0.667,2,2,1,0,1,1,1,0,0,0,1,8,7.3,4,11.8
20,10,"2015-12-03","25-102","SAC","","BOS",-17,0,"23:10",2,4,0.5,0,1,0,4,6,0.667,0,2,2,0,1,0,1,2,8,5,-1,12
25,11,"2015-12-15","25-114","SAC","","HOU",10,0,"21:17",1,4,0.25,0,2,0,4,4,1,0,1,1,0,0,0,1,0,6,2.9,-8,6.8
26,12,"2015-12-18","25-117","SAC","@","MIN",-4,0,"6:56",0,1,0,0,1,0,0,0,NA,0,1,1,1,0,0,0,0,0,0.3,6,2.8
28,13,"2015-12-21","25-120","SAC","@","WAS",-14,0,"10:32",1,3,0.333,0,1,0,1,1,1,0,1,1,0,1,0,1,0,3,1.6,-8,5.8
29,14,"2015-12-23","25-122","SAC","@","IND",2,0,"4:35",0,1,0,0,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,0.3,7,2
30,15,"2015-12-27","25-126","SAC","","POR",-4,0,"8:52",0,2,0,0,1,0,1,2,0.5,0,1,1,0,1,0,1,1,1,-0.9,4,3.8
31,16,"2015-12-28","25-127","SAC","@","GSW",-19,0,"20:09",1,6,0.167,0,3,0,5,5,1,1,1,2,3,1,0,0,0,7,7.3,-9,16
33,17,"2016-01-02","25-132","SAC","","PHO",23,0,"5:40",2,2,1,0,0,NA,0,0,NA,1,0,1,1,0,0,1,0,4,3.8,1,6.3
35,18,"2016-01-05","25-135","SAC","@","DAL",-1,0,"36:21",2,7,0.286,2,3,0.667,0,0,NA,1,2,3,2,2,0,1,5,6,3.6,9,17.3
36,19,"2016-01-07","25-137","SAC","","LAL",3,0,"10:01",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,2,0,-3.2,-11,-0.5
37,20,"2016-01-09","25-139","SAC","","GSW",-12,0,"7:37",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-3,1.5
38,21,"2016-01-13","25-143","SAC","","NOP",-12,0,"13:47",2,2,1,0,0,NA,0,0,NA,0,3,3,1,0,0,1,1,4,3.6,10,8.8
41,22,"2016-01-20","25-150","SAC","@","LAL",19,0,"2:05",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,-1,0
45,23,"2016-01-26","25-156","SAC","@","POR",-15,0,"6:43",2,4,0.5,1,2,0.5,2,3,0.667,0,1,1,0,1,0,1,0,7,4.9,4,10.3
51,24,"2016-02-07","25-168","SAC","@","BOS",-9,0,"3:57",1,1,1,1,1,1,0,0,NA,0,0,0,0,1,1,0,1,3,4,-4,7.5
52,25,"2016-02-08","25-169","SAC","@","CLE",-20,0,"4:38",0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,-1.2,-2,2
54,26,"2016-02-19","25-180","SAC","","DEN",6,0,"1:11",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,2,3.3
56,27,"2016-02-24","25-185","SAC","","SAS",-16,0,"6:02",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,2,0.6,-4,2
57,28,"2016-02-26","25-187","SAC","","LAC",-10,0,"25:58",5,9,0.556,3,4,0.75,6,7,0.857,0,4,4,0,1,0,2,4,19,12.9,-1,26.5
