"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
4,1,"2015-11-03","24-111","CHO","","CHI",25,0,"5:41",1,3,0.333,1,2,0.5,0,0,NA,0,1,1,0,0,0,1,1,3,0.2,-5,4.3
5,2,"2015-11-05","24-113","CHO","@","DAL",14,0,"2:48",0,2,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-0.8,-4,2.5
6,3,"2015-11-07","24-115","CHO","@","SAS",-20,0,"3:51",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,4,1.5
9,4,"2015-11-13","24-121","CHO","@","CHI",-5,0,"2:03",1,1,1,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,4,3.3,1,4.5
13,5,"2015-11-20","24-128","CHO","","PHI",25,0,"2:22",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,7,0
18,6,"2015-12-02","24-140","CHO","","GSW",-17,0,"8:22",1,5,0.2,1,3,0.333,2,2,1,0,1,1,0,1,0,0,0,5,3.2,9,8.8
20,7,"2015-12-07","24-145","CHO","","DET",20,0,"3:44",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-2,0
21,8,"2015-12-09","24-147","CHO","","MIA",18,0,"8:52",2,4,0.5,1,3,0.333,0,0,NA,0,0,0,1,1,0,0,1,5,4.3,-12,9
22,9,"2015-12-11","24-149","CHO","@","MEM",24,0,"3:31",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,1,0,3,1,-1,3
24,10,"2015-12-16","24-154","CHO","@","ORL",-15,0,"6:40",3,4,0.75,3,3,1,0,0,NA,0,1,1,0,0,0,0,1,9,7.3,5,11.8
25,11,"2015-12-17","24-155","CHO","","TOR",10,0,"12:02",0,2,0,0,1,0,0,0,NA,0,0,0,1,0,0,1,1,0,-2.1,-4,1
27,12,"2015-12-21","24-159","CHO","@","HOU",-7,0,"2:29",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,0,0,0,1,0,3,1,1,3
31,13,"2015-12-30","24-168","CHO","","LAC",-5,0,"1:32",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-5,0
33,14,"2016-01-02","24-171","CHO","","OKC",-19,0,"17:59",1,3,0.333,1,2,0.5,0,0,NA,0,4,4,0,1,0,0,2,3,2.7,-5,10.5
35,15,"2016-01-06","24-175","CHO","@","PHO",-9,0,"23:11",5,9,0.556,3,7,0.429,0,0,NA,0,3,3,2,1,0,0,1,13,11.6,0,23.3
38,16,"2016-01-13","24-182","CHO","","ATL",23,0,"13:59",2,6,0.333,1,4,0.25,0,0,NA,1,0,1,1,1,0,0,1,5,3.6,-3,10.3
39,17,"2016-01-15","24-184","CHO","@","NOP",-2,0,"14:42",2,4,0.5,2,4,0.5,0,0,NA,0,3,3,0,0,0,2,1,6,2.5,-15,9.8
40,18,"2016-01-16","24-185","CHO","","MIL",-13,0,"3:50",1,1,1,1,1,1,0,0,NA,0,2,2,0,0,0,0,0,3,3.3,8,6
41,19,"2016-01-18","24-187","CHO","","UTA",5,0,"13:35",1,4,0.25,1,3,0.333,0,0,NA,0,0,0,0,1,0,1,1,3,0.2,1,5
42,20,"2016-01-20","24-189","CHO","@","OKC",-14,0,"16:55",4,7,0.571,3,5,0.6,0,0,NA,0,2,2,0,0,0,1,1,11,6.9,5,14.5
43,21,"2016-01-22","24-191","CHO","@","ORL",4,0,"32:19",7,15,0.467,3,5,0.6,0,0,NA,2,1,3,2,0,1,1,4,17,10.5,20,26.8
44,22,"2016-01-23","24-192","CHO","","NYK",13,0,"9:08",2,5,0.4,1,3,0.333,0,0,NA,0,0,0,0,0,0,0,4,5,0.7,0,5.5
45,23,"2016-01-25","24-194","CHO","@","SAC",1,0,"31:04",10,15,0.667,8,11,0.727,0,2,0,2,5,7,0,0,0,0,2,28,22.8,-2,40.8
46,24,"2016-01-27","24-196","CHO","@","UTA",-29,0,"22:00",2,7,0.286,0,2,0,1,2,0.5,0,1,1,0,0,0,5,3,5,-5.4,-22,3.8
47,25,"2016-01-29","24-198","CHO","@","POR",-18,0,"8:02",2,2,1,1,1,1,0,0,NA,0,0,0,0,0,0,2,2,5,1.6,-4,4.5
48,26,"2016-01-31","24-200","CHO","@","LAL",19,0,"13:55",4,10,0.4,1,4,0.25,0,0,NA,0,5,5,1,0,0,1,0,9,4.8,5,16.8
53,27,"2016-02-10","24-210","CHO","@","IND",22,0,"1:37",1,1,1,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,2,2.4,0,3.5
56,28,"2016-02-24","24-224","CHO","@","CLE",-11,0,"4:00",2,2,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,5,4.4,9,5.5
59,29,"2016-03-01","24-230","CHO","","PHO",34,0,"12:00",2,6,0.333,2,4,0.5,0,0,NA,0,2,2,1,0,1,0,1,6,4.2,-3,13
60,30,"2016-03-02","24-231","CHO","@","PHI",20,0,"1:45",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,0,0,0,0,0,3,2,0,3.5
64,31,"2016-03-11","24-240","CHO","","DET",15,0,"2:42",1,1,1,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,2,2.4,0,3.5
65,32,"2016-03-12","24-241","CHO","","HOU",16,0,"12:36",2,4,0.5,2,3,0.667,0,0,NA,1,1,2,1,1,0,0,1,6,6.3,10,13
66,33,"2016-03-14","24-243","CHO","","DAL",-11,0,"14:56",2,4,0.5,2,4,0.5,0,0,NA,0,1,1,1,1,1,0,1,6,6.3,-6,13.8
67,34,"2016-03-16","24-245","CHO","","ORL",8,0,"14:54",1,6,0.167,0,5,0,0,0,NA,1,3,4,0,0,0,0,0,2,-0.2,-8,7
68,35,"2016-03-17","24-246","CHO","@","MIA",3,0,"8:11",1,2,0.5,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,3,2.3,-12,4.8
69,36,"2016-03-19","24-248","CHO","","DEN",-8,0,"14:23",1,4,0.25,0,3,0,0,0,NA,0,1,1,2,0,0,1,0,2,0.3,-12,5.8
72,37,"2016-03-25","24-254","CHO","@","DET",-7,0,"9:20",1,5,0.2,1,3,0.333,1,1,1,0,1,1,0,0,0,0,1,4,0.8,19,5.8
73,38,"2016-03-26","24-255","CHO","@","MIL",24,0,"3:15",3,3,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,7,6.1,-1,7.5
74,39,"2016-03-29","24-258","CHO","@","PHI",15,0,"1:16",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-3,2
79,40,"2016-04-08","24-268","CHO","","BRK",14,0,"24:55",6,10,0.6,5,7,0.714,0,0,NA,0,3,3,0,1,0,2,2,17,11.5,1,24.3
80,41,"2016-04-10","24-270","CHO","@","WAS",-15,0,"21:40",2,7,0.286,2,7,0.286,0,0,NA,0,2,2,1,1,0,1,4,6,1.6,-5,12.5
81,42,"2016-04-11","24-271","CHO","@","BOS",14,0,"16:44",4,6,0.667,3,4,0.75,0,0,NA,0,1,1,0,0,0,1,2,11,6.9,-17,13.3
82,43,"2016-04-13","24-273","CHO","","ORL",14,0,"27:26",5,9,0.556,3,7,0.429,0,0,NA,0,3,3,4,1,0,2,1,13,11,3,25.3
