"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-082","TOR","","IND",7,1,"35:52",7,17,0.412,1,2,0.5,10,16,0.625,0,5,5,6,2,0,2,2,25,18.4,0,43.8
2,2,"2015-10-30","26-084","TOR","@","BOS",10,1,"34:45",5,15,0.333,1,4,0.25,12,14,0.857,1,6,7,6,2,0,3,4,23,17.8,13,43.8
3,3,"2015-11-01","26-086","TOR","","MIL",19,1,"37:17",7,13,0.538,0,1,0,1,2,0.5,0,1,1,4,1,1,2,1,15,10.7,25,25.3
4,4,"2015-11-03","26-088","TOR","@","DAL",11,1,"28:23",6,13,0.462,0,0,NA,8,8,1,1,3,4,2,1,0,3,3,20,13.1,12,28.5
5,5,"2015-11-04","26-089","TOR","@","OKC",5,1,"38:35",7,18,0.389,0,0,NA,14,15,0.933,1,4,5,3,2,0,2,1,28,21.4,2,41.8
6,6,"2015-11-06","26-091","TOR","@","ORL",-5,1,"41:23",7,15,0.467,0,1,0,9,12,0.75,3,4,7,2,0,2,2,1,23,17.8,3,37.8
7,7,"2015-11-08","26-093","TOR","@","MIA",-20,1,"35:30",5,14,0.357,0,3,0,6,6,1,0,1,1,3,0,0,6,3,16,3.4,-8,18.8
8,8,"2015-11-10","26-095","TOR","","NYK",-2,1,"38:41",11,23,0.478,0,1,0,7,9,0.778,0,5,5,2,1,0,1,1,29,19,-10,39.8
9,9,"2015-11-11","26-096","TOR","@","PHI",16,1,"27:24",4,9,0.444,1,1,1,5,6,0.833,2,2,4,2,0,0,0,1,14,11.9,8,22.5
10,10,"2015-11-13","26-098","TOR","","NOP",19,1,"34:54",5,12,0.417,0,1,0,5,6,0.833,0,6,6,11,1,0,2,1,15,16.3,20,41.5
11,11,"2015-11-15","26-100","TOR","@","SAC",-6,1,"36:32",9,22,0.409,0,3,0,6,8,0.75,0,4,4,5,5,0,4,0,24,17.1,-12,44.5
12,12,"2015-11-17","26-102","TOR","@","GSW",-5,1,"39:10",9,22,0.409,0,0,NA,10,13,0.769,0,5,5,6,1,0,4,3,28,16.5,-4,43.3
13,13,"2015-11-18","26-103","TOR","@","UTA",-4,1,"34:36",6,15,0.4,0,1,0,2,2,1,0,3,3,6,1,0,2,3,14,8.8,-9,27.8
14,14,"2015-11-20","26-105","TOR","@","LAL",11,1,"33:43",5,12,0.417,1,2,0.5,7,8,0.875,2,2,4,2,1,0,3,2,18,11.8,-6,27
15,15,"2015-11-22","26-107","TOR","@","LAC",11,1,"40:15",4,16,0.25,0,2,0,13,14,0.929,1,5,6,3,0,0,4,2,21,10.5,11,31
16,16,"2015-11-25","26-110","TOR","","CLE",4,1,"40:19",7,16,0.438,1,1,1,5,7,0.714,0,3,3,4,1,1,1,2,20,14.4,-2,33.8
17,17,"2015-11-28","26-113","TOR","@","WAS",2,1,"38:22",8,20,0.4,1,2,0.5,3,4,0.75,0,3,3,2,0,0,4,2,20,6.3,3,25.3
18,18,"2015-11-29","26-114","TOR","","PHO",-5,1,"37:02",11,20,0.55,0,2,0,7,7,1,0,3,3,7,0,1,1,4,29,23.3,-6,44.8
19,19,"2015-12-02","26-117","TOR","@","ATL",10,1,"35:36",7,16,0.438,1,1,1,2,3,0.667,1,3,4,2,0,1,2,2,17,9.1,9,26.5
20,20,"2015-12-03","26-118","TOR","","DEN",-1,1,"38:12",14,26,0.538,0,2,0,6,6,1,2,3,5,5,0,0,0,2,34,26.4,1,47.8
21,21,"2015-12-05","26-120","TOR","","GSW",-3,1,"36:47",5,19,0.263,0,1,0,6,8,0.75,1,2,3,5,0,0,2,2,16,5.9,-10,26.3
22,22,"2015-12-07","26-122","TOR","","LAL",9,1,"35:03",7,14,0.5,0,1,0,2,3,0.667,0,5,5,6,0,0,2,0,16,12.3,7,30.3
23,23,"2015-12-09","26-124","TOR","","SAS",3,1,"37:28",10,15,0.667,0,0,NA,8,8,1,1,3,4,6,1,1,6,3,28,21.8,3,43
24,24,"2015-12-11","26-126","TOR","","MIL",7,1,"34:50",8,17,0.471,0,1,0,11,12,0.917,0,3,3,1,2,1,0,3,27,21,-2,38.3
25,25,"2015-12-13","26-128","TOR","","PHI",20,1,"33:44",6,14,0.429,0,1,0,13,14,0.929,1,7,8,2,1,0,1,0,25,21.4,30,39.5
26,26,"2015-12-14","26-129","TOR","@","IND",-16,1,"37:33",7,18,0.389,2,4,0.5,4,5,0.8,0,5,5,2,2,1,2,2,20,12.6,-11,35.3
27,27,"2015-12-17","26-132","TOR","@","CHO",-10,1,"44:08",12,25,0.48,0,1,0,7,8,0.875,0,4,4,5,1,1,1,2,31,22.5,-8,47
28,28,"2015-12-18","26-133","TOR","@","MIA",14,1,"39:44",10,17,0.588,0,1,0,10,13,0.769,0,4,4,4,2,0,3,0,30,23.9,11,43.5
29,29,"2015-12-20","26-135","TOR","","SAC",-10,1,"35:21",10,24,0.417,0,1,0,8,8,1,2,5,7,1,2,0,3,4,28,16.2,-12,40.8
30,30,"2015-12-22","26-137","TOR","","DAL",4,1,"39:55",10,17,0.588,2,3,0.667,6,8,0.75,1,3,4,4,0,0,7,5,28,14.7,3,36.5
31,31,"2015-12-26","26-141","TOR","@","MIL",21,1,"33:17",7,14,0.5,1,4,0.25,7,8,0.875,0,3,3,8,1,0,3,3,22,17.9,5,38.8
32,32,"2015-12-28","26-143","TOR","@","CHI",-7,1,"35:46",7,14,0.5,0,1,0,5,8,0.625,3,5,8,8,1,0,1,1,19,19.6,8,42.5
33,33,"2015-12-30","26-145","TOR","","WAS",3,1,"36:56",9,24,0.375,1,3,0.333,15,15,1,2,4,6,5,2,2,3,2,34,26.5,1,56
34,34,"2016-01-01","26-147","TOR","","CHO",10,1,"36:39",7,18,0.389,2,2,1,7,7,1,0,0,0,1,1,0,1,2,23,13.1,3,27
35,35,"2016-01-03","26-149","TOR","","CHI",-2,1,"35:25",7,17,0.412,3,6,0.5,7,8,0.875,1,1,2,4,0,0,0,3,24,17.1,-15,34
36,36,"2016-01-04","26-150","TOR","@","CLE",-22,1,"35:28",8,15,0.533,0,1,0,3,5,0.6,1,1,2,4,1,0,3,4,19,11.1,-17,28
37,37,"2016-01-06","26-152","TOR","@","BRK",17,1,"36:25",5,13,0.385,1,2,0.5,4,5,0.8,1,3,4,5,2,0,4,2,15,9.8,21,30
38,38,"2016-01-08","26-154","TOR","@","WAS",9,1,"39:36",11,24,0.458,1,4,0.25,12,13,0.923,1,7,8,1,1,1,1,0,35,26.4,5,50.5
39,39,"2016-01-09","26-155","TOR","@","PHI",13,1,"37:00",9,17,0.529,0,2,0,1,2,0.5,0,7,7,5,0,0,2,0,19,13.9,6,34.3
40,40,"2016-01-14","26-160","TOR","@","ORL",3,1,"39:45",4,19,0.211,0,2,0,5,6,0.833,2,9,11,4,1,1,2,2,13,6.7,-2,37.3
41,41,"2016-01-18","26-164","TOR","","BRK",12,1,"33:54",12,25,0.48,0,2,0,6,8,0.75,2,2,4,5,2,0,0,2,30,23.2,-5,46.5
42,42,"2016-01-20","26-166","TOR","","BOS",6,1,"37:58",13,25,0.52,0,1,0,8,9,0.889,0,2,2,6,1,0,2,1,34,24.7,13,46.5
43,43,"2016-01-22","26-168","TOR","","MIA",20,1,"35:47",12,25,0.48,4,5,0.8,5,6,0.833,1,5,6,4,1,0,1,3,33,23.7,16,50
