"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
4,1,"2015-11-03","22-211","DET","","IND",-12,0,"7:04",1,1,1,0,0,NA,0,2,0,0,1,1,0,0,0,2,3,2,-2,0,2.3
10,2,"2015-11-15","22-223","DET","@","LAL",-12,0,"23:43",6,9,0.667,1,3,0.333,4,5,0.8,0,2,2,4,0,0,1,4,17,13.5,1,25.5
11,3,"2015-11-17","22-225","DET","","CLE",5,0,"13:33",1,6,0.167,0,1,0,1,2,0.5,0,1,1,1,1,0,1,2,3,-1,-10,7.3
12,4,"2015-11-20","22-228","DET","@","MIN",10,0,"20:29",2,6,0.333,0,2,0,2,3,0.667,0,1,1,2,1,0,0,2,6,4.1,-5,12.3
13,5,"2015-11-21","22-229","DET","","WAS",-2,0,"16:26",2,7,0.286,0,0,NA,2,3,0.667,0,1,1,2,0,0,0,3,6,2,-20,10.3
14,6,"2015-11-23","22-231","DET","@","MIL",-21,0,"17:29",1,4,0.25,0,1,0,2,4,0.5,0,2,2,3,0,0,1,2,4,1.7,-13,10.5
21,7,"2015-12-06","22-244","DET","","LAL",20,0,"4:43",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,0,3.3
22,8,"2015-12-07","22-245","DET","@","CHO",-20,0,"3:55",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0,2,1.5
25,9,"2015-12-12","22-250","DET","","IND",22,0,"3:23",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
78,10,"2016-04-05","22-365","DET","@","MIA",-18,0,"3:55",0,2,0,0,0,NA,0,0,NA,1,0,1,1,1,0,2,1,0,-1.4,-1,3.8
81,11,"2016-04-12","23-006","DET","","MIA",-6,0,"15:34",2,5,0.4,0,1,0,2,4,0.5,1,1,2,3,0,0,0,3,6,4.4,-8,13
82,12,"2016-04-13","23-007","DET","@","CLE",2,0,"29:00",3,12,0.25,0,2,0,6,10,0.6,2,3,5,5,0,0,0,0,12,9,1,25.8
