"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","30-112","WAS","@","MIL",5,0,"25:22",2,3,0.667,1,1,1,1,2,0.5,0,6,6,2,1,1,1,3,6,7,15,20.5
3,2,"2015-10-31","30-113","WAS","","NYK",-7,0,"17:49",0,2,0,0,2,0,0,0,NA,0,3,3,1,1,0,1,3,0,-1,-2,6.8
4,3,"2015-11-04","30-117","WAS","","SAS",3,0,"17:12",2,3,0.667,0,1,0,0,0,NA,0,2,2,1,1,0,1,1,4,3.6,14,9.5
5,4,"2015-11-06","30-119","WAS","@","BOS",-20,0,"27:08",3,7,0.429,1,4,0.25,1,2,0.5,1,6,7,1,1,0,2,0,8,6.1,-23,19.8
6,5,"2015-11-07","30-120","WAS","@","ATL",-15,0,"20:14",2,5,0.4,0,2,0,0,0,NA,0,1,1,0,0,1,1,0,4,1.3,4,6.8
7,6,"2015-11-10","30-123","WAS","","OKC",-24,0,"17:22",1,5,0.2,1,3,0.333,0,0,NA,1,2,3,0,1,0,0,0,3,2.2,3,9.3
8,7,"2015-11-14","30-127","WAS","","ORL",9,0,"19:55",1,2,0.5,1,2,0.5,2,2,1,0,5,5,1,0,0,0,1,5,5.8,0,13.3
9,8,"2015-11-17","30-130","WAS","","MIL",29,0,"22:42",4,6,0.667,3,4,0.75,2,2,1,1,6,7,2,0,1,0,0,13,15,34,28.3
10,9,"2015-11-21","30-134","WAS","@","DET",2,0,"27:08",3,4,0.75,2,2,1,1,1,1,1,0,1,0,1,0,1,2,9,7.3,15,12.8
11,10,"2015-11-24","30-137","WAS","","IND",-17,0,"27:24",2,4,0.5,1,3,0.333,0,0,NA,0,2,2,2,0,0,1,2,5,3.2,2,10.5
12,11,"2015-11-25","30-138","WAS","@","CHO",-14,0,"24:22",1,5,0.2,1,2,0.5,4,4,1,0,3,3,1,1,0,0,2,7,5.7,-7,14.8
13,12,"2015-11-27","30-140","WAS","@","BOS",-33,0,"30:16",5,9,0.556,3,4,0.75,6,7,0.857,1,4,5,1,0,2,4,2,19,13.5,-24,30.3
14,13,"2015-11-28","30-141","WAS","","TOR",-2,1,"30:00",3,7,0.429,1,3,0.333,0,0,NA,1,3,4,2,0,0,1,2,7,4.5,7,15
15,14,"2015-12-01","30-144","WAS","@","CLE",12,1,"31:38",5,7,0.714,2,4,0.5,0,0,NA,0,2,2,3,0,0,2,2,12,9,9,19
16,15,"2015-12-02","30-145","WAS","","LAL",-4,1,"31:41",3,5,0.6,2,4,0.5,0,0,NA,0,3,3,1,1,0,2,3,8,5.1,-11,15.3
17,16,"2015-12-04","30-147","WAS","","PHO",3,1,"23:04",0,7,0,0,3,0,3,4,0.75,0,1,1,1,2,0,1,2,3,-1.1,-4,9.3
18,17,"2015-12-06","30-149","WAS","","DAL",-12,1,"33:49",2,7,0.286,1,3,0.333,1,1,1,1,2,3,3,1,0,1,3,6,4.1,-3,16.3
19,18,"2015-12-07","30-150","WAS","@","MIA",11,1,"34:41",4,9,0.444,2,4,0.5,2,3,0.667,2,2,4,1,1,0,1,3,12,8.4,6,21
20,19,"2015-12-09","30-152","WAS","","HOU",-6,1,"24:11",3,5,0.6,2,3,0.667,2,2,1,0,2,2,1,2,0,0,3,10,9.8,2,19
21,20,"2015-12-11","30-154","WAS","@","NOP",-2,1,"37:56",3,7,0.429,2,4,0.5,0,0,NA,0,3,3,3,4,0,1,4,8,8.7,-10,24.8
22,21,"2015-12-12","30-155","WAS","@","DAL",3,1,"33:15",5,11,0.455,3,5,0.6,0,0,NA,2,5,7,2,0,0,1,5,13,8.6,-10,25.8
23,22,"2015-12-14","30-157","WAS","@","MEM",-17,1,"27:24",6,10,0.6,2,3,0.667,0,2,0,2,4,6,1,1,0,1,1,14,11.5,-17,25.5
24,23,"2015-12-16","30-159","WAS","@","SAS",-19,0,"19:12",1,1,1,0,0,NA,0,0,NA,0,2,2,0,0,0,0,1,2,1.9,-8,4.5
25,24,"2015-12-19","30-162","WAS","","CHO",8,1,"41:27",7,10,0.7,3,5,0.6,2,2,1,0,9,9,4,2,0,0,3,19,21.1,4,41.8
26,25,"2015-12-21","30-164","WAS","","SAC",14,1,"41:28",5,8,0.625,3,5,0.6,0,0,NA,0,4,4,3,1,0,2,2,13,10.9,17,25
27,26,"2015-12-23","30-166","WAS","","MEM",9,1,"30:59",5,7,0.714,1,2,0.5,0,0,NA,2,4,6,3,1,0,1,4,11,11.2,11,25
28,27,"2015-12-26","30-169","WAS","@","BRK",15,1,"28:38",1,4,0.25,1,2,0.5,0,0,NA,2,1,3,3,1,0,0,4,3,3.8,16,13.8
29,28,"2015-12-28","30-171","WAS","","LAC",-17,1,"13:15",0,3,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-3.1,-23,-0.5
30,29,"2015-12-30","30-173","WAS","@","TOR",-3,1,"36:16",6,10,0.6,3,6,0.5,2,3,0.667,1,2,3,3,3,0,1,4,17,15.8,-2,32.3
31,30,"2016-01-01","30-175","WAS","","ORL",12,1,"32:40",3,11,0.273,1,5,0.2,0,0,NA,1,3,4,0,2,0,0,0,7,4.1,12,16.5
32,31,"2016-01-03","30-177","WAS","","MIA",-22,1,"27:52",2,6,0.333,0,3,0,0,0,NA,0,4,4,1,0,0,0,1,4,2.1,-9,10.5
33,32,"2016-01-06","30-180","WAS","","CLE",-6,1,"34:41",3,7,0.429,2,4,0.5,4,5,0.8,1,4,5,4,1,0,1,3,12,11.4,-5,26.8
34,33,"2016-01-08","30-182","WAS","","TOR",-9,1,"29:15",1,4,0.25,1,3,0.333,2,2,1,0,4,4,4,2,0,2,2,5,5.8,-4,19.5
