"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
50,1,"2016-02-06","35-144","CHI","@","MIN",-7,0,"14:02",2,4,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,1,2,5,1.2,-1,5
51,2,"2016-02-08","35-146","CHI","@","CHO",-17,1,"16:08",3,7,0.429,2,3,0.667,0,0,NA,0,1,1,2,0,0,1,0,8,5,-3,12.8
52,3,"2016-02-10","35-148","CHI","","ATL",-23,1,"11:08",0,3,0,0,1,0,2,2,1,0,1,1,1,1,0,0,4,2,0.3,6,6.8
53,4,"2016-02-18","35-156","CHI","@","CLE",-11,1,"17:17",2,9,0.222,1,3,0.333,0,0,NA,0,1,1,0,0,0,1,3,5,-2.4,-14,6.3
54,5,"2016-02-19","35-157","CHI","","TOR",10,1,"23:05",2,5,0.4,1,2,0.5,0,0,NA,1,2,3,1,0,1,1,3,5,2.8,4,12.3
55,6,"2016-02-21","35-159","CHI","","LAL",11,1,"24:44",4,6,0.667,2,3,0.667,7,7,1,1,0,1,2,0,0,0,3,17,15.3,14,22.3
56,7,"2016-02-24","35-162","CHI","","WAS",5,1,"28:06",6,9,0.667,2,4,0.5,0,0,NA,1,3,4,1,0,1,0,5,14,11.1,8,23.5
57,8,"2016-02-26","35-164","CHI","@","ATL",-15,1,"24:48",2,6,0.333,1,3,0.333,1,3,0.333,1,7,8,1,1,1,0,0,6,7,-16,22
58,9,"2016-02-27","35-165","CHI","","POR",-8,1,"27:56",5,12,0.417,2,7,0.286,1,1,1,0,5,5,5,0,0,3,3,13,7.4,-1,26.3
59,10,"2016-03-01","35-168","CHI","@","MIA",-18,1,"29:24",4,7,0.571,2,4,0.5,0,0,NA,1,1,2,1,0,0,0,3,10,7.2,-7,15
60,11,"2016-03-02","35-169","CHI","@","ORL",-13,1,"21:28",3,9,0.333,2,3,0.667,0,0,NA,2,4,6,1,1,0,1,1,8,5.8,-8,19.5
61,12,"2016-03-05","35-172","CHI","","HOU",8,1,"29:29",4,7,0.571,2,4,0.5,2,2,1,0,4,4,1,1,0,1,3,12,9.4,20,21
62,13,"2016-03-07","35-174","CHI","","MIL",10,1,"35:07",7,9,0.778,4,6,0.667,0,0,NA,0,4,4,2,0,0,1,3,18,14.9,14,27.5
63,14,"2016-03-10","35-177","CHI","@","SAS",-8,1,"29:26",2,8,0.25,1,5,0.2,2,3,0.667,0,6,6,3,0,0,1,3,7,3.5,-1,19
64,15,"2016-03-11","35-178","CHI","","MIA",-22,1,"24:36",3,4,0.75,1,2,0.5,1,1,1,0,2,2,2,1,0,2,1,8,7,-19,15
66,16,"2016-03-16","35-183","CHI","@","WAS",-21,1,"17:52",0,4,0,0,3,0,0,0,NA,0,2,2,0,0,1,1,3,0,-3.7,-16,4
67,17,"2016-03-17","35-184","CHI","","BRK",16,1,"19:51",1,4,0.25,1,3,0.333,0,0,NA,0,4,4,2,1,1,1,1,3,3.5,-8,15
68,18,"2016-03-19","35-186","CHI","","UTA",7,1,"25:32",0,3,0,0,3,0,1,1,1,0,3,3,1,1,0,2,1,1,-0.9,7,7.3
69,19,"2016-03-21","35-188","CHI","","SAC",7,1,"26:45",3,8,0.375,3,6,0.5,0,0,NA,0,1,1,1,1,0,1,3,9,4.4,16,14.8
70,20,"2016-03-23","35-190","CHI","","NYK",-8,1,"28:14",3,7,0.429,1,4,0.25,0,0,NA,0,4,4,2,0,0,2,0,7,3.9,-8,14.5
71,21,"2016-03-24","35-191","CHI","@","NYK",-12,1,"28:44",3,10,0.3,3,7,0.429,0,0,NA,0,4,4,2,1,0,1,1,9,5.4,-4,20
72,22,"2016-03-26","35-193","CHI","@","ORL",-22,1,"21:51",3,7,0.429,1,2,0.5,3,3,1,1,1,2,3,0,0,1,2,10,7.6,-10,17
73,23,"2016-03-28","35-195","CHI","","ATL",-2,1,"19:53",2,8,0.25,1,3,0.333,0,0,NA,0,5,5,0,0,0,2,1,5,-0.7,-7,10.8
74,24,"2016-03-29","35-196","CHI","@","IND",2,1,"16:53",1,3,0.333,0,1,0,1,2,0.5,0,0,0,1,1,0,0,3,3,1.4,-10,6.5
75,25,"2016-03-31","35-198","CHI","@","HOU",3,1,"9:10",0,1,0,0,1,0,1,2,0.5,0,0,0,0,0,0,1,1,1,-1.5,-18,0.5
76,26,"2016-04-02","35-200","CHI","","DET",-4,1,"27:52",1,3,0.333,0,0,NA,0,0,NA,0,0,0,2,1,0,1,3,2,0.5,14,6.5
77,27,"2016-04-03","35-201","CHI","@","MIL",4,1,"18:11",2,4,0.5,2,4,0.5,3,6,0.5,0,1,1,0,1,1,0,3,9,6.6,2,15.3
78,28,"2016-04-05","35-203","CHI","@","MEM",-16,1,"18:55",2,5,0.4,1,3,0.333,0,0,NA,0,1,1,0,1,2,0,4,5,3.4,-4,12.8
79,29,"2016-04-07","35-205","CHI","@","MIA",-8,1,"18:52",0,2,0,0,1,0,2,2,1,0,4,4,0,0,0,0,0,2,1.8,-2,7
80,30,"2016-04-09","35-207","CHI","","CLE",3,1,"26:00",2,7,0.286,1,5,0.2,1,1,1,0,2,2,1,0,1,0,2,6,3.1,-14,12.5
81,31,"2016-04-11","35-209","CHI","@","NOP",5,1,"21:19",5,7,0.714,1,2,0.5,1,1,1,0,2,2,1,1,1,0,1,12,11.7,0,20.5
