"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-194","NYK","@","MIL",25,0,"6:36",1,1,1,0,0,NA,0,0,NA,0,1,1,1,1,0,0,1,2,3.3,7,6.8
2,2,"2015-10-29","24-195","NYK","","ATL",-11,0,"1:13",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,3,0
4,3,"2015-11-02","24-199","NYK","","SAS",-10,0,"1:22",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,3,1.3
5,4,"2015-11-04","24-201","NYK","@","CLE",-10,0,"3:17",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
8,5,"2015-11-10","24-207","NYK","@","TOR",2,0,"5:50",2,3,0.667,1,2,0.5,0,0,NA,0,0,0,0,0,0,0,0,5,3.7,4,5.5
18,6,"2015-11-29","24-226","NYK","","HOU",-5,0,"5:43",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,1,0
19,7,"2015-12-02","24-229","NYK","","PHI",12,0,"2:56",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,-5,2
30,8,"2015-12-23","24-250","NYK","@","CLE",-7,0,"5:58",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-1.4,-1,-0.5
32,9,"2015-12-27","24-254","NYK","@","BOS",-9,0,"0:06",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
33,10,"2015-12-29","24-256","NYK","","DET",12,0,"0:29",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
71,11,"2016-03-20","24-338","NYK","","SAC",-8,0,"0:19",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
77,12,"2016-04-01","24-350","NYK","","BRK",14,0,"23:01",3,10,0.3,1,2,0.5,0,0,NA,1,5,6,3,0,0,3,1,7,2.1,8,18
78,13,"2016-04-03","24-352","NYK","","IND",-5,1,"17:25",0,6,0,0,2,0,2,2,1,0,1,1,1,0,1,1,2,2,-2.3,-1,6.3
79,14,"2016-04-06","24-355","NYK","","CHO",-14,0,"11:25",2,3,0.667,0,1,0,0,0,NA,1,3,4,0,0,0,1,0,4,3.3,-14,8.5
80,15,"2016-04-08","24-357","NYK","@","PHI",7,0,"16:53",0,2,0,0,1,0,1,2,0.5,0,5,5,1,0,1,0,6,1,-0.3,10,10.8
81,16,"2016-04-10","24-359","NYK","","TOR",-4,0,"20:54",1,6,0.167,1,2,0.5,0,0,NA,1,4,5,0,1,0,1,2,3,0.3,-1,11.3
82,17,"2016-04-12","24-361","NYK","@","IND",-12,1,"30:22",3,7,0.429,1,3,0.333,0,0,NA,1,2,3,0,0,0,2,2,7,1.8,-14,10.3
