"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-12-26","24-057","WAS","@","BRK",15,0,"14:27",4,7,0.571,4,5,0.8,0,0,NA,1,3,4,1,0,0,0,0,12,11,7,20.5
3,2,"2015-12-28","24-059","WAS","","LAC",-17,0,"18:18",2,7,0.286,2,7,0.286,2,2,1,0,2,2,1,2,1,0,1,8,7.5,-6,19
4,3,"2015-12-30","24-061","WAS","@","TOR",-3,0,"5:36",0,2,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,2,0,-1.6,-3,2.5
6,4,"2016-01-03","24-065","WAS","","MIA",-22,0,"12:17",1,6,0.167,1,5,0.2,0,0,NA,0,2,2,0,0,0,0,0,3,-0.2,0,6
7,5,"2016-01-06","24-068","WAS","","CLE",-6,0,"7:48",1,1,1,1,1,1,2,2,1,0,1,1,0,0,0,0,0,5,5,-3,6.8
10,6,"2016-01-11","24-073","WAS","@","CHI",14,0,"1:32",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-1,0
12,7,"2016-01-15","24-077","WAS","@","IND",14,0,"2:40",1,2,0.5,1,2,0.5,0,0,NA,0,0,0,0,0,0,0,0,3,2,-6,3.5
14,8,"2016-01-18","24-080","WAS","","POR",-10,0,"2:17",0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,7,0
15,9,"2016-01-20","24-082","WAS","","MIA",19,0,"2:25",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,-2,3.5
16,10,"2016-01-25","24-087","WAS","","BOS",-25,0,"5:18",2,5,0.4,2,4,0.5,0,0,NA,0,1,1,0,0,0,0,0,6,3.6,-3,8.3
17,11,"2016-01-26","24-088","WAS","@","TOR",-17,0,"3:05",1,3,0.333,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,2,0.6,-2,3.3
20,12,"2016-02-01","24-094","WAS","@","OKC",-16,0,"1:26",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
21,13,"2016-02-03","24-096","WAS","","GSW",-13,0,"0:35",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-2,-0.5
22,14,"2016-02-05","24-098","WAS","","PHI",12,0,"1:07",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
26,15,"2016-02-18","24-111","WAS","","UTA",14,0,"1:45",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
27,16,"2016-02-19","24-112","WAS","","DET",12,0,"2:27",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
28,17,"2016-02-20","24-113","WAS","@","MIA",-20,0,"4:34",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
29,18,"2016-02-23","24-116","WAS","","NOP",20,0,"2:14",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-1,0
35,19,"2016-03-04","24-126","WAS","@","CLE",-25,0,"5:50",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-1.1,2,1.3
38,20,"2016-03-11","24-133","WAS","@","UTA",-21,0,"2:17",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
39,21,"2016-03-12","24-134","WAS","@","DEN",-16,0,"0:12",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
47,22,"2016-03-27","24-149","WAS","@","LAL",13,0,"1:07",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-3,2
52,23,"2016-04-06","24-159","WAS","","BRK",18,0,"5:21",0,3,0,0,3,0,2,2,1,0,0,0,1,1,0,0,0,2,1.6,-9,5.5
54,24,"2016-04-10","24-163","WAS","","CHO",15,0,"0:51",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,1,3.5
55,25,"2016-04-11","24-164","WAS","@","BRK",9,0,"20:43",3,13,0.231,1,6,0.167,0,0,NA,0,4,4,1,1,0,0,0,7,2,4,16
56,26,"2016-04-13","24-166","WAS","","ATL",11,0,"20:34",2,5,0.4,1,3,0.333,2,2,1,1,4,5,1,1,0,0,1,7,7.5,-3,17.3
