"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-364","BRK","","CHI",-15,1,"12:03",0,3,0,0,1,0,0,0,NA,0,2,2,1,0,1,0,0,0,-0.1,-17,6
2,2,"2015-10-30","28-001","BRK","@","SAS",-27,1,"18:16",1,6,0.167,1,4,0.25,0,0,NA,0,1,1,0,2,0,0,2,3,0.7,-18,8.8
3,3,"2015-10-31","28-002","BRK","@","MEM",-10,0,"8:43",2,4,0.5,2,4,0.5,0,0,NA,0,0,0,0,0,0,0,0,6,4,-4,7
4,4,"2015-11-02","28-004","BRK","","MIL",-7,0,"6:48",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-3,0
5,5,"2015-11-04","28-006","BRK","@","ATL",-14,0,"18:06",4,8,0.5,1,4,0.25,0,0,NA,1,3,4,2,2,0,0,1,9,9.6,-11,21.5
6,6,"2015-11-06","28-008","BRK","","LAL",-6,0,"12:20",1,4,0.25,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,2,-0.5,0,3.3
7,7,"2015-11-07","28-009","BRK","@","MIL",-8,0,"15:40",0,3,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,-1.1,-4,2.8
8,8,"2015-11-11","28-013","BRK","@","HOU",8,0,"18:31",2,8,0.25,1,3,0.333,0,0,NA,1,1,2,1,1,0,0,0,5,2.9,10,11.5
9,9,"2015-11-13","28-015","BRK","@","SAC",-2,0,"14:29",2,5,0.4,1,2,0.5,0,0,NA,0,1,1,2,2,0,1,2,5,4.2,5,13.3
10,10,"2015-11-14","28-016","BRK","@","GSW",-8,0,"13:18",2,3,0.667,0,0,NA,2,2,1,0,1,1,0,0,0,0,2,6,4.2,-11,7.3
11,11,"2015-11-17","28-019","BRK","","ATL",2,0,"23:08",1,4,0.25,0,2,0,0,0,NA,0,1,1,1,2,0,0,1,2,2.2,-5,8.8
12,12,"2015-11-18","28-020","BRK","@","CHO",-5,0,"14:06",2,5,0.4,0,1,0,0,0,NA,0,2,2,1,0,0,0,1,4,2.2,-13,8
13,13,"2015-11-20","28-022","BRK","@","BOS",-25,0,"3:07",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,0,3.5
15,14,"2015-11-25","28-027","BRK","@","OKC",-11,0,"6:34",0,2,0,0,0,NA,1,2,0.5,0,1,1,1,1,0,0,0,1,1.2,-2,5.8
16,15,"2015-11-28","28-030","BRK","@","CLE",-2,0,"10:26",0,4,0,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,-2.8,2,0
17,16,"2015-11-29","28-031","BRK","","DET",4,0,"23:32",5,7,0.714,1,1,1,1,1,1,0,6,6,0,0,1,3,0,12,8.6,13,20.5
