"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
5,1,"2015-11-04","21-072","MIL","","PHI",4,0,"8:26",1,2,0.5,0,0,NA,0,0,NA,0,2,2,1,0,0,1,2,2,0.5,-7,5.5
6,2,"2015-11-06","21-074","MIL","@","NYK",7,1,"17:27",1,4,0.25,0,0,NA,2,2,1,1,3,4,3,0,0,1,3,4,3.1,-1,13
7,3,"2015-11-07","21-075","MIL","","BRK",8,1,"16:22",4,9,0.444,1,1,1,0,0,NA,1,0,1,1,1,0,1,2,9,4.9,-1,13.8
8,4,"2015-11-10","21-078","MIL","","BOS",-16,1,"23:40",2,4,0.5,0,0,NA,0,0,NA,0,0,0,2,1,0,1,1,4,3,2,8.5
9,5,"2015-11-11","21-079","MIL","@","DEN",-1,1,"15:10",3,4,0.75,1,2,0.5,0,0,NA,0,0,0,0,0,0,2,1,7,3,-6,6.5
11,6,"2015-11-17","21-085","MIL","@","WAS",-29,0,"6:33",0,1,0,0,0,NA,3,4,0.75,0,2,2,2,0,0,1,0,3,2.9,-5,8
17,7,"2015-11-29","21-097","MIL","@","CHO",-5,0,"3:36",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
18,8,"2015-11-30","21-098","MIL","","DEN",18,0,"3:33",0,1,0,0,0,NA,1,2,0.5,1,2,3,1,0,0,0,0,1,1.9,-4,6.3
19,9,"2015-12-02","21-100","MIL","@","SAS",-25,1,"23:53",2,8,0.25,0,3,0,0,0,NA,0,3,3,1,0,1,2,2,4,-1.3,-12,10.3
26,10,"2015-12-15","21-113","MIL","@","LAL",-18,0,"3:44",1,1,1,0,0,NA,0,0,NA,0,1,1,0,1,0,0,1,2,2.6,-1,5.3
27,11,"2015-12-16","21-114","MIL","@","LAC",-13,0,"8:46",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-2.4,1,-0.5
29,12,"2015-12-20","21-118","MIL","@","PHO",6,0,"5:15",1,1,1,0,0,NA,1,2,0.5,0,1,1,0,0,0,1,0,3,1.6,-8,3.8
30,13,"2015-12-23","21-121","MIL","","PHI",13,0,"7:52",4,6,0.667,2,3,0.667,0,0,NA,0,0,0,1,0,0,1,1,10,6.7,-4,12
31,14,"2015-12-26","21-124","MIL","","TOR",-21,0,"7:33",3,4,0.75,0,0,NA,0,0,NA,0,1,1,1,1,0,0,1,6,6,-1,10.8
36,15,"2016-01-04","21-133","MIL","","SAS",-25,0,"5:06",0,1,0,0,0,NA,0,0,NA,0,0,0,2,0,0,0,1,0,0.3,-3,3
39,16,"2016-01-10","21-139","MIL","@","NYK",-12,0,"16:18",0,5,0,0,2,0,0,0,NA,0,0,0,2,0,0,0,1,0,-2.5,5,3
42,17,"2016-01-15","21-144","MIL","","ATL",7,0,"5:57",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,0.3,1,1.5
43,18,"2016-01-16","21-145","MIL","@","CHO",13,0,"2:43",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,0.3,-4,1.5
44,19,"2016-01-19","21-148","MIL","@","MIA",12,0,"1:46",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-2.2,-3,0
46,20,"2016-01-23","21-152","MIL","@","NOP",-17,0,"2:46",1,1,1,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,2,2.4,-2,3.5
48,21,"2016-01-28","21-157","MIL","@","MEM",-20,0,"5:28",1,3,0.333,0,1,0,2,2,1,0,1,1,0,0,0,0,1,4,2.2,5,5.3
49,22,"2016-01-29","21-158","MIL","","MIA",-4,0,"5:43",0,0,NA,0,0,NA,0,0,NA,0,2,2,1,0,0,2,2,0,-1.5,0,3
51,23,"2016-02-02","21-162","MIL","@","POR",-12,0,"2:46",0,0,NA,0,0,NA,0,0,NA,0,2,2,2,0,0,0,0,0,2,3,5.5
52,24,"2016-02-05","21-165","MIL","@","UTA",-3,0,"7:42",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,2,0,0,0,0,3,7,6.8
58,25,"2016-02-25","21-185","MIL","@","BOS",-5,0,"4:51",1,2,0.5,0,0,NA,0,0,NA,0,0,0,1,1,0,1,1,2,1.3,2,5
59,26,"2016-02-27","21-187","MIL","","DET",-11,0,"2:47",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,3,2.3,3,3.5
62,27,"2016-03-04","21-193","MIL","","MIN",15,0,"7:14",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,0.3,-6,2.8
63,28,"2016-03-06","21-195","MIL","","OKC",-8,0,"7:05",1,5,0.2,0,1,0,1,2,0.5,0,0,0,2,2,0,0,0,3,2.9,-2,10
65,29,"2016-03-09","21-198","MIL","","MIA",6,0,"25:56",3,7,0.429,1,1,1,1,2,0.5,0,0,0,5,0,0,1,2,8,5.6,6,15.5
66,30,"2016-03-12","21-201","MIL","","NOP",11,0,"8:22",4,6,0.667,1,2,0.5,1,1,1,0,2,2,1,0,0,2,0,10,6.7,-4,13.5
67,31,"2016-03-13","21-202","MIL","@","BRK",9,0,"14:31",1,3,0.333,0,1,0,0,0,NA,0,1,1,1,0,0,0,1,2,0.9,-2,4.8
68,32,"2016-03-15","21-204","MIL","","TOR",-18,0,"28:21",4,8,0.5,0,2,0,2,3,0.667,1,3,4,3,0,0,1,2,10,7.5,-13,19
69,33,"2016-03-17","21-206","MIL","","MEM",10,0,"23:20",6,10,0.6,0,0,NA,1,1,1,1,4,5,3,1,0,0,2,13,12.6,11,25.8
70,34,"2016-03-20","21-209","MIL","","UTA",-9,0,"19:47",2,4,0.5,1,1,1,0,0,NA,0,2,2,6,2,0,2,2,5,7,6,20
71,35,"2016-03-21","21-210","MIL","@","DET",-1,0,"11:07",2,5,0.4,0,0,NA,0,0,NA,0,1,1,1,1,0,1,2,4,1.5,-4,8.3
