"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","28-004","DAL","@","PHO",16,0,"25:44",3,4,0.75,1,1,1,0,0,NA,1,5,6,0,1,1,0,1,7,8.9,5,19
2,2,"2015-10-29","28-005","DAL","@","LAC",-16,1,"24:02",0,1,0,0,1,0,2,2,1,1,3,4,0,0,0,1,1,2,1.5,-16,6.5
3,3,"2015-11-01","28-008","DAL","@","LAL",10,0,"0:59",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-6,0
5,4,"2015-11-05","28-012","DAL","","CHO",-14,0,"9:35",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,3,1.3
6,5,"2015-11-07","28-014","DAL","","NOP",9,0,"13:04",1,1,1,0,0,NA,1,2,0.5,0,3,3,0,0,1,0,1,3,3.5,-6,8.8
7,6,"2015-11-10","28-017","DAL","@","NOP",-15,0,"12:21",3,3,1,0,0,NA,2,3,0.667,0,0,0,0,0,0,1,1,8,5.3,4,7.5
8,7,"2015-11-11","28-018","DAL","","LAC",10,0,"0:45",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,0,-0.7,-3,0.8
10,8,"2015-11-14","28-021","DAL","@","HOU",12,0,"14:20",2,4,0.5,0,0,NA,0,0,NA,1,4,5,1,0,1,0,3,4,4.1,10,13.8
11,9,"2015-11-16","28-023","DAL","@","PHI",6,0,"1:24",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,1,-0.5
12,10,"2015-11-18","28-025","DAL","@","BOS",4,0,"1:18",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-1.4,-5,-0.5
13,11,"2015-11-20","28-027","DAL","","UTA",9,0,"0:17",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
15,12,"2015-11-24","28-031","DAL","@","MEM",-14,0,"4:21",1,1,1,1,1,1,0,0,NA,0,2,2,0,0,1,0,1,3,3.6,-3,8
17,13,"2015-11-28","28-035","DAL","","DEN",11,0,"4:01",0,0,NA,0,0,NA,2,2,1,1,0,1,0,0,0,0,1,2,2.3,-12,3.3
18,14,"2015-11-30","28-037","DAL","@","SAC",-14,0,"1:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
21,15,"2015-12-06","28-043","DAL","@","WAS",12,0,"20:27",3,3,1,1,1,1,0,0,NA,3,4,7,0,0,1,0,0,7,10.1,5,18.3
22,16,"2015-12-07","28-044","DAL","@","NYK",7,0,"7:20",0,2,0,0,0,NA,0,0,NA,0,3,3,0,1,1,0,1,0,0.8,-6,7.8
23,17,"2015-12-09","28-046","DAL","","ATL",-3,0,"0:02",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
26,18,"2015-12-16","28-053","DAL","@","IND",-26,0,"5:44",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-8,0
27,19,"2015-12-18","28-055","DAL","","MEM",9,0,"1:20",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
28,20,"2015-12-22","28-059","DAL","@","TOR",-4,0,"5:51",3,3,1,0,0,NA,0,1,0,0,0,0,0,0,1,0,1,6,5,12,8
29,21,"2015-12-23","28-060","DAL","@","BRK",1,0,"0:08",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
32,22,"2015-12-30","28-067","DAL","","GSW",23,0,"5:23",0,1,0,0,1,0,3,4,0.75,0,2,2,0,0,0,0,0,3,2.5,-2,5.5
33,23,"2016-01-01","28-069","DAL","@","MIA",-24,0,"6:20",0,1,0,0,1,0,0,0,NA,0,1,1,0,1,0,0,0,0,0.6,-5,3.3
36,24,"2016-01-06","28-074","DAL","@","NOP",9,0,"25:19",3,6,0.5,0,1,0,2,2,1,1,4,5,1,1,0,1,1,8,7.2,16,17.3
40,25,"2016-01-13","28-081","DAL","@","OKC",-19,1,"31:06",0,7,0,0,5,0,0,0,NA,0,6,6,0,1,0,1,2,0,-3.9,-10,9
42,26,"2016-01-17","28-085","DAL","@","SAS",-29,0,"9:10",2,3,0.667,0,1,0,1,2,0.5,2,2,4,0,1,2,0,3,5,6.5,-4,16
48,27,"2016-01-27","28-095","DAL","@","GSW",-20,0,"6:44",3,4,0.75,0,0,NA,2,3,0.667,1,1,2,0,0,0,0,1,8,6.6,-2,10.5
51,28,"2016-02-01","28-100","DAL","@","ATL",-15,0,"2:45",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,-4,1.3
53,29,"2016-02-05","28-104","DAL","","SAS",-26,0,"7:12",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-2,2
57,30,"2016-02-21","28-120","DAL","","PHI",26,0,"3:12",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,0,3.5
