"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
18,1,"2015-12-01","26-073","NOP","","MEM",-9,1,"31:18",7,12,0.583,2,5,0.4,4,4,1,2,3,5,10,0,1,1,0,20,23.4,3,45.3
19,2,"2015-12-02","26-074","NOP","@","HOU",-7,1,"32:08",2,9,0.222,0,1,0,6,8,0.75,0,6,6,8,1,1,3,1,10,9.4,-9,32
20,3,"2015-12-04","26-076","NOP","","CLE",6,1,"35:13",5,13,0.385,0,2,0,4,5,0.8,1,6,7,10,0,0,4,4,14,10.4,0,37.3
21,4,"2015-12-07","26-079","NOP","","BOS",-18,1,"17:33",0,5,0,0,0,NA,0,0,NA,1,1,2,3,1,0,5,2,0,-5.2,-15,6.5
22,5,"2015-12-11","26-083","NOP","","WAS",2,1,"33:37",10,18,0.556,5,6,0.833,2,4,0.5,0,7,7,4,2,0,3,2,27,20.7,9,46.8
23,6,"2015-12-12","26-084","NOP","@","CHI",-4,1,"36:02",10,22,0.455,2,6,0.333,0,0,NA,1,2,3,8,0,0,1,3,22,15.3,-13,38.3
24,7,"2015-12-14","26-086","NOP","@","POR",-4,1,"38:23",7,15,0.467,1,2,0.5,4,5,0.8,2,10,12,5,4,1,3,4,19,18.9,1,52
25,8,"2015-12-16","26-088","NOP","@","UTA",10,1,"35:23",4,12,0.333,1,4,0.25,2,2,1,1,3,4,5,2,0,3,3,11,7.1,9,26.5
26,9,"2015-12-18","26-090","NOP","@","PHO",-16,1,"24:26",4,10,0.4,0,1,0,4,4,1,1,3,4,1,2,1,3,4,12,7,1,23
27,10,"2015-12-20","26-092","NOP","@","DEN",5,1,"32:48",7,13,0.538,1,2,0.5,6,8,0.75,1,7,8,10,1,1,2,3,21,22.2,14,51
28,11,"2015-12-23","26-095","NOP","","POR",26,1,"35:21",7,14,0.5,2,6,0.333,8,8,1,1,7,8,9,2,0,3,1,24,24.7,26,51
29,12,"2015-12-25","26-097","NOP","@","MIA",-6,1,"35:22",2,9,0.222,0,1,0,2,2,1,0,6,6,7,0,0,5,3,6,1,-1,21.5
30,13,"2015-12-26","26-098","NOP","","HOU",2,1,"40:30",3,13,0.231,1,3,0.333,4,4,1,0,4,4,13,2,1,4,2,11,11.3,10,41.5
31,14,"2015-12-28","26-100","NOP","@","ORL",-15,1,"29:53",6,12,0.5,2,2,1,2,2,1,2,2,4,8,0,0,1,3,16,15.4,-19,33.5
32,15,"2015-12-31","26-103","NOP","","LAC",-6,1,"33:45",5,13,0.385,1,7,0.143,3,5,0.6,0,6,6,9,3,0,4,4,14,11.6,-6,39.5
34,16,"2016-01-06","26-109","NOP","","DAL",-9,1,"35:07",6,13,0.462,1,4,0.25,3,4,0.75,0,9,9,5,2,0,2,3,16,13.9,3,38.3
35,17,"2016-01-08","26-111","NOP","","IND",-5,1,"38:19",10,19,0.526,3,5,0.6,4,4,1,0,7,7,5,4,0,4,3,27,22.1,-5,50.8
36,18,"2016-01-10","26-113","NOP","@","LAC",-3,1,"40:31",9,19,0.474,2,5,0.4,6,8,0.75,3,4,7,7,1,1,5,5,26,18.4,0,47.8
37,19,"2016-01-12","26-115","NOP","@","LAL",-4,1,"34:06",8,17,0.471,3,7,0.429,2,4,0.5,0,5,5,4,1,0,5,4,21,10.2,-2,34.3
38,20,"2016-01-13","26-116","NOP","@","SAC",12,1,"6:42",0,3,0,0,2,0,0,0,NA,0,2,2,3,0,0,0,0,0,0.6,5,7
39,21,"2016-01-15","26-118","NOP","","CHO",2,1,"26:47",5,10,0.5,2,3,0.667,0,0,NA,0,2,2,7,1,0,2,3,12,10.3,-4,27
41,22,"2016-01-19","26-122","NOP","","MIN",15,1,"20:55",6,11,0.545,0,2,0,1,1,1,1,2,3,5,0,1,4,2,13,8.4,-2,24.3
42,23,"2016-01-21","26-124","NOP","","DET",16,1,"31:09",8,14,0.571,2,3,0.667,4,4,1,1,3,4,10,2,0,4,3,22,20.8,16,46.5
43,24,"2016-01-23","26-126","NOP","","MIL",17,1,"24:02",3,12,0.25,1,3,0.333,3,4,0.75,1,1,2,6,1,0,2,2,10,5.8,-12,23
44,25,"2016-01-25","26-128","NOP","","HOU",-1,1,"16:00",2,6,0.333,1,3,0.333,0,3,0,1,1,2,2,0,0,0,2,5,2,-23,11
