"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","25-343","DEN","@","HOU",20,1,"30:50",8,10,0.8,0,0,NA,2,6,0.333,3,6,9,1,1,3,2,5,18,16.3,21,37.8
2,2,"2015-10-30","25-345","DEN","","MIN",-17,1,"26:47",3,10,0.3,0,0,NA,3,4,0.75,6,9,15,1,1,0,2,1,9,9,-24,30.3
3,3,"2015-11-01","25-347","DEN","@","OKC",-24,1,"14:10",4,6,0.667,0,0,NA,0,1,0,2,0,2,1,0,2,1,1,8,7.1,-18,15.5
4,4,"2015-11-03","25-349","DEN","@","LAL",11,1,"39:52",10,13,0.769,0,0,NA,8,8,1,4,11,15,1,0,0,4,2,28,24.9,6,47.8
5,5,"2015-11-05","25-351","DEN","","UTA",-12,1,"30:06",4,8,0.5,0,0,NA,1,2,0.5,2,8,10,2,0,0,0,4,9,8.2,-8,24.5
6,6,"2015-11-06","25-352","DEN","@","GSW",-15,1,"21:23",4,9,0.444,0,0,NA,0,0,NA,3,8,11,1,0,1,1,2,8,7.4,-5,24.8
7,7,"2015-11-09","25-355","DEN","","POR",4,1,"30:42",8,13,0.615,0,0,NA,1,4,0.25,4,4,8,1,1,0,2,2,17,12.8,3,29.5
8,8,"2015-11-11","25-357","DEN","","MIL",1,1,"33:24",8,9,0.889,0,0,NA,3,6,0.5,5,4,9,1,2,3,2,0,19,22.2,-5,40.8
9,9,"2015-11-13","25-359","DEN","","HOU",9,1,"30:04",6,16,0.375,0,0,NA,2,2,1,4,7,11,1,0,2,0,3,14,11,3,34.8
10,10,"2015-11-14","25-360","DEN","@","PHO",-24,1,"14:15",1,3,0.333,0,0,NA,0,0,NA,4,3,7,0,1,0,2,1,2,2.6,-22,11.8
11,11,"2015-11-17","25-363","DEN","@","NOP",17,1,"25:46",5,6,0.833,0,0,NA,1,1,1,1,6,7,0,0,1,1,5,11,9,24,21.3
12,12,"2015-11-18","25-364","DEN","@","SAS",-11,1,"28:50",7,12,0.583,0,0,NA,1,1,1,0,7,7,3,1,0,0,2,15,13.8,-7,30.3
13,13,"2015-11-20","26-001","DEN","","PHO",-7,1,"24:45",2,4,0.5,0,0,NA,0,2,0,3,4,7,1,1,0,3,3,4,2,-6,14.8
17,14,"2015-11-28","26-009","DEN","@","DAL",-11,0,"14:08",4,5,0.8,0,0,NA,2,3,0.667,2,3,5,0,2,1,3,4,10,8.1,4,20.8
18,15,"2015-11-30","26-011","DEN","@","MIL",-18,1,"22:40",5,9,0.556,0,0,NA,1,1,1,2,5,7,1,0,0,2,2,11,7.5,-5,20.3
19,16,"2015-12-02","26-013","DEN","@","CHI",-9,1,"28:36",7,10,0.7,0,0,NA,0,2,0,5,4,9,3,0,1,4,3,14,11.3,-2,29.8
21,17,"2015-12-05","26-016","DEN","@","PHI",3,0,"21:39",4,8,0.5,0,0,NA,4,9,0.444,5,4,9,2,0,2,3,1,12,10.1,7,28.8
22,18,"2015-12-08","26-019","DEN","","ORL",-11,1,"35:42",2,12,0.167,0,0,NA,3,6,0.5,2,9,11,3,1,2,2,3,7,3.6,-7,30.3
23,19,"2015-12-11","26-022","DEN","","MIN",3,1,"37:33",4,8,0.5,0,0,NA,6,15,0.4,3,9,12,0,1,1,1,3,14,10.7,4,34
24,20,"2015-12-14","26-025","DEN","","HOU",6,1,"19:48",5,8,0.625,0,0,NA,1,2,0.5,5,4,9,1,0,2,1,1,11,12.4,-11,27.3
25,21,"2015-12-15","26-026","DEN","@","MIN",12,1,"28:16",7,12,0.583,0,0,NA,5,8,0.625,3,7,10,1,0,3,0,5,19,17.2,-3,40.5
26,22,"2015-12-18","26-029","DEN","@","UTA",-9,1,"28:47",4,11,0.364,0,0,NA,0,2,0,4,3,7,0,0,0,2,4,8,1.2,-7,15.8
27,23,"2015-12-20","26-031","DEN","","NOP",-5,1,"24:14",8,14,0.571,0,1,0,5,7,0.714,9,4,13,0,0,0,1,5,21,18.1,-13,38.3
28,24,"2015-12-22","26-033","DEN","","LAL",-4,1,"29:37",4,9,0.444,0,0,NA,6,6,1,3,6,9,3,0,1,1,1,14,14.6,-9,31.3
29,25,"2015-12-23","26-034","DEN","@","PHO",8,1,"27:13",5,7,0.714,0,0,NA,1,3,0.333,3,3,6,0,0,3,1,2,11,10.6,-1,24
30,26,"2015-12-26","26-037","DEN","@","SAS",-15,1,"23:35",4,7,0.571,0,0,NA,0,0,NA,0,2,2,0,0,1,1,2,8,4.2,-24,12
31,27,"2015-12-27","26-038","DEN","@","OKC",-10,1,"28:48",12,20,0.6,0,0,NA,1,2,0.5,8,3,11,1,0,2,1,2,25,22.2,-8,45.3
32,28,"2015-12-29","26-040","DEN","","CLE",-6,1,"27:54",4,8,0.5,0,0,NA,1,2,0.5,3,5,8,0,1,0,0,3,9,8,1,21
33,29,"2015-12-30","26-041","DEN","@","POR",-7,1,"29:31",4,12,0.333,0,0,NA,0,0,NA,3,9,12,2,0,2,4,3,8,3.6,-2,28
34,30,"2016-01-02","26-044","DEN","@","GSW",-3,1,"28:52",7,12,0.583,0,0,NA,1,1,1,9,3,12,4,0,0,1,3,15,17.2,-9,37
35,31,"2016-01-03","26-045","DEN","","POR",-6,1,"27:28",6,14,0.429,0,0,NA,1,5,0.2,6,3,9,1,0,1,1,2,13,8.7,5,27.3
36,32,"2016-01-06","26-048","DEN","@","MIN",4,1,"18:08",1,8,0.125,0,0,NA,1,2,0.5,2,5,7,0,2,0,0,2,3,1.5,-11,15.8
39,33,"2016-01-13","26-055","DEN","","GSW",2,1,"20:03",2,4,0.5,0,0,NA,1,2,0.5,2,2,4,2,0,1,0,3,5,5.5,-1,15
40,34,"2016-01-15","26-057","DEN","","MIA",-3,1,"26:14",4,9,0.444,0,0,NA,6,7,0.857,0,5,5,1,1,2,2,3,14,10.3,-3,26.8
41,35,"2016-01-17","26-059","DEN","","IND",3,1,"26:54",5,7,0.714,0,0,NA,3,5,0.6,6,3,9,1,1,0,0,1,13,15.7,3,27.8
42,36,"2016-01-19","26-061","DEN","","OKC",-6,1,"28:22",6,13,0.462,0,0,NA,5,6,0.833,7,8,15,1,0,1,1,5,17,15.6,-1,40.3
43,37,"2016-01-21","26-063","DEN","","MEM",-1,1,"23:52",8,12,0.667,0,0,NA,1,3,0.333,3,9,12,0,0,1,0,2,17,15.7,-1,35.5
45,38,"2016-01-25","26-067","DEN","","ATL",-14,1,"16:36",2,5,0.4,0,0,NA,0,0,NA,2,3,5,1,0,1,1,3,4,2.8,-6,13.3
46,39,"2016-01-27","26-069","DEN","@","BOS",-8,1,"28:16",7,13,0.538,0,0,NA,1,2,0.5,6,9,15,4,1,1,0,2,15,18.9,9,45.3
47,40,"2016-01-28","26-070","DEN","@","WAS",4,1,"26:38",2,3,0.667,0,0,NA,3,4,0.75,0,5,5,2,1,1,1,3,7,7.7,9,19.8
48,41,"2016-01-30","26-072","DEN","@","IND",-4,1,"35:04",6,10,0.6,0,0,NA,4,4,1,3,9,12,0,1,0,3,5,16,12.2,6,33
49,42,"2016-02-01","26-074","DEN","","TOR",19,1,"23:53",5,6,0.833,0,0,NA,3,3,1,0,7,7,2,1,0,2,1,13,12.9,13,25.8
50,43,"2016-02-03","26-076","DEN","@","UTA",-4,1,"27:04",5,8,0.625,0,0,NA,4,5,0.8,2,3,5,0,0,1,2,3,14,9.8,-3,21.3
51,44,"2016-02-05","26-078","DEN","","CHI",5,1,"26:16",4,5,0.8,0,0,NA,3,9,0.333,3,8,11,3,0,0,3,3,11,9.1,11,29.3
52,45,"2016-02-07","26-080","DEN","@","NYK",5,1,"26:10",7,10,0.7,0,0,NA,0,0,NA,3,3,6,0,0,1,1,1,14,12.1,-8,23
53,46,"2016-02-08","26-081","DEN","@","BRK",-1,1,"28:54",10,16,0.625,0,0,NA,2,2,1,6,7,13,2,0,1,0,2,22,22.4,8,44.8
54,47,"2016-02-10","26-083","DEN","@","DET",11,1,"18:23",6,9,0.667,0,0,NA,0,1,0,2,4,6,1,0,0,2,4,12,7.4,-1,20
55,48,"2016-02-19","26-092","DEN","@","SAC",-6,1,"23:07",3,8,0.375,0,0,NA,0,2,0,2,7,9,1,0,2,0,1,6,6,-9,22.8
56,49,"2016-02-21","26-094","DEN","","BOS",-20,1,"13:13",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,2,0,0.2,-6,2.8
57,50,"2016-02-23","26-096","DEN","","SAC",-4,1,"21:56",6,9,0.667,0,0,NA,1,2,0.5,3,4,7,1,1,1,0,3,13,13.2,-5,27.3
58,51,"2016-02-24","26-097","DEN","@","LAC",6,1,"22:44",10,15,0.667,0,0,NA,1,1,1,6,5,11,1,1,0,0,2,21,21.1,7,39.8
59,52,"2016-02-26","26-099","DEN","@","DAL",-6,1,"33:45",8,12,0.667,0,0,NA,4,6,0.667,6,6,12,0,1,1,1,4,20,19.1,-20,40
60,53,"2016-02-29","26-102","DEN","","MEM",-7,1,"28:24",8,12,0.667,0,0,NA,0,0,NA,4,7,11,4,1,0,1,3,16,17.3,-5,38.8
61,54,"2016-03-02","26-104","DEN","","LAL",10,1,"17:57",4,5,0.8,0,0,NA,2,2,1,0,3,3,1,0,0,0,4,10,8.1,8,15.3
62,55,"2016-03-04","26-106","DEN","","BRK",-1,1,"27:42",6,9,0.667,0,0,NA,5,6,0.833,4,6,10,1,0,1,2,1,17,16.3,1,33.5
63,56,"2016-03-06","26-108","DEN","","DAL",2,1,"36:09",11,18,0.611,0,0,NA,3,6,0.5,11,9,20,1,1,1,0,2,25,27.6,17,57
64,57,"2016-03-08","26-110","DEN","","NYK",16,1,"27:50",10,16,0.625,0,0,NA,4,5,0.8,6,4,10,0,1,1,1,1,24,22.1,22,41.5
65,58,"2016-03-10","26-112","DEN","","PHO",18,1,"14:38",2,9,0.222,0,0,NA,0,0,NA,3,2,5,1,1,1,2,2,4,0.8,-4,14.8
66,59,"2016-03-12","26-114","DEN","","WAS",16,1,"20:50",4,6,0.667,0,0,NA,2,2,1,1,4,5,0,0,0,2,1,10,6.9,-15,15.3
67,60,"2016-03-14","26-116","DEN","@","MIA",-5,1,"25:41",11,11,1,0,0,NA,2,3,0.667,6,5,11,2,0,1,3,3,24,23.9,8,42.8
68,61,"2016-03-15","26-117","DEN","@","ORL",-6,1,"14:49",3,5,0.6,0,0,NA,1,2,0.5,1,4,5,1,0,0,2,2,7,4.1,-11,13.8
75,62,"2016-03-28","26-130","DEN","","DAL",-9,1,"22:22",3,7,0.429,0,0,NA,3,4,0.75,4,7,11,0,0,2,4,3,9,6,-9,24.8
76,63,"2016-03-30","26-132","DEN","@","MEM",4,1,"24:11",2,7,0.286,0,0,NA,2,2,1,2,3,5,2,0,0,2,5,6,1.6,18,14.3
77,64,"2016-03-31","26-133","DEN","@","NOP",-6,1,"24:49",3,11,0.273,0,0,NA,4,6,0.667,5,7,12,2,2,0,1,0,10,10.7,-1,33
78,65,"2016-04-02","26-135","DEN","","SAC",-9,1,"16:13",4,8,0.5,0,0,NA,0,0,NA,2,5,7,2,0,2,0,1,8,9.3,4,23.8
79,66,"2016-04-05","26-138","DEN","","OKC",-22,1,"22:46",1,6,0.167,0,0,NA,2,2,1,1,1,2,2,1,0,1,3,4,1.4,-14,11
82,67,"2016-04-13","26-146","DEN","@","POR",-8,0,"19:19",4,9,0.444,1,1,1,3,5,0.6,5,3,8,0,1,2,2,3,12,10.1,-1,27.5
