"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-105","UTA","@","DET",-5,1,"34:42",10,15,0.667,0,0,NA,6,8,0.75,2,4,6,1,1,1,2,3,26,20.5,-3,38
2,2,"2015-10-30","24-107","UTA","@","PHI",28,1,"29:17",6,17,0.353,0,0,NA,8,10,0.8,2,10,12,1,3,2,0,2,20,18.4,16,48
3,3,"2015-10-31","24-108","UTA","@","IND",21,1,"31:11",9,16,0.563,0,0,NA,0,1,0,2,5,7,2,3,1,1,3,18,15.8,18,37.3
4,4,"2015-11-04","24-112","UTA","","POR",-16,1,"24:36",2,7,0.286,0,0,NA,2,6,0.333,4,6,10,1,4,2,1,4,6,8.4,-3,31.5
5,5,"2015-11-05","24-113","UTA","@","DEN",12,1,"15:08",3,7,0.429,0,0,NA,0,0,NA,2,1,3,0,0,0,1,1,6,2.6,-5,9.3
6,6,"2015-11-07","24-115","UTA","","MEM",10,1,"39:34",5,11,0.455,0,0,NA,2,2,1,3,13,16,0,3,1,4,2,12,11.2,10,39.5
7,7,"2015-11-10","24-118","UTA","@","CLE",-4,1,"35:21",7,12,0.583,0,0,NA,3,6,0.5,4,5,9,4,2,0,1,3,17,17.1,-7,37.8
8,8,"2015-11-12","24-120","UTA","@","MIA",-1,1,"39:45",10,18,0.556,0,0,NA,5,7,0.714,5,7,12,2,3,7,1,3,25,28.3,11,64
9,9,"2015-11-13","24-121","UTA","@","ORL",-9,1,"19:26",2,4,0.5,0,0,NA,1,1,1,0,7,7,1,3,1,2,2,5,6.7,-15,22.3
10,10,"2015-11-15","24-123","UTA","@","ATL",1,1,"32:21",11,20,0.55,0,1,0,1,1,1,4,5,9,3,0,2,4,2,23,16.4,1,40.8
11,11,"2015-11-18","24-126","UTA","","TOR",4,1,"31:34",7,9,0.778,0,0,NA,4,7,0.571,1,10,11,1,1,0,0,0,18,18.7,16,36.8
12,12,"2015-11-20","24-128","UTA","@","DAL",-9,1,"35:43",9,14,0.643,0,0,NA,0,0,NA,4,3,7,2,0,0,3,1,18,13.5,-16,28.3
13,13,"2015-11-23","24-131","UTA","","OKC",-22,1,"29:32",4,10,0.4,0,0,NA,3,5,0.6,1,6,7,2,2,2,2,1,11,9.7,-16,29.8
14,14,"2015-11-25","24-133","UTA","@","LAC",11,1,"32:45",10,15,0.667,0,0,NA,2,2,1,2,1,3,2,3,0,1,3,22,19.4,18,34.3
16,15,"2015-11-30","24-138","UTA","","GSW",-3,1,"34:08",9,15,0.6,0,0,NA,5,5,1,5,5,10,2,2,0,0,3,23,23.3,-4,44
17,16,"2015-12-03","24-141","UTA","","ORL",-9,1,"38:00",4,7,0.571,0,0,NA,4,6,0.667,2,8,10,2,1,1,1,0,12,13.8,-12,32.5
18,17,"2015-12-05","24-143","UTA","","IND",3,1,"43:32",14,24,0.583,0,0,NA,7,9,0.778,7,6,13,1,1,1,2,3,35,28.9,3,57.3
19,18,"2015-12-08","24-146","UTA","@","SAC",-8,1,"34:45",5,13,0.385,0,0,NA,4,7,0.571,6,4,10,4,1,0,2,4,14,11.3,-16,35
20,19,"2015-12-09","24-147","UTA","","NYK",21,1,"28:07",8,13,0.615,0,0,NA,4,4,1,2,6,8,0,0,0,0,3,20,16.1,11,30
21,20,"2015-12-11","24-149","UTA","","OKC",-4,1,"36:27",6,13,0.462,0,0,NA,1,2,0.5,3,4,7,1,2,3,1,2,13,12.2,-11,32.8
22,21,"2015-12-13","24-151","UTA","@","OKC",-6,1,"41:33",7,17,0.412,0,0,NA,0,0,NA,7,3,10,0,0,0,0,3,14,9.5,-18,28
23,22,"2015-12-14","24-152","UTA","@","SAS",-37,1,"24:03",6,14,0.429,0,0,NA,4,6,0.667,0,3,3,0,1,1,1,2,16,8.6,-35,23.3
24,23,"2015-12-16","24-154","UTA","","NOP",-10,1,"35:20",10,15,0.667,0,0,NA,2,2,1,2,5,7,5,1,1,0,1,22,23.2,0,42.3
25,24,"2015-12-18","24-156","UTA","","DEN",9,1,"35:27",2,8,0.25,0,0,NA,3,5,0.6,3,6,9,0,1,0,1,4,7,3.7,7,19.8
26,25,"2015-12-21","24-159","UTA","","PHO",21,1,"32:37",6,12,0.5,0,0,NA,6,8,0.75,4,5,9,2,0,2,3,3,18,14.1,32,34.8
27,26,"2015-12-23","24-161","UTA","@","GSW",-18,1,"33:10",7,16,0.438,0,0,NA,3,4,0.75,6,3,9,1,0,2,4,5,17,9.4,-22,31.8
44,27,"2016-01-25","24-194","UTA","","DET",-3,0,"19:34",5,8,0.625,0,0,NA,4,5,0.8,2,3,5,1,0,0,2,3,14,9.8,12,20.8
45,28,"2016-01-27","24-196","UTA","","CHO",29,0,"20:49",6,9,0.667,0,0,NA,0,2,0,1,2,3,2,1,0,0,1,12,10.6,20,20.8
46,29,"2016-01-29","24-198","UTA","","MIN",13,1,"34:53",9,16,0.563,0,0,NA,2,3,0.667,2,7,9,1,0,1,1,4,20,14.3,13,34.3
47,30,"2016-02-01","24-201","UTA","","CHI",9,1,"37:33",4,14,0.286,0,0,NA,5,8,0.625,0,8,8,0,0,4,2,3,13,5.6,8,30
48,31,"2016-02-03","24-203","UTA","","DEN",4,1,"34:40",7,14,0.5,0,0,NA,2,4,0.5,3,8,11,0,0,6,3,2,16,13.1,2,41.8
49,32,"2016-02-05","24-205","UTA","","MIL",3,1,"32:18",4,15,0.267,0,0,NA,3,6,0.5,5,10,15,1,2,5,2,3,11,10.4,2,45.8
50,33,"2016-02-06","24-206","UTA","@","PHO",9,1,"30:22",4,10,0.4,0,1,0,3,4,0.75,2,5,7,1,1,0,1,5,11,6.8,11,22.8
51,34,"2016-02-09","24-209","UTA","@","DAL",2,1,"35:01",7,14,0.5,0,0,NA,2,4,0.5,3,5,8,6,1,0,2,3,16,13.8,3,36
52,35,"2016-02-10","24-210","UTA","@","NOP",-4,1,"39:29",11,15,0.733,0,0,NA,7,10,0.7,1,5,6,2,1,0,5,3,29,20.1,-3,39
53,36,"2016-02-18","24-218","UTA","@","WAS",-14,1,"21:39",4,9,0.444,0,0,NA,3,4,0.75,2,3,5,1,0,2,4,4,11,4.7,-20,20.8
54,37,"2016-02-19","24-219","UTA","","BOS",18,1,"33:13",9,14,0.643,0,0,NA,5,5,1,1,9,10,6,0,3,2,4,23,22.9,28,51
55,38,"2016-02-21","24-221","UTA","@","POR",-4,1,"33:54",9,16,0.563,0,0,NA,4,4,1,5,3,8,1,0,1,1,5,22,17.2,7,35
56,39,"2016-02-23","24-223","UTA","","HOU",3,1,"39:41",7,13,0.538,0,0,NA,5,5,1,5,7,12,2,2,3,3,4,19,19.2,1,47
57,40,"2016-02-25","24-225","UTA","","SAS",-18,1,"36:30",12,17,0.706,0,0,NA,1,2,0.5,1,5,6,3,2,0,1,2,25,22,-17,40.5
58,41,"2016-02-27","24-227","UTA","","BRK",-2,1,"32:40",5,14,0.357,0,0,NA,3,5,0.6,4,7,11,0,1,2,3,3,13,7.5,-1,32.8
59,42,"2016-02-29","24-229","UTA","@","BOS",-5,1,"37:18",5,15,0.333,0,0,NA,1,1,1,3,13,16,2,1,3,2,1,11,10.6,-1,42.5
60,43,"2016-03-02","24-231","UTA","@","TOR",-10,1,"35:18",7,13,0.538,0,0,NA,1,1,1,3,4,7,1,0,1,0,3,15,12.2,-6,27.3
61,44,"2016-03-04","24-233","UTA","@","MEM",-6,1,"28:31",7,17,0.412,0,0,NA,0,0,NA,2,1,3,0,0,0,2,0,14,4.6,-12,16.8
62,45,"2016-03-05","24-234","UTA","@","NOP",12,1,"35:25",11,19,0.579,0,0,NA,6,6,1,1,10,11,3,1,6,3,1,28,26.7,15,60.3
63,46,"2016-03-08","24-237","UTA","","ATL",-7,1,"36:00",7,15,0.467,0,0,NA,2,4,0.5,4,4,8,1,2,3,3,3,16,12.1,4,36
64,47,"2016-03-09","24-238","UTA","@","GSW",-21,1,"26:48",5,12,0.417,0,0,NA,1,1,1,1,3,4,2,1,2,0,0,11,10,-17,25
65,48,"2016-03-11","24-240","UTA","","WAS",21,1,"31:45",4,9,0.444,0,0,NA,6,8,0.75,2,7,9,1,2,0,1,2,14,12.9,25,30.3
66,49,"2016-03-13","24-242","UTA","@","SAC",9,1,"37:30",10,16,0.625,0,0,NA,8,10,0.8,5,9,14,4,3,1,1,2,28,30.9,7,60.5
67,50,"2016-03-14","24-243","UTA","","CLE",9,1,"31:58",7,15,0.467,0,0,NA,5,7,0.714,2,3,5,0,1,3,3,1,19,12.5,-3,31.8
68,51,"2016-03-17","24-246","UTA","","PHO",34,1,"26:33",5,11,0.455,0,0,NA,2,2,1,1,4,5,0,2,1,1,3,12,8.7,20,23.8
69,52,"2016-03-19","24-248","UTA","@","CHI",-7,1,"35:47",11,18,0.611,0,0,NA,2,5,0.4,2,4,6,2,1,2,3,3,24,16.8,-1,39
70,53,"2016-03-20","24-249","UTA","@","MIL",9,1,"32:01",5,13,0.385,0,0,NA,2,2,1,5,4,9,0,1,1,1,3,12,9.1,3,26.8
