"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","32-034","DEN","@","HOU",20,0,"18:00",1,6,0.167,1,6,0.167,0,0,NA,0,4,4,2,2,0,1,1,3,2.4,-5,15
2,2,"2015-10-30","32-036","DEN","","MIN",-17,0,"8:22",0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,1,0,0,-2.4,-7,-0.5
3,3,"2015-11-01","32-038","DEN","@","OKC",-24,0,"16:09",1,6,0.167,1,5,0.2,0,0,NA,0,0,0,1,0,0,0,0,3,-0.1,-1,5
4,4,"2015-11-03","32-040","DEN","@","LAL",11,0,"16:09",3,7,0.429,0,3,0,0,0,NA,0,0,0,1,0,1,1,2,6,1.9,4,9
5,5,"2015-11-05","32-042","DEN","","UTA",-12,0,"17:28",3,9,0.333,3,8,0.375,2,2,1,0,2,2,1,0,0,0,0,11,7.2,-2,16.5
6,6,"2015-11-06","32-043","DEN","@","GSW",-15,0,"18:25",0,5,0,0,2,0,0,0,NA,0,3,3,3,0,0,2,0,0,-2.5,-6,7.3
7,7,"2015-11-09","32-046","DEN","","POR",4,0,"19:40",4,6,0.667,3,4,0.75,2,2,1,0,1,1,3,0,0,2,1,13,10.4,8,19.3
8,8,"2015-11-11","32-048","DEN","","MIL",1,0,"17:06",2,5,0.4,0,2,0,0,0,NA,1,2,3,0,1,0,1,4,4,1,-4,9.3
9,9,"2015-11-13","32-050","DEN","","HOU",9,0,"25:41",3,6,0.5,1,4,0.25,2,4,0.5,0,1,1,3,2,0,0,1,9,9.2,0,19.3
10,10,"2015-11-14","32-051","DEN","@","PHO",-24,0,"22:42",4,13,0.308,0,4,0,0,0,NA,0,0,0,3,0,1,0,2,8,2.5,-18,14.5
11,11,"2015-11-17","32-054","DEN","@","NOP",17,0,"25:10",2,8,0.25,0,5,0,1,1,1,0,4,4,2,0,0,3,0,5,-0.2,1,11.5
12,12,"2015-11-18","32-055","DEN","@","SAS",-11,0,"16:24",0,5,0,0,2,0,0,0,NA,0,0,0,1,0,0,2,2,0,-5.6,-5,0.5
13,13,"2015-11-20","32-057","DEN","","PHO",-7,0,"13:09",1,3,0.333,0,1,0,0,0,NA,1,0,1,0,0,0,0,3,2,-0.2,-13,3.3
14,14,"2015-11-22","32-059","DEN","","GSW",-13,0,"13:56",0,2,0,0,1,0,0,0,NA,0,0,0,1,1,0,0,1,0,-0.1,3,3.5
15,15,"2015-11-24","32-061","DEN","","LAC",-17,0,"12:34",1,4,0.25,1,3,0.333,0,0,NA,2,1,3,2,0,0,1,2,3,1.9,-6,9.8
16,16,"2015-11-27","32-064","DEN","","SAS",-11,0,"21:38",3,4,0.75,0,1,0,0,0,NA,0,1,1,3,2,0,2,0,6,6.8,12,14.8
17,17,"2015-11-28","32-065","DEN","@","DAL",-11,1,"36:44",2,9,0.222,1,4,0.25,0,0,NA,1,0,1,3,0,0,1,2,5,0.5,-6,10.8
18,18,"2015-11-30","32-067","DEN","@","MIL",-18,1,"24:07",1,7,0.143,1,3,0.333,2,2,1,3,4,7,1,0,1,3,1,5,1.8,-23,16.3
19,19,"2015-12-02","32-069","DEN","@","CHI",-9,1,"21:04",1,5,0.2,1,3,0.333,2,2,1,0,1,1,4,1,2,0,2,5,6.6,6,18.8
20,20,"2015-12-03","32-070","DEN","@","TOR",1,1,"36:15",3,9,0.333,1,4,0.25,5,5,1,0,2,2,4,0,0,4,2,12,5.5,-2,19
21,21,"2015-12-05","32-072","DEN","@","PHI",3,1,"35:30",4,10,0.4,0,4,0,3,3,1,1,4,5,1,1,0,1,4,11,6.6,4,20.3
22,22,"2015-12-08","32-075","DEN","","ORL",-11,1,"17:16",2,3,0.667,1,2,0.5,0,0,NA,0,2,2,1,0,0,2,2,5,2.2,-18,8.5
23,23,"2015-12-11","32-078","DEN","","MIN",3,0,"3:03",0,2,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,1,0,-1.1,-2,1.5
24,24,"2015-12-14","32-081","DEN","","HOU",6,0,"12:17",0,3,0,0,2,0,3,4,0.75,0,3,3,3,0,0,2,0,3,1.5,-1,10.3
25,25,"2015-12-15","32-082","DEN","@","MIN",12,0,"25:06",7,9,0.778,5,6,0.833,0,0,NA,0,2,2,2,2,0,1,1,19,18.1,12,30.5
26,26,"2015-12-18","32-085","DEN","@","UTA",-9,0,"14:40",0,1,0,0,1,0,0,0,NA,0,0,0,2,3,0,1,2,0,1.9,4,8.5
27,27,"2015-12-20","32-087","DEN","","NOP",-5,0,"21:08",6,10,0.6,5,7,0.714,0,0,NA,0,2,2,3,1,0,1,3,17,13.9,12,28
28,28,"2015-12-22","32-089","DEN","","LAL",-4,0,"29:16",4,12,0.333,1,3,0.333,0,0,NA,2,4,6,4,0,1,1,3,9,6.1,-7,24.5
29,29,"2015-12-23","32-090","DEN","@","PHO",8,1,"40:19",12,27,0.444,7,16,0.438,0,1,0,0,2,2,6,0,0,4,3,31,16.1,9,44
30,30,"2015-12-26","32-093","DEN","@","SAS",-15,0,"27:15",3,9,0.333,1,3,0.333,2,2,1,0,1,1,5,1,0,2,0,9,6.7,1,19.3
31,31,"2015-12-27","32-094","DEN","@","OKC",-10,0,"22:41",2,5,0.4,0,2,0,0,0,NA,0,2,2,3,0,0,1,2,4,2.2,7,10.5
32,32,"2015-12-29","32-096","DEN","","CLE",-6,0,"25:28",3,9,0.333,1,3,0.333,0,0,NA,0,3,3,2,1,0,1,2,7,3.4,3,15.8
33,33,"2015-12-30","32-097","DEN","@","POR",-7,0,"15:16",1,7,0.143,0,3,0,4,4,1,0,2,2,0,1,0,1,1,6,1.7,-9,10
34,34,"2016-01-02","32-100","DEN","@","GSW",-3,0,"20:56",1,3,0.333,0,1,0,0,0,NA,1,0,1,4,1,0,0,0,2,4.8,10,11.3
35,35,"2016-01-03","32-101","DEN","","POR",-6,0,"17:24",1,6,0.167,0,2,0,2,2,1,0,0,0,2,0,2,1,1,4,1.6,-14,10.5
36,36,"2016-01-06","32-104","DEN","@","MIN",4,0,"27:44",2,7,0.286,0,2,0,0,0,NA,1,2,3,3,0,0,0,2,4,2.5,16,12.3
37,37,"2016-01-08","32-106","DEN","@","MEM",-7,0,"17:39",1,6,0.167,0,3,0,0,0,NA,0,2,2,1,0,0,2,0,2,-2.5,-10,5
38,38,"2016-01-10","32-108","DEN","","CHO",3,0,"21:26",3,4,0.75,1,2,0.5,2,2,1,1,0,1,2,0,2,0,4,9,9.3,0,17.8
39,39,"2016-01-13","32-111","DEN","","GSW",2,0,"6:05",0,1,0,0,1,0,0,0,NA,0,1,1,1,0,0,0,0,0,0.3,-4,2.8
40,40,"2016-01-15","32-113","DEN","","MIA",-3,0,"6:56",0,1,0,0,1,0,0,0,NA,0,1,1,1,0,0,0,0,0,0.3,5,2.8
41,41,"2016-01-17","32-115","DEN","","IND",3,0,"16:34",4,8,0.5,2,4,0.5,2,4,0.5,0,3,3,6,0,1,0,1,12,12.6,1,27.8
42,42,"2016-01-19","32-117","DEN","","OKC",-6,0,"14:46",1,5,0.2,0,1,0,1,2,0.5,0,3,3,1,1,1,2,4,3,-0.8,-5,11.3
43,43,"2016-01-21","32-119","DEN","","MEM",-1,0,"20:37",2,7,0.286,0,2,0,2,3,0.667,0,0,0,1,0,0,0,2,6,1.4,-5,7.5
44,44,"2016-01-23","32-121","DEN","","DET",3,0,"13:29",3,7,0.429,2,3,0.667,0,0,NA,0,2,2,1,0,0,1,1,8,4.2,-13,12.5
45,45,"2016-01-25","32-123","DEN","","ATL",-14,0,"17:36",0,4,0,0,1,0,0,0,NA,2,2,4,1,0,0,2,2,0,-2.9,-3,5.5
46,46,"2016-01-27","32-125","DEN","@","BOS",-8,0,"21:49",2,9,0.222,1,4,0.25,2,2,1,0,2,2,1,0,1,1,2,7,1.7,-1,13
47,47,"2016-01-28","32-126","DEN","@","WAS",4,0,"13:19",1,2,0.5,0,1,0,0,0,NA,0,1,1,2,0,1,2,0,2,1.4,-2,7.3
48,48,"2016-01-30","32-128","DEN","@","IND",-4,0,"12:25",1,3,0.333,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,2,0.6,-6,3.3
49,49,"2016-02-01","32-130","DEN","","TOR",19,0,"24:08",6,7,0.857,4,5,0.8,0,0,NA,0,5,5,3,1,2,3,4,16,14.9,10,33.3
50,50,"2016-02-03","32-132","DEN","@","UTA",-4,0,"15:29",0,3,0,0,1,0,0,0,NA,0,2,2,0,1,0,0,2,0,-1.3,-4,4.5
51,51,"2016-02-05","32-134","DEN","","CHI",5,0,"22:32",3,5,0.6,0,2,0,0,0,NA,0,2,2,6,2,0,0,1,6,10.1,17,21.5
52,52,"2016-02-07","32-136","DEN","@","NYK",5,0,"16:45",1,2,0.5,0,1,0,0,0,NA,0,2,2,1,1,0,1,2,2,1.5,8,7.5
53,53,"2016-02-08","32-137","DEN","@","BRK",-1,0,"31:10",4,11,0.364,3,7,0.429,0,0,NA,0,3,3,2,0,0,1,3,11,5,-2,18.8
54,54,"2016-02-10","32-139","DEN","@","DET",11,0,"20:43",2,4,0.5,2,3,0.667,0,0,NA,0,2,2,2,0,0,0,2,6,5.2,6,12.5
56,55,"2016-02-21","32-150","OKC","","CLE",-23,0,"13:50",1,5,0.2,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,2,-1.6,-16,3.5
57,56,"2016-02-24","32-153","OKC","@","DAL",13,0,"21:59",2,7,0.286,2,5,0.4,0,0,NA,0,2,2,2,0,0,0,2,6,3.1,15,12.5
58,57,"2016-02-25","32-154","OKC","@","NOP",-4,0,"17:16",2,4,0.5,0,1,0,0,0,NA,1,2,3,2,1,0,0,0,4,5.7,0,12.8
59,58,"2016-02-27","32-156","OKC","","GSW",-3,0,"6:26",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-6,0
60,59,"2016-02-29","32-158","OKC","@","SAC",15,0,"24:23",2,7,0.286,2,7,0.286,0,0,NA,0,3,3,3,0,1,1,2,6,3.8,16,16.8
61,60,"2016-03-02","32-160","OKC","@","LAC",-5,0,"25:40",3,4,0.75,2,3,0.667,0,0,NA,0,4,4,2,1,2,2,1,8,9,-2,22
62,61,"2016-03-03","32-161","OKC","@","GSW",-15,0,"19:30",2,7,0.286,0,3,0,0,0,NA,1,3,4,2,0,0,0,1,4,2.5,-11,12
63,62,"2016-03-06","32-164","OKC","@","MIL",8,0,"15:27",0,4,0,0,3,0,0,0,NA,1,0,1,2,0,0,1,3,0,-2.9,-7,3.8
64,63,"2016-03-09","32-167","OKC","","LAC",12,0,"22:57",1,4,0.25,1,3,0.333,0,0,NA,0,3,3,3,0,1,0,1,3,3.9,10,13.8
65,64,"2016-03-11","32-169","OKC","","MIN",-3,0,"28:39",2,7,0.286,1,4,0.25,1,2,0.5,0,1,1,2,1,0,2,4,6,0.6,3,11.8
66,65,"2016-03-12","32-170","OKC","@","SAS",-8,0,"15:28",1,4,0.25,0,1,0,2,2,1,1,3,4,1,1,0,2,1,4,2.5,-9,11.5
67,66,"2016-03-14","32-172","OKC","","POR",34,0,"28:41",4,6,0.667,3,3,1,0,0,NA,1,3,4,2,0,1,3,3,11,7.9,22,21
68,67,"2016-03-16","32-174","OKC","@","BOS",21,0,"28:04",4,6,0.667,3,5,0.6,2,2,1,0,4,4,0,0,0,1,4,13,9,-6,19
69,68,"2016-03-18","32-176","OKC","@","PHI",14,0,"26:36",2,6,0.333,1,5,0.2,4,4,1,2,0,2,5,1,1,0,4,9,10.6,6,23.5
70,69,"2016-03-19","32-177","OKC","@","IND",4,0,"29:27",4,8,0.5,2,5,0.4,2,3,0.667,0,2,2,1,1,1,1,1,12,9.2,9,20.5
71,70,"2016-03-22","32-180","OKC","","HOU",4,0,"23:42",0,5,0,0,4,0,0,0,NA,0,0,0,1,2,0,0,2,0,-1.6,12,5.5
72,71,"2016-03-24","32-182","OKC","","UTA",22,0,"22:50",2,4,0.5,1,3,0.333,1,2,0.5,0,0,0,2,1,0,2,1,6,3.6,4,10.5
73,72,"2016-03-26","32-184","OKC","","SAS",19,0,"21:37",1,6,0.167,0,3,0,0,0,NA,0,1,1,1,0,0,1,1,2,-2.2,3,4.3
74,73,"2016-03-28","32-186","OKC","@","TOR",19,0,"13:54",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,1,2,0,-1.5,-16,2.3
75,74,"2016-03-29","32-187","OKC","@","DET",-6,0,"23:20",3,9,0.333,1,4,0.25,2,4,0.5,0,5,5,3,0,2,1,0,9,7.1,11,23.8
76,75,"2016-03-31","32-189","OKC","","LAC",2,0,"20:45",1,3,0.333,1,3,0.333,0,0,NA,0,0,0,3,1,0,1,1,3,3,8,9.5
