"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-11-01","32-168","ORL","@","CHI",-5,0,"9:20",0,2,0,0,2,0,1,2,0.5,1,1,2,1,0,0,0,0,1,0.9,-5,5
6,2,"2015-11-06","32-173","ORL","","TOR",5,0,"14:27",2,4,0.5,1,3,0.333,0,0,NA,0,3,3,0,0,0,1,3,5,1.7,6,8.8
8,3,"2015-11-09","32-176","ORL","@","IND",-13,0,"22:39",5,10,0.5,4,9,0.444,0,0,NA,1,7,8,0,0,0,2,5,14,7.8,-16,25
9,4,"2015-11-11","32-178","ORL","","LAL",2,0,"16:09",6,7,0.857,2,2,1,0,0,NA,4,1,5,0,1,1,0,1,14,15.9,1,25.3
10,5,"2015-11-13","32-180","ORL","","UTA",9,1,"23:16",2,7,0.286,2,6,0.333,2,2,1,2,3,5,1,0,0,1,0,8,5.9,23,16.3
11,6,"2015-11-14","32-181","ORL","@","WAS",-9,1,"16:18",2,4,0.5,1,3,0.333,0,0,NA,0,3,3,2,0,0,0,3,5,4.1,1,12.3
12,7,"2015-11-18","32-185","ORL","","MIN",3,0,"7:11",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,0,-1.1,4,1.3
13,8,"2015-11-21","32-188","ORL","","SAC",-6,0,"9:58",1,4,0.25,1,3,0.333,0,0,NA,0,4,4,0,0,1,0,1,3,2.1,8,10.5
14,9,"2015-11-23","32-190","ORL","@","CLE",-14,0,"6:49",3,3,1,3,3,1,0,0,NA,0,0,0,0,0,0,0,0,9,8.1,8,10.5
15,10,"2015-11-25","32-192","ORL","","NYK",9,1,"20:26",1,5,0.2,1,2,0.5,0,0,NA,0,3,3,0,0,0,0,1,3,0.4,-2,7.3
16,11,"2015-11-27","32-194","ORL","","MIL",24,1,"18:46",3,9,0.333,3,5,0.6,0,0,NA,1,3,4,1,2,1,0,2,9,8.1,14,23
17,12,"2015-11-29","32-196","ORL","","BOS",19,1,"17:01",2,4,0.5,2,4,0.5,0,0,NA,0,2,2,1,1,1,2,3,6,3.8,2,14
18,13,"2015-12-01","32-198","ORL","@","MIN",3,1,"16:49",0,2,0,0,1,0,0,0,NA,0,5,5,1,0,0,1,2,0,-1,10,7.3
19,14,"2015-12-03","32-200","ORL","@","UTA",9,1,"18:11",1,3,0.333,1,3,0.333,2,2,1,0,3,3,1,3,0,0,2,5,7.1,3,16.8
20,15,"2015-12-05","32-202","ORL","@","LAC",-2,1,"17:17",1,3,0.333,1,3,0.333,0,0,NA,1,0,1,0,0,0,1,1,3,0.6,6,4.3
21,16,"2015-12-08","32-205","ORL","@","DEN",11,1,"23:35",0,3,0,0,2,0,0,0,NA,0,2,2,1,2,0,2,2,0,-1.6,7,7
22,17,"2015-12-09","32-206","ORL","@","PHO",-3,1,"16:33",1,2,0.5,1,2,0.5,0,0,NA,0,2,2,1,0,0,2,2,3,0.5,-7,6.5
23,18,"2015-12-11","32-208","ORL","","CLE",-35,1,"11:35",0,3,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,1,0,-2.5,-14,0
24,19,"2015-12-14","32-211","ORL","@","BRK",23,1,"23:20",4,6,0.667,3,5,0.6,0,0,NA,0,4,4,5,2,0,0,1,11,14.7,18,29
25,20,"2015-12-16","32-213","ORL","","CHO",15,1,"30:25",5,7,0.714,5,7,0.714,2,2,1,0,3,3,2,2,0,1,0,17,17.4,23,29.8
26,21,"2015-12-18","32-215","ORL","","POR",8,1,"22:32",1,4,0.25,0,3,0,0,0,NA,0,4,4,3,0,0,1,3,2,0.7,12,11
27,22,"2015-12-20","32-217","ORL","","ATL",-3,1,"26:42",3,4,0.75,2,3,0.667,5,5,1,0,2,2,2,3,2,4,3,13,12.6,5,27.5
28,23,"2015-12-21","32-218","ORL","@","NYK",8,1,"20:46",3,5,0.6,1,1,1,0,0,NA,1,0,1,0,0,1,0,1,7,5.7,8,10.8
29,24,"2015-12-23","32-220","ORL","","HOU",3,1,"18:53",4,4,1,2,2,1,0,0,NA,1,4,5,2,0,0,0,2,10,11.3,11,20.3
30,25,"2015-12-26","32-223","ORL","","MIA",-7,1,"26:12",3,5,0.6,2,3,0.667,0,0,NA,0,4,4,1,0,0,0,1,8,7.2,-7,15.5
31,26,"2015-12-28","32-225","ORL","","NOP",15,1,"23:21",1,4,0.25,1,3,0.333,0,0,NA,0,3,3,5,2,1,0,2,3,6.9,21,20.8
32,27,"2015-12-30","32-227","ORL","","BRK",7,1,"22:20",3,7,0.429,2,5,0.4,0,0,NA,1,5,6,1,0,0,1,1,8,5.8,-12,17.5
33,28,"2016-01-01","32-229","ORL","@","WAS",-12,1,"21:44",2,4,0.5,0,1,0,0,0,NA,2,4,6,2,0,0,0,0,4,6,-6,14.5
