"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-323","NYK","@","MIL",25,0,"24:48",5,10,0.5,4,5,0.8,2,2,1,2,2,4,3,0,0,0,4,16,13.5,13,27.5
2,2,"2015-10-29","23-324","NYK","","ATL",-11,0,"25:18",2,4,0.5,2,4,0.5,2,2,1,0,4,4,3,1,0,0,2,8,9.5,5,20.5
3,3,"2015-10-31","23-326","NYK","@","WAS",7,0,"27:37",4,8,0.5,2,3,0.667,4,5,0.8,1,6,7,4,1,1,1,3,14,14.4,8,33.3
4,4,"2015-11-02","23-328","NYK","","SAS",-10,0,"28:55",2,5,0.4,0,0,NA,2,4,0.5,1,4,5,1,1,0,1,0,6,5.1,-14,15.3
5,5,"2015-11-04","23-330","NYK","@","CLE",-10,0,"28:32",4,9,0.444,3,5,0.6,1,2,0.5,2,2,4,0,2,0,1,1,12,9.5,-22,22
6,6,"2015-11-06","23-332","NYK","","MIL",-7,0,"31:52",3,9,0.333,2,5,0.4,5,7,0.714,1,6,7,2,1,0,0,2,13,11.2,0,27.8
7,7,"2015-11-08","23-334","NYK","","LAL",4,0,"27:29",5,9,0.556,3,4,0.75,1,1,1,0,4,4,1,1,0,0,1,14,12.2,17,24
8,8,"2015-11-10","23-336","NYK","@","TOR",2,0,"27:49",6,10,0.6,2,3,0.667,1,2,0.5,1,3,4,4,0,0,1,3,15,12.2,10,26.5
9,9,"2015-11-11","23-337","NYK","@","CHO",-2,0,"19:28",2,6,0.333,0,1,0,0,0,NA,0,0,0,0,0,0,0,2,4,-0.2,-4,4
10,10,"2015-11-13","23-339","NYK","","CLE",-6,0,"28:58",3,9,0.333,1,4,0.25,0,0,NA,1,5,6,2,1,0,1,5,7,3.5,1,19.5
11,11,"2015-11-15","23-341","NYK","","NOP",8,0,"26:05",5,6,0.833,1,2,0.5,4,4,1,1,2,3,1,2,0,1,0,15,15.8,-1,24.3
12,12,"2015-11-17","23-343","NYK","","CHO",8,0,"27:43",3,8,0.375,3,5,0.6,0,0,NA,0,4,4,5,1,0,1,3,9,8.1,5,24.5
13,13,"2015-11-20","23-346","NYK","@","OKC",3,0,"19:32",2,4,0.5,1,2,0.5,0,0,NA,0,2,2,2,5,0,2,3,5,6.8,-1,20
14,14,"2015-11-21","23-347","NYK","@","HOU",5,0,"24:07",4,9,0.444,2,4,0.5,2,3,0.667,2,1,3,2,1,1,0,3,12,10.5,2,23.8
15,15,"2015-11-23","23-349","NYK","@","MIA",-17,0,"23:27",1,9,0.111,0,5,0,0,0,NA,1,3,4,1,1,0,0,4,2,-2.2,-22,10.5
16,16,"2015-11-25","23-351","NYK","@","ORL",-9,0,"15:41",0,5,0,0,2,0,0,0,NA,0,1,1,1,0,0,1,5,0,-5.5,-10,2.3
17,17,"2015-11-27","23-353","NYK","","MIA",-19,0,"28:47",3,9,0.333,1,2,0.5,1,3,0.333,0,4,4,2,0,0,0,1,8,4.3,-7,16.5
18,18,"2015-11-29","23-355","NYK","","HOU",-5,0,"26:12",2,9,0.222,0,4,0,0,0,NA,0,0,0,4,1,0,3,3,4,-1.9,-7,10.5
19,19,"2015-12-02","23-358","NYK","","PHI",12,0,"22:01",0,5,0,0,2,0,2,2,1,1,2,3,0,1,0,0,1,2,0.4,1,7.8
20,20,"2015-12-04","23-360","NYK","","BRK",17,0,"20:14",3,9,0.333,2,5,0.4,0,0,NA,0,5,5,2,1,0,0,0,8,6.8,6,20.3
21,21,"2015-12-05","23-361","NYK","@","MIL",-15,0,"26:51",1,5,0.2,0,2,0,2,2,1,0,6,6,4,3,0,0,3,4,7.3,8,23.5
22,22,"2015-12-07","23-363","NYK","","DAL",-7,0,"22:02",1,6,0.167,1,2,0.5,0,0,NA,1,3,4,2,2,0,1,0,3,3.2,-8,15
23,23,"2015-12-09","24-000","NYK","@","UTA",-21,0,"22:05",2,4,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,5,3,-9,5.5
24,24,"2015-12-10","24-001","NYK","@","SAC",-2,0,"18:06",2,6,0.333,1,2,0.5,4,4,1,0,4,4,0,1,0,1,2,9,6,1,16
