"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-072","SAC","","LAC",-7,1,"31:21",7,16,0.438,1,3,0.333,1,2,0.5,1,5,6,3,0,0,2,2,16,8.7,-2,27.5
2,2,"2015-10-30","29-074","SAC","","LAL",18,1,"31:21",8,12,0.667,2,3,0.667,1,2,0.5,1,5,6,3,2,0,0,1,19,19.3,30,36
3,3,"2015-10-31","29-075","SAC","@","LAC",-5,1,"31:03",8,23,0.348,2,5,0.4,2,2,1,5,4,9,2,2,0,3,4,20,10.6,-4,37.8
4,4,"2015-11-03","29-078","SAC","","MEM",-14,1,"32:00",7,17,0.412,1,4,0.25,4,4,1,1,4,5,3,1,0,2,3,19,11.7,-12,31.3
5,5,"2015-11-04","29-079","SAC","@","PHO",-21,1,"30:15",4,13,0.308,0,1,0,1,2,0.5,2,6,8,3,2,1,1,5,9,6.1,-7,29
6,6,"2015-11-06","29-081","SAC","","HOU",-6,1,"25:39",5,15,0.333,1,2,0.5,4,6,0.667,1,4,5,2,1,0,2,4,15,6.4,-23,25.8
7,7,"2015-11-07","29-082","SAC","","GSW",-9,1,"34:24",10,25,0.4,1,4,0.25,1,1,1,2,5,7,1,1,0,4,2,22,8.3,-8,32.8
8,8,"2015-11-09","29-084","SAC","","SAS",-18,1,"32:08",5,15,0.333,0,2,0,0,0,NA,3,2,5,4,0,1,2,4,10,4.1,-31,23.3
9,9,"2015-11-11","29-086","SAC","","DET",9,1,"39:22",10,14,0.714,1,2,0.5,4,5,0.8,0,6,6,3,1,0,2,2,25,20.9,20,38.5
11,10,"2015-11-15","29-090","SAC","","TOR",6,1,"37:12",10,16,0.625,1,3,0.333,6,7,0.857,1,5,6,3,1,0,4,0,27,20.7,16,39.5
12,11,"2015-11-18","29-093","SAC","@","ATL",-6,1,"29:20",5,13,0.385,0,1,0,4,4,1,2,4,6,3,2,0,2,3,14,10.4,0,29
13,12,"2015-11-19","29-094","SAC","@","MIA",-7,1,"24:43",6,13,0.462,0,0,NA,1,1,1,2,10,12,2,1,0,1,3,13,10.9,1,34
15,13,"2015-11-23","29-098","SAC","@","CHO",-5,1,"42:02",13,21,0.619,2,4,0.5,0,1,0,1,9,10,0,1,0,3,4,28,17.9,-2,43.5
16,14,"2015-11-25","29-100","SAC","@","MIL",11,1,"36:05",13,21,0.619,2,5,0.4,8,9,0.889,1,4,5,2,1,1,0,4,36,29.5,13,50.3
17,15,"2015-11-27","29-102","SAC","","MIN",-10,1,"26:49",1,13,0.077,0,3,0,0,0,NA,2,2,4,0,0,0,1,1,2,-6.1,-4,6.5
18,16,"2015-11-28","29-103","SAC","@","GSW",-19,1,"27:24",7,20,0.35,0,1,0,6,6,1,3,4,7,0,0,0,0,1,20,11.7,-21,28.8
19,17,"2015-11-30","29-105","SAC","","DAL",14,1,"34:57",7,12,0.583,1,2,0.5,5,5,1,1,6,7,1,0,0,1,1,20,16.2,19,30.3
20,18,"2015-12-03","29-108","SAC","","BOS",-17,1,"30:34",7,13,0.538,2,3,0.667,2,3,0.667,0,7,7,0,1,0,4,2,18,9.6,-15,27.8
21,19,"2015-12-05","29-110","SAC","@","HOU",-7,1,"30:50",6,12,0.5,1,3,0.333,2,2,1,3,3,6,2,2,0,1,5,15,12.4,-3,29.5
22,20,"2015-12-06","29-111","SAC","@","OKC",-3,1,"36:12",8,18,0.444,2,6,0.333,2,2,1,3,4,7,3,3,0,3,2,20,15.2,-3,38.8
23,21,"2015-12-08","29-113","SAC","","UTA",8,1,"34:57",10,13,0.769,1,3,0.333,2,2,1,0,4,4,1,0,1,1,3,23,18.3,14,31.5
24,22,"2015-12-10","29-115","SAC","","NYK",2,1,"39:32",4,16,0.25,1,4,0.25,1,1,1,4,4,8,2,1,3,3,3,10,4.7,0,30
25,23,"2015-12-15","29-120","SAC","","HOU",10,1,"35:08",6,11,0.545,2,5,0.4,3,5,0.6,2,11,13,3,6,1,5,5,17,17.4,14,51.8
26,24,"2015-12-18","29-123","SAC","@","MIN",-4,1,"37:35",8,18,0.444,2,6,0.333,2,2,1,3,2,5,0,0,1,0,2,20,13.2,-11,29.3
27,25,"2015-12-20","29-125","SAC","@","TOR",10,1,"40:31",7,17,0.412,1,5,0.2,4,4,1,1,8,9,1,3,1,2,2,19,14.6,4,39.3
28,26,"2015-12-21","29-126","SAC","@","WAS",-14,1,"34:04",6,17,0.353,0,3,0,4,5,0.8,3,4,7,0,2,1,0,0,16,12.1,-18,30.8
29,27,"2015-12-23","29-128","SAC","@","IND",2,1,"34:30",9,16,0.563,0,5,0,1,2,0.5,1,2,3,2,1,1,0,1,19,15,-8,29.8
30,28,"2015-12-27","29-132","SAC","","POR",-4,1,"33:46",2,12,0.167,0,1,0,3,4,0.75,3,11,14,1,0,1,2,4,7,2.2,-2,27
31,29,"2015-12-28","29-133","SAC","@","GSW",-19,1,"31:36",6,16,0.375,2,3,0.667,3,4,0.75,2,6,8,1,1,1,1,0,17,12.4,-21,33
32,30,"2015-12-30","29-135","SAC","","PHI",-5,1,"31:52",4,9,0.444,0,2,0,1,4,0.25,0,7,7,1,0,2,3,2,9,3.5,-18,21.8
33,31,"2016-01-02","29-138","SAC","","PHO",23,1,"33:33",8,16,0.5,0,2,0,0,0,NA,0,3,3,2,3,1,2,2,16,11.2,4,29.8
34,32,"2016-01-04","29-140","SAC","@","OKC",12,1,"34:20",5,13,0.385,1,2,0.5,5,6,0.833,2,3,5,0,1,0,1,4,16,9.2,-9,24.3
35,33,"2016-01-05","29-141","SAC","@","DAL",-1,1,"47:48",13,20,0.65,3,3,1,2,2,1,0,5,5,1,1,0,2,1,31,23,4,41.3
36,34,"2016-01-07","29-143","SAC","","LAL",3,1,"35:33",8,16,0.5,1,6,0.167,1,3,0.333,0,5,5,6,0,1,0,4,18,14,9,35.8
