"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","38-092","SAS","@","OKC",-6,0,"18:50",5,8,0.625,1,1,1,0,0,NA,0,0,0,7,2,0,3,0,11,11.3,-4,24.5
2,2,"2015-10-30","38-094","SAS","","BRK",27,0,"21:37",5,12,0.417,2,6,0.333,0,0,NA,0,5,5,4,1,1,1,0,12,10.6,16,28.8
3,3,"2015-11-01","38-096","SAS","@","BOS",8,0,"23:54",4,8,0.5,2,4,0.5,3,4,0.75,1,7,8,3,3,0,3,2,13,12.7,12,33
4,4,"2015-11-02","38-097","SAS","@","NYK",10,0,"17:06",3,5,0.6,1,2,0.5,0,0,NA,0,0,0,3,0,0,2,0,7,4.8,-6,11
5,5,"2015-11-04","38-099","SAS","@","WAS",-3,0,"21:52",4,7,0.571,2,4,0.5,2,2,1,0,2,2,2,1,0,0,0,12,11.7,9,20.5
6,6,"2015-11-07","38-102","SAS","","CHO",20,0,"18:07",5,9,0.556,3,6,0.5,0,0,NA,0,3,3,3,3,0,1,2,13,12.9,34,28.3
7,7,"2015-11-09","38-104","SAS","@","SAC",18,0,"17:39",2,7,0.286,0,4,0,2,3,0.667,1,2,3,5,2,0,3,1,6,4.9,-1,19.8
8,8,"2015-11-11","38-106","SAS","@","POR",12,0,"22:18",6,12,0.5,1,2,0.5,1,1,1,4,1,5,3,0,0,0,3,14,12,14,25.3
10,9,"2015-11-16","38-111","SAS","","POR",13,0,"23:22",7,14,0.5,2,6,0.333,1,1,1,0,4,4,3,0,1,0,2,17,13.2,18,29.5
13,10,"2015-11-21","38-116","SAS","","MEM",10,0,"22:39",6,11,0.545,2,4,0.5,1,2,0.5,1,3,4,2,1,0,1,1,15,11.9,9,25.5
14,11,"2015-11-23","38-118","SAS","","PHO",14,0,"19:28",3,8,0.375,2,4,0.5,0,0,NA,1,3,4,2,1,0,3,1,8,4.2,2,17.5
15,12,"2015-11-25","38-120","SAS","","DAL",5,0,"28:32",2,12,0.167,0,6,0,5,8,0.625,0,5,5,3,1,0,4,2,9,0,4,19.8
17,13,"2015-11-28","38-123","SAS","","ATL",20,0,"18:48",3,8,0.375,0,4,0,6,6,1,0,1,1,3,1,0,4,2,12,6.2,11,17.8
18,14,"2015-11-30","38-125","SAS","@","CHI",-3,0,"17:42",1,4,0.25,0,1,0,2,2,1,0,1,1,2,1,0,1,1,4,2.9,-17,9.8
19,15,"2015-12-02","38-127","SAS","","MIL",25,0,"11:31",2,5,0.4,1,2,0.5,0,0,NA,0,0,0,3,1,0,1,1,5,4,2,11.5
20,16,"2015-12-03","38-128","SAS","@","MEM",20,0,"22:13",4,7,0.571,2,2,1,3,4,0.75,0,3,3,4,1,0,3,2,13,10.2,17,24.3
21,17,"2015-12-05","38-130","SAS","","BOS",3,0,"25:41",6,11,0.545,1,5,0.2,2,4,0.5,1,6,7,4,0,0,1,1,15,12.8,12,29.8
23,18,"2015-12-09","38-134","SAS","@","TOR",-3,0,"24:34",5,11,0.455,1,6,0.167,6,8,0.75,1,3,4,3,2,0,2,5,17,12.2,9,30
24,19,"2015-12-11","38-136","SAS","","LAL",22,0,"5:25",1,2,0.5,0,0,NA,0,0,NA,0,2,2,4,0,0,0,0,2,4.4,6,10.5
25,20,"2015-12-12","38-137","SAS","@","ATL",25,0,"18:35",5,7,0.714,3,3,1,4,5,0.8,1,2,3,1,0,0,4,1,17,11.3,5,21.8
26,21,"2015-12-14","38-139","SAS","","UTA",37,0,"11:41",1,4,0.25,0,2,0,2,2,1,1,0,1,2,0,0,2,2,4,0.9,-2,7.3
27,22,"2015-12-16","38-141","SAS","","WAS",19,0,"18:25",4,7,0.571,1,3,0.333,2,2,1,0,3,3,8,1,0,3,3,11,11,15,27.8
28,23,"2015-12-18","38-143","SAS","","LAC",8,0,"20:46",1,6,0.167,1,2,0.5,2,2,1,1,0,1,5,2,0,0,3,5,6.2,9,18.3
29,24,"2015-12-21","38-146","SAS","","IND",14,0,"20:19",3,6,0.5,1,2,0.5,0,0,NA,0,0,0,4,0,0,0,0,7,6.8,9,13.5
30,25,"2015-12-23","38-148","SAS","@","MIN",25,0,"15:59",2,5,0.4,2,4,0.5,2,2,1,0,2,2,4,0,0,2,2,8,5.9,4,16.5
31,26,"2015-12-25","38-150","SAS","@","HOU",-4,0,"25:39",3,7,0.429,1,3,0.333,2,2,1,2,4,6,3,1,0,3,3,9,6.8,1,22
33,27,"2015-12-28","38-153","SAS","","MIN",6,0,"24:00",5,11,0.455,3,6,0.5,0,0,NA,1,4,5,4,0,0,2,1,13,9.6,16,25.8
