"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","34-034","WAS","@","ORL",1,0,"19:50",1,6,0.167,1,4,0.25,0,0,NA,4,3,7,1,0,1,0,2,3,3.5,-14,15.8
2,2,"2015-10-30","34-036","WAS","@","MIL",5,0,"8:27",0,0,NA,0,0,NA,2,2,1,0,1,1,0,1,1,0,0,2,4,5,7.3
3,3,"2015-10-31","34-037","WAS","","NYK",-7,0,"24:03",5,10,0.5,1,3,0.333,0,0,NA,4,7,11,2,1,1,2,2,11,11.2,3,32.8
4,4,"2015-11-04","34-041","WAS","","SAS",3,0,"8:08",0,4,0,0,2,0,0,0,NA,1,2,3,0,1,0,0,1,0,-0.9,-17,5.8
7,5,"2015-11-10","34-047","WAS","","OKC",-24,0,"12:04",0,5,0,0,1,0,0,0,NA,2,3,5,0,0,1,0,1,0,-0.9,-14,8.3
9,6,"2015-11-17","34-054","WAS","","MIL",29,0,"4:34",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,0,-0.5
31,7,"2016-01-01","34-099","WAS","","ORL",12,0,"4:13",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,1,0,4,0,-1.3,-5,3.3
34,8,"2016-01-08","34-106","WAS","","TOR",-9,0,"9:58",1,3,0.333,1,3,0.333,0,0,NA,1,2,3,0,0,0,0,1,3,2.2,-7,7.3
35,9,"2016-01-09","34-107","WAS","@","ORL",6,0,"14:50",2,5,0.4,1,3,0.333,0,0,NA,0,1,1,1,0,1,1,1,5,2.6,-5,9.8
36,10,"2016-01-11","34-109","WAS","@","CHI",14,0,"26:47",4,10,0.4,0,4,0,2,2,1,7,5,12,3,0,1,0,3,10,12.6,7,33
37,11,"2016-01-13","34-111","WAS","","MIL",5,0,"27:00",2,7,0.286,0,1,0,1,2,0.5,2,3,5,1,1,0,2,4,5,0.9,9,13.8
38,12,"2016-01-15","34-113","WAS","@","IND",14,0,"17:14",4,9,0.444,0,2,0,0,0,NA,0,4,4,0,0,0,2,3,8,1.3,-1,12
42,13,"2016-01-25","34-123","WAS","","BOS",-25,0,"5:18",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
43,14,"2016-01-26","34-124","WAS","@","TOR",-17,0,"10:42",0,0,NA,0,0,NA,1,2,0.5,1,1,2,1,0,0,0,1,1,1.9,1,5
44,15,"2016-01-28","34-126","WAS","","DEN",-4,0,"11:53",2,4,0.5,2,3,0.667,1,2,0.5,0,2,2,0,1,0,2,1,7,3.8,-1,11.5
45,16,"2016-01-30","34-128","WAS","@","HOU",1,0,"11:05",2,3,0.667,1,1,1,0,0,NA,1,4,5,0,0,0,1,0,5,4.6,-1,11.3
46,17,"2016-02-01","34-130","WAS","@","OKC",-16,0,"15:23",0,3,0,0,2,0,0,0,NA,0,3,3,1,1,0,1,0,0,-0.5,0,6.8
47,18,"2016-02-03","34-132","WAS","","GSW",-13,0,"5:58",0,3,0,0,1,0,0,0,NA,0,1,1,1,1,1,0,0,0,0.6,2,6.8
48,19,"2016-02-05","34-134","WAS","","PHI",12,0,"13:14",2,5,0.4,0,1,0,0,0,NA,0,1,1,0,0,0,0,2,4,0.8,-4,5.3
49,20,"2016-02-06","34-135","WAS","@","CHO",-4,0,"12:58",3,4,0.75,0,0,NA,0,0,NA,3,4,7,2,0,1,0,5,6,7.8,9,19.8
50,21,"2016-02-09","34-138","WAS","@","NYK",3,0,"6:44",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,-7,1.3
51,22,"2016-02-11","34-140","WAS","@","MIL",-7,0,"1:32",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-3,0
52,23,"2016-02-18","34-147","WAS","","UTA",14,0,"5:40",1,1,1,0,0,NA,0,1,0,0,1,1,0,0,0,0,1,2,1.2,-5,3.3
53,24,"2016-02-19","34-148","WAS","","DET",12,0,"2:27",0,1,0,0,0,NA,0,0,NA,1,1,2,0,0,0,1,0,0,-0.7,-4,2
54,25,"2016-02-20","34-149","WAS","@","MIA",-20,0,"4:34",2,3,0.667,0,1,0,1,1,1,0,2,2,0,0,1,0,2,5,4.2,1,9.5
55,26,"2016-02-23","34-152","WAS","","NOP",20,0,"2:23",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,1,0,-0.5,-3,2.5
58,27,"2016-02-28","34-157","WAS","","CLE",14,0,"5:29",0,3,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,0,-1.8,-16,1.3
61,28,"2016-03-04","34-162","WAS","@","CLE",-25,0,"4:56",0,4,0,0,2,0,0,0,NA,1,1,2,0,0,0,0,0,0,-1.8,2,2.5
78,29,"2016-04-06","34-195","WAS","","BRK",18,0,"5:21",2,5,0.4,0,2,0,0,0,NA,0,0,0,0,0,1,0,3,4,0.8,-9,6
82,30,"2016-04-13","34-202","WAS","","ATL",11,0,"2:26",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,1,0,0,0,1,1.6,-3,3
