"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","26-306","NOP","@","GSW",-16,1,"33:29",5,17,0.294,2,7,0.286,2,2,1,0,4,4,4,1,0,4,1,14,4.7,-9,26
2,2,"2015-10-28","26-307","NOP","@","POR",-18,1,"40:47",6,13,0.462,3,8,0.375,5,7,0.714,1,1,2,3,1,0,1,1,20,15.2,-22,30
3,3,"2015-10-31","26-310","NOP","","GSW",-14,1,"24:29",3,11,0.273,1,3,0.333,2,2,1,1,3,4,2,1,0,0,5,9,4.5,6,19.5
4,4,"2015-11-03","26-313","NOP","","ORL",-9,1,"37:49",8,19,0.421,4,12,0.333,1,2,0.5,1,1,2,4,0,0,4,2,21,9.5,4,29.5
5,5,"2015-11-06","26-316","NOP","","ATL",-6,1,"39:07",8,15,0.533,3,7,0.429,3,3,1,0,2,2,2,1,1,1,5,22,15.4,-7,32.5
6,6,"2015-11-07","26-317","NOP","@","DAL",-9,1,"41:11",7,15,0.467,5,10,0.5,2,2,1,0,5,5,4,1,0,2,3,21,15.4,-5,36.8
7,7,"2015-11-10","26-320","NOP","","DAL",15,1,"33:53",5,19,0.263,4,13,0.308,3,3,1,1,1,2,3,1,1,0,1,17,10.1,28,30
8,8,"2015-11-11","26-321","NOP","@","ATL",-8,1,"31:30",10,20,0.5,4,6,0.667,2,3,0.667,0,3,3,3,2,0,2,4,26,17,-9,39.3
9,9,"2015-11-13","26-323","NOP","@","TOR",-19,1,"36:15",11,22,0.5,4,11,0.364,4,5,0.8,1,2,3,1,1,0,3,2,30,17.8,-22,37.8
10,10,"2015-11-15","26-325","NOP","@","NYK",-8,1,"38:34",5,11,0.455,1,5,0.2,0,0,NA,0,2,2,2,0,0,0,4,11,5.7,-7,17
11,11,"2015-11-17","26-327","NOP","","DEN",-17,1,"38:28",7,17,0.412,2,8,0.25,3,3,1,0,1,1,6,1,1,1,1,19,14.7,-25,33.8
12,12,"2015-11-18","26-328","NOP","@","OKC",-7,1,"36:51",6,20,0.3,1,9,0.111,5,5,1,1,1,2,5,3,0,1,3,18,11.7,2,34
13,13,"2015-11-20","26-330","NOP","","SAS",14,1,"34:54",3,9,0.333,1,3,0.333,4,4,1,0,1,1,2,2,0,1,0,11,8.6,6,19.3
14,14,"2015-11-22","26-332","NOP","","PHO",6,1,"39:15",6,16,0.375,5,12,0.417,3,4,0.75,0,4,4,4,2,0,3,2,20,13,11,36
15,15,"2015-11-25","26-335","NOP","@","PHO",6,1,"34:43",6,11,0.545,4,9,0.444,7,7,1,0,1,1,3,0,0,1,2,23,18.3,13,30.3
16,16,"2015-11-27","26-337","NOP","@","LAC",-21,1,"30:09",5,12,0.417,1,5,0.2,5,6,0.833,0,3,3,2,0,0,2,2,16,8.7,-19,22.3
17,17,"2015-11-28","26-338","NOP","@","UTA",-14,1,"32:15",1,9,0.111,1,3,0.333,1,2,0.5,0,0,0,1,1,0,2,1,4,-3,-8,7
18,18,"2015-12-01","26-341","NOP","","MEM",-9,0,"19:30",2,5,0.4,0,3,0,4,4,1,0,1,1,4,0,1,1,2,8,7.3,-20,16.8
19,19,"2015-12-02","26-342","NOP","@","HOU",-7,1,"33:19",4,10,0.4,1,5,0.2,1,1,1,0,2,2,2,0,0,2,3,10,3.4,-3,15
20,20,"2015-12-04","26-344","NOP","","CLE",6,1,"30:51",7,9,0.778,4,5,0.8,1,2,0.5,0,1,1,2,0,0,2,0,19,14.8,6,24.3
21,21,"2015-12-07","26-347","NOP","","BOS",-18,1,"15:34",0,2,0,0,1,0,0,0,NA,0,2,2,1,0,1,1,2,0,-1.2,-16,5.5
22,22,"2015-12-11","26-351","NOP","","WAS",2,1,"36:26",5,12,0.417,3,7,0.429,2,2,1,0,4,4,1,1,0,2,2,15,8.7,1,24
23,23,"2015-12-12","26-352","NOP","@","CHI",-4,1,"34:17",5,15,0.333,2,6,0.333,2,2,1,0,0,0,2,1,0,1,2,14,6.1,3,19.5
24,24,"2015-12-14","26-354","NOP","@","POR",-4,1,"34:10",3,9,0.333,0,5,0,3,3,1,0,3,3,3,2,0,1,2,9,7.1,2,20.8
25,25,"2015-12-16","26-356","NOP","@","UTA",10,1,"27:34",5,9,0.556,4,7,0.571,5,5,1,0,0,0,1,1,0,3,4,19,11.8,2,23
26,26,"2015-12-18","26-358","NOP","@","PHO",-16,1,"29:11",2,11,0.182,2,9,0.222,9,11,0.818,0,1,1,1,2,1,2,3,15,7.8,-3,23.8
27,27,"2015-12-20","26-360","NOP","@","DEN",5,1,"31:42",6,11,0.545,4,7,0.571,4,5,0.8,1,2,3,3,0,1,1,1,20,17,19,31.8
28,28,"2015-12-23","26-363","NOP","","POR",26,1,"34:15",3,8,0.375,3,7,0.429,2,2,1,1,3,4,6,1,0,1,0,11,12.4,15,28
29,29,"2015-12-25","27-000","NOP","@","MIA",-6,1,"43:06",5,15,0.333,1,3,0.333,5,5,1,0,3,3,2,2,0,3,5,16,6.8,-1,25.8
