"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","25-129","MEM","","CLE",-30,0,"14:00",2,5,0.4,0,1,0,0,2,0,4,3,7,0,0,0,0,2,4,3.4,-17,12.8
2,2,"2015-10-29","25-130","MEM","@","IND",9,0,"12:45",1,4,0.25,0,0,NA,3,4,0.75,2,2,4,0,0,1,2,2,5,2.1,-1,11
3,3,"2015-10-31","25-132","MEM","","BRK",10,0,"11:20",2,5,0.4,1,1,1,0,0,NA,1,2,3,0,0,1,0,2,5,3.5,2,11.3
4,4,"2015-11-02","25-134","MEM","@","GSW",-50,0,"21:27",3,8,0.375,0,1,0,0,0,NA,1,3,4,1,1,0,0,1,6,4.5,-12,14.5
5,5,"2015-11-03","25-135","MEM","@","SAC",14,0,"19:58",4,7,0.571,0,1,0,4,4,1,4,8,12,0,1,0,3,3,12,10.7,5,29
6,6,"2015-11-05","25-137","MEM","@","POR",-19,0,"10:24",3,4,0.75,2,2,1,0,0,NA,0,3,3,0,1,0,0,1,8,7.9,4,14.8
7,7,"2015-11-07","25-139","MEM","@","UTA",-10,0,"9:15",0,3,0,0,0,NA,2,2,1,1,1,2,1,0,0,0,0,2,1.6,4,6
8,8,"2015-11-09","25-141","MEM","@","LAC",-2,0,"16:19",2,4,0.5,0,0,NA,1,2,0.5,0,1,1,1,0,0,0,4,5,2,-11,7.8
9,9,"2015-11-11","25-143","MEM","","GSW",-16,0,"25:16",3,4,0.75,0,0,NA,3,4,0.75,2,7,9,0,1,2,3,4,9,8.3,-19,24.8
10,10,"2015-11-13","25-145","MEM","","POR",1,0,"18:02",3,7,0.429,0,1,0,0,0,NA,2,2,4,0,0,0,2,4,6,0.7,6,10
11,11,"2015-11-15","25-147","MEM","@","MIN",8,0,"24:38",4,6,0.667,1,1,1,3,3,1,1,6,7,1,1,1,2,1,12,11.9,13,25.8
12,12,"2015-11-16","25-148","MEM","","OKC",8,0,"30:23",1,5,0.2,1,1,1,2,2,1,1,2,3,0,1,2,0,3,5,4.4,0,15.3
13,13,"2015-11-20","25-152","MEM","","HOU",12,1,"23:00",2,6,0.333,0,0,NA,1,1,1,1,4,5,1,0,0,4,4,5,-1.4,-1,10.8
14,14,"2015-11-21","25-153","MEM","@","SAS",-10,1,"21:11",3,6,0.5,0,0,NA,2,2,1,2,3,5,1,1,0,0,5,8,7,-1,17.8
