"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-226","LAC","@","SAC",7,1,"38:15",14,20,0.7,0,0,NA,5,7,0.714,2,6,8,4,0,0,2,3,33,26.6,16,48
2,2,"2015-10-29","26-227","LAC","","DAL",16,1,"26:47",11,17,0.647,0,0,NA,4,6,0.667,2,8,10,2,1,1,3,1,26,21.2,12,45.5
3,3,"2015-10-31","26-229","LAC","","SAC",5,1,"36:14",13,22,0.591,0,0,NA,11,15,0.733,1,8,9,6,2,0,3,4,37,29.9,23,59.8
4,4,"2015-11-02","26-231","LAC","","PHO",6,1,"33:57",8,15,0.533,0,0,NA,6,7,0.857,1,9,10,2,0,1,0,2,22,19,-9,41
5,5,"2015-11-04","26-233","LAC","@","GSW",-4,1,"37:49",10,21,0.476,0,2,0,3,3,1,2,8,10,6,0,1,2,4,23,17.4,8,47
6,6,"2015-11-07","26-236","LAC","","HOU",-4,1,"38:06",14,22,0.636,0,1,0,7,8,0.875,3,8,11,5,0,0,1,4,35,30.2,0,57.3
7,7,"2015-11-09","26-238","LAC","","MEM",2,1,"37:48",9,19,0.474,0,0,NA,6,6,1,2,10,12,2,1,1,2,5,24,17.8,-3,46.5
8,8,"2015-11-11","26-240","LAC","@","DAL",-10,1,"34:02",8,19,0.421,0,0,NA,5,7,0.714,5,4,9,3,1,0,2,3,21,14.7,-10,37.8
9,9,"2015-11-12","26-241","LAC","@","PHO",-14,1,"16:12",5,10,0.5,0,0,NA,1,2,0.5,1,2,3,4,1,0,0,0,11,10.7,-7,22.8
10,10,"2015-11-14","26-243","LAC","","DET",5,1,"41:56",14,25,0.56,0,0,NA,6,10,0.6,4,4,8,9,2,1,2,4,34,29.9,-2,62.5
11,11,"2015-11-19","26-248","LAC","","GSW",-7,1,"37:29",11,20,0.55,1,1,1,4,6,0.667,2,4,6,5,1,1,3,2,27,20.6,-12,45
12,12,"2015-11-20","26-249","LAC","@","POR",-11,1,"33:45",10,20,0.5,0,1,0,1,2,0.5,1,6,7,7,0,0,3,5,21,13,-13,38.8
13,13,"2015-11-22","26-251","LAC","","TOR",-11,1,"28:56",4,10,0.4,1,3,0.333,0,0,NA,2,4,6,4,2,0,6,4,9,3.4,-3,24
14,14,"2015-11-24","26-253","LAC","@","DEN",17,1,"33:08",7,20,0.35,1,1,1,3,4,0.75,4,6,10,4,1,1,1,2,18,13.7,12,42
15,15,"2015-11-25","26-254","LAC","","UTA",-11,1,"38:41",18,23,0.783,0,0,NA,4,5,0.8,1,11,12,3,0,2,3,2,40,34.4,-3,63.5
16,16,"2015-11-27","26-256","LAC","","NOP",21,1,"28:36",7,15,0.467,0,0,NA,6,7,0.857,1,5,6,6,1,0,2,3,20,16.1,26,37.5
17,17,"2015-11-29","26-258","LAC","","MIN",8,1,"37:02",9,16,0.563,1,1,1,7,9,0.778,0,8,8,8,0,2,3,3,26,22.8,8,51
18,18,"2015-11-30","26-259","LAC","","POR",15,1,"32:00",8,19,0.421,0,0,NA,7,10,0.7,1,7,8,6,1,1,2,4,23,16.8,19,45
19,19,"2015-12-02","26-261","LAC","","IND",-12,1,"36:23",6,18,0.333,0,0,NA,7,14,0.5,1,3,4,6,0,0,4,4,19,6.2,-16,31
20,20,"2015-12-05","26-264","LAC","","ORL",2,1,"39:01",11,22,0.5,0,0,NA,6,8,0.75,2,11,13,7,0,0,4,0,28,21.8,2,54.3
21,21,"2015-12-07","26-266","LAC","@","MIN",4,1,"36:54",7,17,0.412,0,1,0,2,2,1,3,8,11,5,1,0,3,4,16,11.3,8,39.3
22,22,"2015-12-09","26-268","LAC","@","MIL",14,1,"39:34",8,18,0.444,0,0,NA,5,8,0.625,2,12,14,4,2,1,3,2,21,17.1,23,50.5
23,23,"2015-12-10","26-269","LAC","@","CHI",-3,1,"24:45",7,14,0.5,0,1,0,4,4,1,1,10,11,2,0,2,2,3,18,14.3,-2,39.3
24,24,"2015-12-12","26-271","LAC","@","BRK",5,1,"34:35",10,19,0.526,0,1,0,1,2,0.5,1,8,9,4,1,0,3,0,21,15.2,-5,38.8
25,25,"2015-12-14","26-273","LAC","@","DET",2,1,"42:47",15,30,0.5,0,0,NA,4,6,0.667,0,5,5,7,0,0,2,2,34,21.8,11,49.8
26,26,"2015-12-16","26-275","LAC","","MIL",13,1,"33:52",5,13,0.385,0,0,NA,5,7,0.714,1,7,8,5,0,1,0,0,15,14.1,17,34.5
27,27,"2015-12-18","26-277","LAC","@","SAS",-8,1,"39:58",10,19,0.526,2,2,1,3,4,0.75,0,5,5,5,1,0,1,3,25,19.1,8,41.3
28,28,"2015-12-19","26-278","LAC","@","HOU",-10,1,"36:21",9,13,0.692,0,0,NA,4,5,0.8,0,8,8,6,1,0,2,5,22,19.7,-15,42
29,29,"2015-12-21","26-280","LAC","","OKC",-1,1,"36:20",7,21,0.333,0,1,0,1,2,0.5,0,7,7,5,0,0,1,3,15,6.1,-5,30.8
30,30,"2015-12-25","26-284","LAC","@","LAL",10,1,"36:22",6,16,0.375,0,1,0,1,2,0.5,3,9,12,7,1,1,6,4,13,7.6,21,41
76,31,"2016-04-03","27-018","LAC","","WAS",5,1,"24:32",2,7,0.286,0,0,NA,2,2,1,0,5,5,4,0,0,1,2,6,4.4,22,17.8
77,32,"2016-04-05","27-020","LAC","","LAL",22,1,"16:48",1,5,0.2,0,1,0,2,2,1,0,3,3,3,1,0,4,0,4,0.9,28,12.3
78,33,"2016-04-06","27-021","LAC","@","LAL",10,1,"24:48",5,10,0.5,0,0,NA,3,4,0.75,0,8,8,3,1,0,1,0,13,12.1,12,29
80,34,"2016-04-10","27-025","LAC","","DAL",7,1,"33:18",7,18,0.389,0,0,NA,3,5,0.6,2,9,11,7,2,0,4,5,17,11.4,-1,44.8
81,35,"2016-04-12","27-027","LAC","","MEM",26,1,"23:16",5,10,0.5,0,0,NA,2,3,0.667,0,7,7,4,3,0,2,3,12,11.3,12,31.8
