"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
4,1,"2015-11-03","30-000","CHO","","CHI",25,0,"7:08",1,4,0.25,0,0,NA,4,4,1,3,0,3,0,0,0,1,1,6,4.3,-2,9.3
5,2,"2015-11-05","30-002","CHO","@","DAL",14,0,"2:48",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-4,0
6,3,"2015-11-07","30-004","CHO","@","SAS",-20,0,"3:51",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,4,0
13,4,"2015-11-20","30-017","CHO","","PHI",25,0,"2:28",2,3,0.667,1,1,1,0,0,NA,0,1,1,1,1,0,0,0,5,5.7,9,10.3
17,5,"2015-11-29","30-026","CHO","","MIL",5,0,"8:55",1,1,1,0,0,NA,0,0,NA,1,1,2,1,0,2,0,3,2,3.6,3,10
18,6,"2015-12-02","30-029","CHO","","GSW",-17,0,"10:40",3,3,1,0,0,NA,2,4,0.5,1,2,3,1,2,1,1,0,8,10,5,18.8
19,7,"2015-12-05","30-032","CHO","@","CHI",6,0,"2:40",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,2,2
20,8,"2015-12-07","30-034","CHO","","DET",20,0,"3:44",1,1,1,0,0,NA,1,4,0.25,0,2,2,0,0,0,0,0,3,2.1,-2,5.5
21,9,"2015-12-09","30-036","CHO","","MIA",18,0,"10:10",2,4,0.5,0,0,NA,0,0,NA,1,0,1,0,0,0,1,3,4,0.5,-8,4.8
22,10,"2015-12-11","30-038","CHO","@","MEM",24,0,"6:15",1,2,0.5,1,1,1,1,2,0.5,0,2,2,1,0,1,0,1,4,4.2,-2,10.5
24,11,"2015-12-16","30-043","CHO","@","ORL",-15,0,"10:34",0,2,0,0,0,NA,0,0,NA,1,2,3,0,0,0,0,2,0,-0.9,3,3.8
25,12,"2015-12-17","30-044","CHO","","TOR",10,0,"8:20",0,1,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,0,0.3,4,2.5
26,13,"2015-12-19","30-046","CHO","@","WAS",-8,0,"3:37",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,2,1,0,-2.8,-8,0.3
28,14,"2015-12-23","30-050","CHO","","BOS",-13,0,"8:16",0,0,NA,0,0,NA,0,0,NA,1,2,3,0,0,0,0,1,0,0.9,7,3.8
29,15,"2015-12-26","30-053","CHO","","MEM",6,0,"4:25",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,1,3,0,-1.2,-5,2.3
31,16,"2015-12-30","30-057","CHO","","LAC",-5,0,"15:00",1,1,1,0,0,NA,2,6,0.333,4,1,5,0,0,0,1,1,4,3.8,-8,9.8
32,17,"2016-01-01","30-059","CHO","@","TOR",-10,0,"12:56",1,6,0.167,0,0,NA,0,0,NA,3,1,4,0,0,0,1,3,2,-1.6,-3,6.5
33,18,"2016-01-02","30-060","CHO","","OKC",-19,0,"14:43",1,1,1,0,0,NA,2,4,0.5,2,1,3,0,0,1,0,3,4,4.1,-6,9.8
35,19,"2016-01-06","30-064","CHO","@","PHO",-9,0,"0:37",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,2,1.3
