"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
16,1,"2015-11-24","23-253","ATL","","BOS",24,0,"12:11",1,3,0.333,1,2,0.5,0,0,NA,0,0,0,1,0,0,0,1,3,1.6,3,5
17,2,"2015-11-25","23-254","ATL","@","MIN",-4,0,"11:49",0,3,0,0,2,0,2,2,1,0,2,2,0,0,1,0,0,2,1.2,-12,6.5
18,3,"2015-11-27","23-256","ATL","@","MEM",15,0,"8:12",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2,-11,3.5
19,4,"2015-11-28","23-257","ATL","@","SAS",-20,0,"12:00",1,5,0.2,0,3,0,0,0,NA,1,2,3,1,0,0,1,1,2,-0.5,1,6.8
36,5,"2016-01-05","23-295","ATL","","NYK",-6,0,"12:03",1,3,0.333,1,3,0.333,0,0,NA,1,0,1,1,0,0,0,1,3,2.3,12,6.3
37,6,"2016-01-07","23-297","ATL","@","PHI",28,0,"18:43",3,6,0.5,2,3,0.667,0,0,NA,0,2,2,3,1,0,1,1,8,7.3,18,17.5
38,7,"2016-01-09","23-299","ATL","","CHI",15,0,"16:22",1,4,0.25,0,2,0,0,0,NA,0,1,1,1,2,0,1,1,2,1.2,12,8.3
39,8,"2016-01-13","23-303","ATL","@","CHO",-23,0,"19:10",1,4,0.25,0,1,0,1,1,1,0,1,1,0,0,0,0,1,3,0.5,6,4.3
40,9,"2016-01-15","23-305","ATL","@","MIL",-7,0,"5:18",0,1,0,0,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,0.3,2,2
41,10,"2016-01-16","23-306","ATL","","BRK",28,0,"23:07",4,5,0.8,0,1,0,0,0,NA,0,1,1,3,0,0,1,1,8,7.1,24,13.3
42,11,"2016-01-18","23-308","ATL","","ORL",17,0,"19:22",2,5,0.4,2,3,0.667,2,2,1,0,1,1,3,1,0,0,0,8,8.7,10,16.8
43,12,"2016-01-20","23-310","ATL","@","POR",6,0,"10:40",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,1,0,0,0,0.7,-10,3.5
44,13,"2016-01-21","23-311","ATL","@","SAC",-3,0,"15:33",3,8,0.375,0,3,0,3,4,0.75,0,5,5,0,1,0,0,1,9,6.3,17,17.3
45,14,"2016-01-23","23-313","ATL","@","PHO",-3,0,"12:11",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,0,1,1,0,-1.4,2,1
46,15,"2016-01-25","23-315","ATL","@","DEN",14,0,"16:34",3,8,0.375,1,4,0.25,0,0,NA,1,1,2,0,0,0,0,4,7,2,1,10
47,16,"2016-01-27","23-317","ATL","","LAC",-2,0,"8:42",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-0.1,-11,2.5
48,17,"2016-01-28","23-318","ATL","@","IND",-19,0,"17:21",1,4,0.25,1,3,0.333,0,0,NA,0,1,1,2,0,0,1,0,3,1.3,-18,7.3
49,18,"2016-01-31","23-321","ATL","@","MIA",-18,0,"20:15",3,6,0.5,0,2,0,4,4,1,0,1,1,0,1,0,0,1,10,7.9,-7,13.3
50,19,"2016-02-01","23-322","ATL","","DAL",15,0,"21:31",3,7,0.429,1,3,0.333,2,2,1,0,3,3,2,0,0,1,1,9,6.2,-1,15.8
51,20,"2016-02-03","23-324","ATL","@","PHI",38,0,"25:47",5,8,0.625,1,3,0.333,2,2,1,2,5,7,4,1,0,0,1,13,15.7,23,30.3
52,21,"2016-02-05","23-326","ATL","","IND",6,0,"12:35",1,3,0.333,1,2,0.5,0,0,NA,0,1,1,1,0,0,0,0,3,2.3,3,6.3
53,22,"2016-02-07","23-328","ATL","@","ORL",-2,0,"11:12",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1.5
54,23,"2016-02-08","23-329","ATL","","ORL",-7,0,"6:00",1,4,0.25,0,2,0,0,0,NA,0,0,0,0,0,1,0,0,2,0.3,-10,4
55,24,"2016-02-10","23-331","ATL","@","CHI",23,0,"19:15",0,3,0,0,2,0,2,2,1,0,6,6,0,1,0,1,2,2,0.9,14,11
56,25,"2016-02-19","23-340","ATL","","MIA",-4,0,"11:42",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-0.1,-9,2.5
57,26,"2016-02-20","23-341","ATL","","MIL",-8,0,"14:24",2,6,0.333,0,3,0,3,3,1,0,1,1,2,0,1,0,2,7,5.2,7,13.3
58,27,"2016-02-22","23-343","ATL","","GSW",-10,0,"25:40",5,9,0.556,2,5,0.4,0,0,NA,0,2,2,1,1,0,2,4,12,6.4,17,18
59,28,"2016-02-26","23-347","ATL","","CHI",15,0,"19:02",3,6,0.5,1,4,0.25,2,2,1,1,5,6,1,1,0,1,2,9,8.1,1,20
60,29,"2016-02-28","23-349","ATL","","CHO",11,0,"25:11",5,8,0.625,1,2,0.5,0,0,NA,0,2,2,1,1,1,0,4,11,8.8,20,19.5
61,30,"2016-03-01","23-351","ATL","@","GSW",-4,0,"17:28",2,5,0.4,1,2,0.5,1,2,0.5,0,1,1,0,0,0,1,1,6,1.8,-6,7.3
62,31,"2016-03-04","23-354","ATL","@","LAL",29,0,"13:24",2,2,1,2,2,1,0,0,NA,0,2,2,0,1,0,0,0,6,7,5,11.5
63,32,"2016-03-05","23-355","ATL","@","LAC",10,0,"7:57",1,3,0.333,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,2,1,-10,3.5
