"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-063","HOU","","DEN",-20,1,"36:23",6,21,0.286,2,12,0.167,8,9,0.889,1,5,6,6,2,2,3,2,22,15.3,-20,46
2,2,"2015-10-30","26-065","HOU","","GSW",-20,1,"37:00",4,18,0.222,1,10,0.1,7,8,0.875,2,5,7,5,1,1,4,2,16,7.9,-22,34.8
3,3,"2015-11-01","26-067","HOU","@","MIA",-20,1,"39:06",2,15,0.133,0,10,0,12,14,0.857,0,6,6,7,3,1,5,2,16,10.1,-23,39.5
4,4,"2015-11-02","26-068","HOU","","OKC",5,1,"38:28",12,26,0.462,4,12,0.333,9,11,0.818,0,5,5,3,3,2,2,1,37,28.4,6,58.8
5,5,"2015-11-04","26-070","HOU","","ORL",5,1,"43:39",6,22,0.273,2,11,0.182,14,17,0.824,2,5,7,4,0,0,7,5,28,10.5,2,40.3
6,6,"2015-11-06","26-072","HOU","@","SAC",6,1,"41:51",13,23,0.565,4,10,0.4,13,16,0.813,2,4,6,13,2,0,7,0,43,37.6,24,74
7,7,"2015-11-07","26-073","HOU","@","LAC",4,1,"39:39",14,26,0.538,5,10,0.5,13,14,0.929,0,4,4,2,1,0,7,4,46,28,6,55
8,8,"2015-11-11","26-077","HOU","","BRK",-8,1,"38:26",8,22,0.364,3,10,0.3,4,5,0.8,0,9,9,6,1,0,4,2,23,13.5,1,44.8
9,9,"2015-11-13","26-079","HOU","@","DEN",-9,1,"37:53",9,19,0.474,1,5,0.2,9,11,0.818,0,8,8,5,3,2,4,4,28,22.2,-9,54
10,10,"2015-11-14","26-080","HOU","","DAL",-12,1,"41:40",5,21,0.238,1,6,0.167,14,14,1,3,4,7,10,2,1,6,4,25,17.7,-12,53.8
11,11,"2015-11-16","26-082","HOU","","BOS",-16,1,"29:41",4,10,0.4,4,7,0.571,4,4,1,0,1,1,3,0,0,4,4,16,7.4,-27,21.8
12,12,"2015-11-18","26-084","HOU","","POR",5,1,"47:24",11,29,0.379,4,15,0.267,19,20,0.95,1,7,8,11,5,1,5,2,45,39.1,10,84.5
13,13,"2015-11-20","26-086","HOU","@","MEM",-12,1,"35:36",7,15,0.467,1,7,0.143,7,8,0.875,0,6,6,5,2,2,6,1,22,16.2,-10,42.5
14,14,"2015-11-21","26-087","HOU","","NYK",-5,1,"38:18",8,20,0.4,3,4,0.75,5,5,1,1,6,7,10,3,2,3,3,24,22.9,-10,59.3
15,15,"2015-11-25","26-091","HOU","","MEM",-9,1,"40:54",12,19,0.632,5,9,0.556,11,11,1,1,4,5,5,3,1,4,2,40,35.8,1,62.3
16,16,"2015-11-27","26-093","HOU","","PHI",2,1,"40:09",14,28,0.5,6,12,0.5,16,20,0.8,2,7,9,8,0,0,9,2,50,33.7,13,71.8
17,17,"2015-11-29","26-095","HOU","@","NYK",5,1,"45:18",10,28,0.357,0,7,0,6,10,0.6,3,4,7,9,2,0,2,2,26,17.6,10,51.3
18,18,"2015-11-30","26-096","HOU","@","DET",-11,1,"42:22",6,15,0.4,2,4,0.5,15,17,0.882,1,8,9,7,2,0,5,4,29,23.5,-4,53.3
19,19,"2015-12-02","26-098","HOU","","NOP",7,1,"37:40",7,20,0.35,1,8,0.125,9,10,0.9,0,10,10,6,1,1,0,1,24,20.9,11,51.5
20,20,"2015-12-04","26-100","HOU","@","DAL",4,1,"36:08",10,23,0.435,1,6,0.167,4,5,0.8,1,7,8,9,1,2,4,1,25,19.6,-1,53
21,21,"2015-12-05","26-101","HOU","","SAC",7,1,"35:43",6,14,0.429,5,6,0.833,14,16,0.875,0,2,2,9,0,1,5,4,31,23.8,1,49
22,22,"2015-12-08","26-104","HOU","@","BRK",-5,1,"35:21",2,9,0.222,1,5,0.2,5,6,0.833,0,3,3,9,3,0,7,2,10,6.5,-15,30.3
23,23,"2015-12-09","26-105","HOU","@","WAS",6,1,"40:02",13,23,0.565,5,9,0.556,11,12,0.917,2,7,9,7,2,2,7,4,42,33.9,6,70.8
24,24,"2015-12-12","26-108","HOU","","LAL",29,1,"31:39",11,21,0.524,3,5,0.6,5,5,1,0,3,3,3,3,0,2,2,30,22.9,6,44.8
25,25,"2015-12-14","26-110","HOU","@","DEN",-6,1,"34:23",9,20,0.45,5,8,0.625,1,3,0.333,1,2,3,6,3,0,2,1,24,18.9,9,44.3
26,26,"2015-12-15","26-111","HOU","@","SAC",-10,1,"36:27",10,18,0.556,4,8,0.5,9,12,0.75,1,6,7,6,1,0,7,2,33,23.1,-5,51.3
27,27,"2015-12-17","26-113","HOU","@","LAL",20,1,"36:08",7,24,0.292,2,9,0.222,9,10,0.9,2,4,6,6,1,1,3,2,25,15.3,31,45
28,28,"2015-12-19","26-115","HOU","","LAC",10,1,"33:43",4,13,0.308,0,4,0,10,10,1,0,5,5,11,0,1,5,4,18,13.8,8,41.8
29,29,"2015-12-21","26-117","HOU","","CHO",7,1,"34:58",9,16,0.563,2,7,0.286,16,19,0.842,1,4,5,7,0,1,4,4,36,29.1,-1,53.8
30,30,"2015-12-23","26-119","HOU","@","ORL",-3,1,"40:15",12,18,0.667,2,4,0.5,5,6,0.833,0,3,3,7,1,0,3,2,31,25.8,3,46.8
31,31,"2015-12-25","26-121","HOU","","SAS",4,1,"38:00",7,21,0.333,2,6,0.333,4,5,0.8,0,4,4,9,0,1,4,3,20,10.7,-4,39.5
32,32,"2015-12-26","26-122","HOU","@","NOP",-2,1,"33:54",8,21,0.381,5,11,0.455,4,4,1,1,5,6,5,1,0,2,4,25,16.6,-5,43.5
33,33,"2015-12-29","26-125","HOU","","ATL",-6,1,"38:45",6,16,0.375,3,6,0.5,11,12,0.917,0,10,10,8,1,0,7,3,26,18.2,-2,52
34,34,"2015-12-31","26-127","HOU","","GSW",-4,1,"34:24",8,19,0.421,5,10,0.5,9,9,1,0,5,5,5,3,0,3,5,30,22.9,11,50.8
35,35,"2016-01-02","26-129","HOU","@","SAS",-18,1,"30:26",6,10,0.6,2,5,0.4,3,3,1,1,1,2,3,1,0,5,3,17,10.3,-31,24.5
36,36,"2016-01-04","26-131","HOU","@","UTA",2,1,"42:12",9,25,0.36,4,12,0.333,8,9,0.889,2,3,5,7,0,1,8,3,30,14.4,2,46.8
37,37,"2016-01-07","26-134","HOU","","UTA",9,1,"34:07",13,25,0.52,0,7,0,7,10,0.7,2,6,8,3,2,1,4,1,33,23.1,3,51.5
38,38,"2016-01-10","26-137","HOU","","IND",4,1,"42:34",8,20,0.4,2,9,0.222,3,4,0.75,0,9,9,9,1,0,5,5,21,12.8,-2,46.3
39,39,"2016-01-12","26-139","HOU","@","MEM",16,1,"33:16",6,13,0.462,4,9,0.444,9,10,0.9,1,4,5,5,1,0,6,4,25,16.7,7,39.8
40,40,"2016-01-13","26-140","HOU","","MIN",3,1,"34:35",8,22,0.364,2,10,0.2,9,11,0.818,0,3,3,11,1,0,6,1,27,17.2,-7,48.8
41,41,"2016-01-15","26-142","HOU","","CLE",-14,1,"38:14",2,10,0.2,0,5,0,7,7,1,0,5,5,5,3,1,8,5,11,3.5,-2,28.8
42,42,"2016-01-17","26-144","HOU","@","LAL",17,1,"27:15",10,17,0.588,4,7,0.571,7,10,0.7,0,3,3,5,0,0,2,1,31,23.9,10,43.3
43,43,"2016-01-18","26-145","HOU","@","LAC",-8,1,"40:21",5,12,0.417,2,7,0.286,8,13,0.615,0,3,3,8,0,0,3,4,20,13.5,-15,35.3
44,44,"2016-01-20","26-147","HOU","","DET",-9,1,"36:03",9,22,0.409,3,7,0.429,12,12,1,2,15,17,14,1,0,6,5,33,29.9,-11,80.3
45,45,"2016-01-22","26-149","HOU","","MIL",4,1,"34:06",9,15,0.6,5,8,0.625,7,8,0.875,0,5,5,8,2,0,2,2,30,29,9,53.8
46,46,"2016-01-24","26-151","HOU","","DAL",11,1,"35:40",7,18,0.389,3,10,0.3,6,6,1,2,13,15,10,0,2,2,1,23,24.5,10,65.8
47,47,"2016-01-25","26-152","HOU","@","NOP",1,1,"41:11",11,20,0.55,3,5,0.6,10,10,1,0,11,11,8,1,1,2,4,35,32.4,15,66.8
48,48,"2016-01-27","26-154","HOU","@","SAS",-31,1,"27:36",5,10,0.5,1,3,0.333,9,9,1,1,2,3,2,0,1,5,1,20,13,-23,26.8
49,49,"2016-01-29","26-156","HOU","@","OKC",-8,1,"39:24",8,22,0.364,2,7,0.286,15,17,0.882,0,7,7,7,2,1,3,2,33,25.9,-6,57.8
50,50,"2016-01-30","26-157","HOU","","WAS",-1,1,"37:20",12,20,0.6,6,9,0.667,10,10,1,1,6,7,11,4,0,2,5,40,41,-1,76.8
51,51,"2016-02-02","26-160","HOU","","MIA",13,1,"34:40",10,19,0.526,3,8,0.375,3,4,0.75,0,4,4,14,2,1,3,2,26,26.2,12,59.5
52,52,"2016-02-04","26-162","HOU","@","PHO",6,1,"36:09",4,19,0.211,2,9,0.222,7,7,1,2,7,9,6,2,0,4,2,17,10.2,14,40.3
53,53,"2016-02-06","26-164","HOU","","POR",-17,1,"35:33",7,18,0.389,4,9,0.444,15,18,0.833,0,8,8,3,3,1,10,2,33,19.4,-15,52.5
54,54,"2016-02-09","26-167","HOU","@","GSW",-13,1,"40:05",10,21,0.476,6,10,0.6,11,13,0.846,0,5,5,5,3,1,1,2,37,32.4,-3,61.3
55,55,"2016-02-10","26-168","HOU","@","POR",-13,1,"41:44",10,20,0.5,3,8,0.375,11,14,0.786,2,7,9,11,2,0,8,4,34,26.4,-9,64.8
56,56,"2016-02-19","26-177","HOU","@","PHO",16,1,"33:24",6,16,0.375,1,9,0.111,14,17,0.824,1,9,10,7,3,1,2,5,27,25,35,59
57,57,"2016-02-23","26-181","HOU","@","UTA",-3,1,"43:58",16,30,0.533,2,7,0.286,8,10,0.8,1,4,5,4,2,0,5,5,42,26.3,2,56.8
58,58,"2016-02-25","26-183","HOU","@","POR",14,1,"46:25",16,26,0.615,4,9,0.444,10,13,0.769,2,3,5,8,3,0,5,5,46,36.9,17,69.8
59,59,"2016-02-27","26-185","HOU","","SAS",-10,1,"41:22",10,25,0.4,3,8,0.375,4,4,1,1,3,4,2,1,0,5,2,27,11.7,-12,36
60,60,"2016-02-29","26-187","HOU","@","MIL",-7,1,"39:58",8,16,0.5,3,7,0.429,7,7,1,0,6,6,9,3,0,4,3,26,23.9,9,52.5
61,61,"2016-03-02","26-189","HOU","","NOP",5,1,"39:43",11,24,0.458,1,9,0.111,16,18,0.889,3,9,12,7,4,1,8,3,39,31,10,72.5
62,62,"2016-03-05","26-192","HOU","@","CHI",-8,1,"39:48",10,26,0.385,4,12,0.333,12,14,0.857,1,4,5,8,0,0,9,5,36,17.5,-2,51.8
63,63,"2016-03-06","26-193","HOU","@","TOR",6,1,"42:41",11,20,0.55,3,7,0.429,15,19,0.789,0,5,5,14,1,0,1,4,40,38.5,17,71.8
64,64,"2016-03-09","26-196","HOU","@","PHI",14,1,"41:15",8,26,0.308,0,8,0,13,13,1,2,7,9,8,1,1,4,4,29,19.2,19,54.3
65,65,"2016-03-11","26-198","HOU","@","BOS",4,1,"36:12",9,19,0.474,1,6,0.167,13,15,0.867,0,3,3,4,1,1,6,4,32,19.3,1,43.3
66,66,"2016-03-12","26-199","HOU","@","CHO",-16,1,"33:42",2,14,0.143,0,5,0,8,9,0.889,1,2,3,10,2,0,1,3,12,10.7,-23,35.8
67,67,"2016-03-14","26-201","HOU","","MEM",49,1,"25:12",3,8,0.375,2,5,0.4,7,8,0.875,0,7,7,8,1,3,5,1,15,15.6,30,42.3
