"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","22-170","POR","","NOP",18,0,"18:13",3,6,0.5,2,3,0.667,0,0,NA,0,4,4,0,0,1,1,0,8,5.9,-7,15.5
2,2,"2015-10-30","22-172","POR","@","PHO",-18,0,"24:01",4,6,0.667,1,2,0.5,0,0,NA,1,4,5,1,0,1,1,3,9,7.5,0,18.8
3,3,"2015-10-31","22-173","POR","","PHO",-11,0,"28:13",3,9,0.333,1,4,0.25,0,2,0,3,1,4,0,2,0,2,0,7,3.5,8,15.5
4,4,"2015-11-02","22-175","POR","@","MIN",5,0,"17:15",2,5,0.4,0,1,0,1,1,1,1,3,4,1,0,0,0,2,5,3.8,-8,11.5
5,5,"2015-11-04","22-177","POR","@","UTA",16,0,"28:51",5,8,0.625,2,2,1,3,4,0.75,5,5,10,0,0,3,2,3,15,14.9,11,35
6,6,"2015-11-05","22-178","POR","","MEM",19,0,"25:28",4,7,0.571,0,2,0,2,3,0.667,2,1,3,4,0,0,0,1,10,10.4,17,19.8
7,7,"2015-11-08","22-181","POR","","DET",-17,0,"22:13",1,3,0.333,1,2,0.5,0,0,NA,2,3,5,2,1,0,3,4,3,1.4,-2,13.3
8,8,"2015-11-09","22-182","POR","@","DEN",-4,0,"14:18",2,5,0.4,1,1,1,1,2,0.5,1,2,3,1,0,0,2,0,6,2.9,2,10.8
9,9,"2015-11-11","22-184","POR","","SAS",-12,0,"15:34",0,2,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,-0.7,-19,1.5
10,10,"2015-11-13","22-186","POR","@","MEM",-1,0,"22:22",3,6,0.5,1,2,0.5,3,4,0.75,1,2,3,1,0,0,1,1,10,7.2,-1,15.3
11,11,"2015-11-15","22-188","POR","@","CHO",-12,0,"20:55",1,3,0.333,0,1,0,2,2,1,2,0,2,1,1,0,0,0,4,5.4,-5,10
12,12,"2015-11-16","22-189","POR","@","SAS",-13,0,"12:10",2,4,0.5,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,2,5,2.5,-16,6.8
13,13,"2015-11-18","22-191","POR","@","HOU",-5,0,"19:28",1,4,0.25,0,1,0,1,2,0.5,1,7,8,3,2,0,4,2,3,2.3,4,19.5
14,14,"2015-11-20","22-193","POR","","LAC",11,0,"7:29",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,4,1.3
15,15,"2015-11-22","22-195","POR","@","LAL",14,0,"25:00",5,11,0.455,0,4,0,0,0,NA,1,3,4,0,1,1,1,3,10,5.4,9,18.5
16,16,"2015-11-24","22-197","POR","","CHI",-5,0,"12:28",1,2,0.5,0,1,0,0,0,NA,1,0,1,1,0,1,1,0,2,2.1,-12,6.3
17,17,"2015-11-28","22-201","POR","","LAL",12,0,"25:58",2,4,0.5,0,1,0,3,4,0.75,4,4,8,3,0,0,1,1,7,9.3,3,21
18,18,"2015-11-30","22-203","POR","@","LAC",-15,0,"25:59",6,10,0.6,1,2,0.5,2,4,0.5,2,2,4,1,2,1,3,4,15,10.4,9,26.5
19,19,"2015-12-01","22-204","POR","","DAL",-3,0,"17:23",1,2,0.5,0,1,0,0,0,NA,1,6,7,1,0,0,2,2,2,1.4,16,11.3
20,20,"2015-12-03","22-206","POR","","IND",12,0,"16:06",2,5,0.4,1,2,0.5,0,0,NA,1,4,5,1,2,0,2,2,5,4.1,4,16.3
21,21,"2015-12-05","22-208","POR","@","MIN",6,0,"10:11",0,1,0,0,1,0,1,4,0.25,1,2,3,0,0,0,0,0,1,0.4,-12,4.8
22,22,"2015-12-07","22-210","POR","@","MIL",-2,0,"9:57",0,1,0,0,1,0,0,0,NA,1,1,2,0,0,0,0,0,0,0.3,2,2.5
23,23,"2015-12-08","22-211","POR","@","CLE",-5,0,"20:08",0,0,NA,0,0,NA,0,0,NA,0,4,4,1,0,0,1,2,0,0.1,-6,6
24,24,"2015-12-11","22-214","POR","@","PHO",10,0,"5:49",1,2,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,2,2,-7,4.8
25,25,"2015-12-12","22-215","POR","","NYK",-2,0,"15:08",0,1,0,0,0,NA,2,2,1,0,0,0,0,0,0,1,2,2,-0.5,-9,1.5
26,26,"2015-12-14","22-217","POR","","NOP",4,0,"7:01",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,1,1,0,-1.1,3,2.3
27,27,"2015-12-16","22-219","POR","@","OKC",-16,0,"10:22",1,4,0.25,0,0,NA,0,0,NA,1,1,2,0,0,0,1,2,2,-1.2,1,4
28,28,"2015-12-18","22-221","POR","@","ORL",-8,0,"9:33",0,1,0,0,0,NA,1,2,0.5,0,1,1,0,0,0,0,2,1,-0.6,1,2.3
29,29,"2015-12-20","22-223","POR","@","MIA",-7,0,"13:40",1,3,0.333,0,1,0,0,0,NA,1,3,4,1,0,0,0,0,2,2.6,3,8.5
30,30,"2015-12-21","22-224","POR","@","ATL",-9,0,"23:29",6,10,0.6,2,6,0.333,0,0,NA,0,3,3,1,1,0,2,1,14,9.6,-10,21.3
31,31,"2015-12-23","22-226","POR","@","NOP",-26,0,"11:03",0,3,0,0,2,0,0,0,NA,0,2,2,1,2,1,0,0,0,1.9,-3,10
32,32,"2015-12-26","22-229","POR","","CLE",29,0,"12:33",2,5,0.4,0,0,NA,0,0,NA,2,1,3,0,0,1,0,0,4,3.7,4,9.8
33,33,"2015-12-27","22-230","POR","@","SAC",4,0,"33:00",6,9,0.667,0,3,0,1,1,1,3,3,6,1,3,2,1,2,13,15.4,10,31.5
34,34,"2015-12-30","22-233","POR","","DEN",7,0,"25:36",5,12,0.417,2,5,0.4,0,0,NA,2,3,5,1,0,0,1,0,12,7.6,-3,20.3
35,35,"2015-12-31","22-234","POR","@","UTA",-13,0,"21:48",3,9,0.333,0,5,0,2,2,1,1,2,3,1,1,0,0,1,8,5.5,-15,15.3
36,36,"2016-01-03","22-237","POR","@","DEN",6,0,"17:40",3,6,0.5,1,4,0.25,3,4,0.75,0,2,2,0,0,0,1,4,10,4.6,-2,12.5
37,37,"2016-01-04","22-238","POR","","MEM",-13,0,"20:12",1,2,0.5,0,1,0,0,2,0,0,2,2,3,1,1,0,0,2,4.6,-5,13
38,38,"2016-01-06","22-240","POR","","LAC",-11,0,"21:52",3,5,0.6,0,1,0,0,3,0,1,1,2,1,1,1,0,2,6,5.1,0,14
39,39,"2016-01-08","22-242","POR","","GSW",-20,0,"22:21",1,3,0.333,1,2,0.5,2,4,0.5,1,0,1,1,2,1,0,1,5,6.2,-7,14.3
40,40,"2016-01-10","22-244","POR","","OKC",5,0,"19:55",3,5,0.6,1,1,1,0,0,NA,1,3,4,0,0,0,1,0,7,5.3,-3,12
41,41,"2016-01-13","22-247","POR","","UTA",14,0,"15:08",2,2,1,0,0,NA,0,0,NA,1,1,2,0,1,0,1,2,4,3.6,7,8
42,42,"2016-01-15","22-249","POR","@","BRK",12,0,"15:38",2,4,0.5,0,1,0,0,0,NA,0,2,2,2,0,0,0,1,4,3.6,6,9.5
