"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","21-275","HOU","","DEN",-20,0,"15:50",4,4,1,0,0,NA,0,0,NA,1,2,3,1,0,0,0,4,8,7.2,2,13.3
2,2,"2015-10-30","21-277","HOU","","GSW",-20,0,"21:10",7,9,0.778,0,0,NA,3,5,0.6,1,2,3,0,0,1,0,1,17,14.3,-11,22.8
3,3,"2015-11-01","21-279","HOU","@","MIA",-20,0,"22:16",3,4,0.75,0,0,NA,1,2,0.5,2,3,5,0,0,1,1,2,7,6.2,-18,14.8
4,4,"2015-11-02","21-280","HOU","","OKC",5,0,"2:39",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,1,0,0.6,-4,2
5,5,"2015-11-04","21-282","HOU","","ORL",5,0,"2:58",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-6,0
6,6,"2015-11-06","21-284","HOU","@","SAC",6,0,"6:36",1,4,0.25,0,0,NA,1,2,0.5,2,0,2,0,0,0,2,1,3,-0.8,-10,4.5
7,7,"2015-11-07","21-285","HOU","@","LAC",4,0,"4:10",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,1,1.3
9,8,"2015-11-13","21-291","HOU","@","DEN",-9,1,"12:51",1,1,1,0,0,NA,3,4,0.75,1,1,2,0,0,0,1,3,5,3.1,-1,7
10,9,"2015-11-14","21-292","HOU","","DAL",-12,0,"11:03",2,3,0.667,0,0,NA,1,2,0.5,2,2,4,1,1,1,0,1,5,7.3,3,15.5
11,10,"2015-11-16","21-294","HOU","","BOS",-16,0,"11:56",2,3,0.667,0,0,NA,0,0,NA,0,2,2,0,0,0,2,1,4,0.9,0,5.5
