"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
13,1,"2015-11-20","21-023","CHO","","PHI",25,0,"2:22",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,7,1.3
18,2,"2015-12-02","21-035","CHO","","GSW",-17,0,"6:31",1,1,1,0,0,NA,0,2,0,0,1,1,0,0,0,0,0,2,1.2,2,3.3
20,3,"2015-12-07","21-040","CHO","","DET",20,0,"3:44",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,1,0,0,-1,-2,0.8
21,4,"2015-12-09","21-042","CHO","","MIA",18,0,"6:30",0,0,NA,0,0,NA,2,4,0.5,0,1,1,0,1,0,0,0,2,2.5,-5,5.3
22,5,"2015-12-11","21-044","CHO","@","MEM",24,0,"3:31",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,-1,3.5
33,6,"2016-01-02","21-066","CHO","","OKC",-19,0,"3:49",0,1,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,1.3
38,7,"2016-01-13","21-077","CHO","","ATL",23,0,"5:12",0,3,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,1,0,-1.8,-12,1.3
40,8,"2016-01-16","21-080","CHO","","MIL",-13,0,"3:50",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,8,1.3
42,9,"2016-01-20","21-084","CHO","@","OKC",-14,0,"3:29",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,1,0,0,0,0,1.3,5,3.3
44,10,"2016-01-23","21-087","CHO","","NYK",13,0,"2:39",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
45,11,"2016-01-25","21-089","CHO","@","SAC",1,0,"5:47",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,7,0
46,12,"2016-01-27","21-091","CHO","@","UTA",-29,0,"4:39",0,1,0,0,0,NA,0,0,NA,0,0,0,0,1,0,1,1,0,-1.1,-4,1.5
48,13,"2016-01-31","21-095","CHO","@","LAL",19,0,"3:03",0,2,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,1,0,-0.8,-5,2
56,14,"2016-02-24","21-119","CHO","@","CLE",-11,0,"4:00",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,9,1.3
59,15,"2016-03-01","21-125","CHO","","PHO",34,0,"7:49",0,3,0,0,3,0,2,4,0.5,0,0,0,0,0,0,0,2,2,-1.7,-8,2
60,16,"2016-03-02","21-126","CHO","@","PHI",20,0,"1:45",1,1,1,1,1,1,0,0,NA,1,0,1,0,0,0,0,1,3,3,0,4.8
64,17,"2016-03-11","21-135","CHO","","DET",15,0,"2:42",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,1,0,0,-0.3,0,1
65,18,"2016-03-12","21-136","CHO","","HOU",16,0,"2:46",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-4,0
79,19,"2016-04-08","21-163","CHO","","BRK",14,0,"2:14",0,1,0,0,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,0.3,-5,2
81,20,"2016-04-11","21-166","CHO","@","BOS",14,0,"1:12",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-2,-0.5
82,21,"2016-04-13","21-168","CHO","","ORL",14,0,"15:44",2,3,0.667,1,1,1,1,2,0.5,0,5,5,1,1,0,0,3,6,6.3,3,16.3
