"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","21-044","DEN","@","HOU",20,1,"29:29",2,5,0.4,1,2,0.5,0,0,NA,0,5,5,5,3,1,1,4,5,8.4,23,26.8
2,2,"2015-10-30","21-046","DEN","","MIN",-17,1,"17:53",2,8,0.25,0,2,0,0,0,NA,1,0,1,1,1,0,1,3,4,-0.6,-15,8.3
3,3,"2015-11-01","21-048","DEN","@","OKC",-24,1,"26:41",2,5,0.4,1,2,0.5,2,3,0.667,1,3,4,0,0,0,3,0,7,2.5,-22,11
4,4,"2015-11-03","21-050","DEN","@","LAL",11,1,"21:43",5,9,0.556,1,3,0.333,0,1,0,0,3,3,2,2,0,0,1,11,10.2,0,22.3
5,5,"2015-11-05","21-052","DEN","","UTA",-12,1,"27:41",3,5,0.6,1,1,1,0,0,NA,0,2,2,2,0,1,3,0,7,4.4,1,13.5
6,6,"2015-11-06","21-053","DEN","@","GSW",-15,1,"29:15",6,8,0.75,2,2,1,2,2,1,0,3,3,2,1,0,1,1,16,14.7,-13,25.3
7,7,"2015-11-09","21-056","DEN","","POR",4,1,"25:28",3,8,0.375,1,3,0.333,0,0,NA,0,3,3,3,0,0,1,2,7,3.8,0,15.3
8,8,"2015-11-11","21-058","DEN","","MIL",1,1,"28:08",3,7,0.429,2,4,0.5,0,0,NA,0,1,1,5,2,0,2,0,8,8.1,4,20.8
9,9,"2015-11-13","21-060","DEN","","HOU",9,1,"11:26",1,3,0.333,1,1,1,0,0,NA,1,3,4,0,1,0,1,4,3,1.3,0,10
10,10,"2015-11-14","21-061","DEN","@","PHO",-24,1,"26:16",3,9,0.333,0,5,0,1,1,1,0,1,1,0,1,1,2,2,7,1.1,-17,11.3
11,11,"2015-11-17","21-064","DEN","@","NOP",17,1,"31:50",5,8,0.625,3,4,0.75,3,4,0.75,2,2,4,3,2,0,2,2,16,15.3,15,30
12,12,"2015-11-18","21-065","DEN","@","SAS",-11,1,"27:00",6,10,0.6,1,3,0.333,2,2,1,1,1,2,1,2,0,0,0,15,14.1,-14,23.5
13,13,"2015-11-20","21-067","DEN","","PHO",-7,1,"28:06",8,13,0.615,2,4,0.5,2,2,1,1,1,2,0,0,0,1,2,20,13.3,-2,23
14,14,"2015-11-22","21-069","DEN","","GSW",-13,1,"34:04",5,11,0.455,1,3,0.333,1,2,0.5,2,1,3,3,1,0,2,2,12,7.9,-16,21.8
15,15,"2015-11-24","21-071","DEN","","LAC",-17,1,"34:33",5,11,0.455,3,6,0.5,1,1,1,1,2,3,1,0,0,1,5,14,7.3,-11,20.3
16,16,"2015-11-27","21-074","DEN","","SAS",-11,1,"25:04",2,4,0.5,1,3,0.333,0,0,NA,0,1,1,3,1,0,2,1,5,4,-14,12.3
