"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-105","ORL","","WAS",-1,1,"31:05",7,14,0.5,0,3,0,1,2,0.5,2,5,7,3,0,1,2,4,15,9.7,-1,29.3
2,2,"2015-10-30","23-107","ORL","","OKC",-3,1,"46:17",9,19,0.474,2,4,0.5,10,12,0.833,4,5,9,4,0,1,5,3,30,21.1,-2,47.8
3,3,"2015-11-01","23-109","ORL","@","CHI",-5,1,"21:48",5,14,0.357,0,2,0,1,2,0.5,4,3,7,2,0,0,3,2,11,4.1,-2,21.3
4,4,"2015-11-03","23-111","ORL","@","NOP",9,1,"29:23",4,11,0.364,1,3,0.333,0,0,NA,4,9,13,1,1,0,1,4,9,7.5,-3,28.8
5,5,"2015-11-04","23-112","ORL","@","HOU",-5,1,"20:58",6,10,0.6,1,2,0.5,3,4,0.75,2,3,5,2,1,0,2,3,16,12.5,-1,26.8
6,6,"2015-11-06","23-114","ORL","","TOR",5,1,"36:07",8,10,0.8,2,2,1,2,4,0.5,2,7,9,2,1,0,4,2,20,16.5,6,35.3
7,7,"2015-11-07","23-115","ORL","@","PHI",8,1,"25:33",3,7,0.429,0,1,0,3,4,0.75,0,4,4,3,1,1,0,2,9,9.1,6,22.5
8,8,"2015-11-09","23-117","ORL","@","IND",-13,1,"28:54",3,13,0.231,1,3,0.333,1,2,0.5,2,8,10,0,0,0,1,0,8,2.5,-13,20.5
9,9,"2015-11-11","23-119","ORL","","LAL",2,1,"36:58",5,13,0.385,1,3,0.333,0,0,NA,5,6,11,1,1,1,1,3,11,9.4,-6,31.8
10,10,"2015-11-13","23-121","ORL","","UTA",9,1,"39:34",4,9,0.444,3,6,0.5,8,8,1,2,11,13,3,3,1,2,2,19,22,10,49.8
