"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","35-141","MIA","","CHO",10,0,"10:38",3,4,0.75,0,1,0,0,0,NA,0,4,4,1,1,0,1,2,6,5.5,1,14
7,2,"2015-11-08","35-152","MIA","","TOR",20,0,"2:14",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,3,1.3
8,3,"2015-11-10","35-154","MIA","","LAL",13,0,"2:27",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-2,1.3
14,4,"2015-11-25","35-169","MIA","@","DET",-23,0,"4:12",3,3,1,1,1,1,0,0,NA,0,1,1,1,1,0,0,0,7,8.1,5,12.3
15,5,"2015-11-27","35-171","MIA","@","NYK",19,0,"7:18",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-1,0
18,6,"2015-12-05","35-179","MIA","","CLE",15,0,"19:57",0,4,0,0,0,NA,0,0,NA,0,5,5,1,0,0,1,1,0,-2,-3,7.3
20,7,"2015-12-09","35-183","MIA","@","CHO",-18,0,"16:10",0,3,0,0,0,NA,1,1,1,1,5,6,1,0,1,1,2,1,0.7,5,11.5
22,8,"2015-12-13","35-187","MIA","","MEM",3,0,"6:51",1,1,1,0,0,NA,0,0,NA,0,0,0,1,0,0,0,2,2,1.6,6,3.5
23,9,"2015-12-14","35-188","MIA","@","ATL",12,0,"14:51",0,1,0,0,0,NA,2,2,1,0,1,1,1,1,0,0,0,2,3.3,1,6.8
24,10,"2015-12-16","35-190","MIA","@","BRK",6,0,"12:05",1,2,0.5,0,1,0,0,0,NA,0,3,3,1,1,0,0,2,2,2.8,6,9.3
25,11,"2015-12-18","35-192","MIA","","TOR",-14,0,"5:56",0,1,0,0,1,0,0,0,NA,0,1,1,1,0,0,0,0,0,0.3,-3,2.8
26,12,"2015-12-20","35-194","MIA","","POR",7,0,"7:15",0,0,NA,0,0,NA,0,0,NA,0,2,2,1,0,0,0,0,0,1.3,-3,4
27,13,"2015-12-22","35-196","MIA","","DET",-1,0,"6:46",0,2,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-0.8,-12,2.5
28,14,"2015-12-25","35-199","MIA","","NOP",6,0,"8:06",1,2,0.5,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,2,1.6,-2,4.5
32,15,"2016-01-01","35-206","MIA","","DAL",24,0,"2:58",1,1,1,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,2,2.7,1,4.5
33,16,"2016-01-03","35-208","MIA","@","WAS",22,0,"5:53",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,1,0,1,2,1.6,-6,5.3
38,17,"2016-01-11","35-216","MIA","@","GSW",-8,0,"6:58",0,1,0,0,0,NA,0,0,NA,0,3,3,1,0,0,0,1,0,0.5,-4,5.3
39,18,"2016-01-13","35-218","MIA","@","LAC",-14,0,"2:39",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,2,1.3,3,3.3
41,19,"2016-01-17","35-222","MIA","@","OKC",-25,0,"3:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-3,-0.5
43,20,"2016-01-20","35-225","MIA","@","WAS",-19,0,"6:21",0,1,0,0,0,NA,3,4,0.75,1,1,2,2,0,0,0,0,3,4.3,-7,8.5
44,21,"2016-01-22","35-227","MIA","@","TOR",-20,0,"15:47",2,6,0.333,0,0,NA,2,2,1,4,5,9,0,0,0,0,0,6,6.9,-1,17.3
45,22,"2016-01-25","35-230","MIA","@","CHI",5,0,"5:39",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,1,-1,2.8
46,23,"2016-01-26","35-231","MIA","@","BRK",4,0,"21:58",1,4,0.25,0,0,NA,0,0,NA,1,4,5,0,0,0,1,3,2,-0.7,-9,7.8
48,24,"2016-01-31","35-236","MIA","","ATL",18,0,"1:11",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,2,1.3
49,25,"2016-02-02","35-238","MIA","@","HOU",-13,0,"3:16",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,2,0,-1.2,4,1.3
54,26,"2016-02-19","35-255","MIA","@","ATL",4,0,"11:50",2,2,1,0,0,NA,2,2,1,0,3,3,1,0,0,0,1,6,6.6,-3,11.3
55,27,"2016-02-20","35-256","MIA","","WAS",20,0,"2:09",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,1,0,0.6,-2,2
62,28,"2016-03-04","35-269","MIA","@","PHI",10,0,"1:17",0,1,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,-6,1.3
65,29,"2016-03-11","35-276","MIA","@","CHI",22,0,"2:47",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
69,30,"2016-03-19","35-284","MIA","","CLE",21,0,"6:27",1,2,0.5,0,0,NA,0,0,NA,1,2,3,0,0,0,0,0,2,2.3,-9,5.8
72,31,"2016-03-25","35-290","MIA","","ORL",11,0,"1:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
76,32,"2016-04-02","35-298","MIA","@","POR",-17,0,"5:06",1,4,0.25,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,2,-0.1,5,3.3
77,33,"2016-04-05","35-301","MIA","","DET",18,0,"4:58",1,3,0.333,0,0,NA,0,0,NA,0,3,3,0,0,0,0,0,2,1.2,8,5.8
78,34,"2016-04-07","35-303","MIA","","CHI",8,0,"3:40",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,0,1,0,0.2,-1,2.5
79,35,"2016-04-08","35-304","MIA","@","ORL",-3,0,"8:53",3,4,0.75,0,0,NA,1,3,0.333,0,3,3,0,0,0,0,2,7,4.7,-2,10.8
80,36,"2016-04-10","35-306","MIA","","ORL",22,0,"2:43",0,0,NA,0,0,NA,0,0,NA,0,3,3,0,0,0,0,1,0,0.5,5,3.8
81,37,"2016-04-12","35-308","MIA","@","DET",6,0,"7:55",0,1,0,0,0,NA,1,2,0.5,0,1,1,0,0,0,0,2,1,-0.6,8,2.3
