"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
14,1,"2015-11-23","22-224","DET","@","MIL",-21,0,"12:40",1,7,0.143,0,2,0,0,0,NA,1,2,3,0,0,0,2,0,2,-3.2,0,4.8
15,2,"2015-11-25","22-226","DET","","MIA",23,0,"2:45",2,3,0.667,1,1,1,0,0,NA,1,0,1,0,0,0,0,0,5,4.4,-3,6.8
21,3,"2015-12-06","22-237","DET","","LAL",20,0,"6:42",1,5,0.2,1,4,0.25,2,2,1,1,0,1,0,0,0,0,2,5,1.8,-4,6.8
22,4,"2015-12-07","22-238","DET","@","CHO",-20,0,"3:55",0,2,0,0,0,NA,2,4,0.5,0,0,0,0,0,0,0,0,2,-0.2,2,2
23,5,"2015-12-09","22-240","DET","","MEM",-1,0,"6:51",1,1,1,1,1,1,0,0,NA,0,1,1,1,0,0,0,0,3,3.7,0,6.3
24,6,"2015-12-11","22-242","DET","@","PHI",12,0,"8:54",1,5,0.2,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,-1.1,-22,2
25,7,"2015-12-12","22-243","DET","","IND",22,0,"3:23",1,3,0.333,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,2,-0.7,-3,1.5
30,8,"2015-12-23","22-254","DET","@","ATL",-7,0,"4:30",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-1,0
32,9,"2015-12-29","22-260","DET","@","NYK",-12,0,"2:36",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,3,2
33,10,"2015-12-31","22-262","DET","","MIN",25,0,"3:23",0,1,0,0,0,NA,4,4,1,0,0,0,0,1,0,0,0,4,4.3,0,6
35,11,"2016-01-04","22-266","DET","","ORL",26,0,"3:44",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.8,-4,0
37,12,"2016-01-09","22-271","DET","","BRK",14,0,"20:14",3,5,0.6,1,2,0.5,1,1,1,0,4,4,1,0,0,1,2,8,5.8,16,14.5
41,13,"2016-01-18","22-280","DET","","CHI",-10,0,"2:38",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
44,14,"2016-01-23","22-285","DET","@","DEN",-3,0,"6:52",1,2,0.5,0,0,NA,0,0,NA,0,1,1,2,0,0,1,0,2,1.7,5,5.8
47,15,"2016-01-29","22-291","DET","","CLE",-8,0,"0:21",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
48,16,"2016-01-30","22-292","DET","@","TOR",-4,0,"10:02",2,3,0.667,1,2,0.5,0,0,NA,0,2,2,1,1,0,1,3,5,3.8,11,11
49,17,"2016-02-01","22-294","DET","@","BRK",5,0,"4:57",0,0,NA,0,0,NA,1,2,0.5,0,1,1,0,0,0,0,0,1,0.9,-6,2.3
50,18,"2016-02-03","22-296","DET","@","BOS",-7,0,"12:02",2,3,0.667,0,1,0,0,0,NA,1,2,3,1,0,0,0,0,4,4.7,4,9.3
51,19,"2016-02-04","22-297","DET","","NYK",6,0,"14:58",3,4,0.75,0,0,NA,0,0,NA,0,1,1,0,0,0,1,2,6,2.9,6,6.8
52,20,"2016-02-06","22-299","DET","@","IND",-8,0,"20:48",3,6,0.5,2,4,0.5,1,3,0.333,0,1,1,1,0,0,1,4,9,3.6,10,12.3
53,21,"2016-02-08","22-301","DET","","TOR",-14,0,"25:27",6,12,0.5,1,4,0.25,0,0,NA,0,0,0,1,2,0,0,2,13,8.9,-4,19
54,22,"2016-02-10","22-303","DET","","DEN",-11,0,"26:37",3,6,0.5,1,2,0.5,2,3,0.667,0,1,1,6,0,0,2,1,9,7.7,1,18.8
55,23,"2016-02-19","22-312","DET","@","WAS",-12,0,"2:27",1,1,1,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,0,3,2.3,4,3
56,24,"2016-02-21","22-314","DET","","NOP",-5,0,"11:11",1,3,0.333,1,2,0.5,0,0,NA,0,1,1,0,1,0,1,1,3,1.2,1,6.3
57,25,"2016-02-22","22-315","DET","@","CLE",8,0,"11:14",0,2,0,0,1,0,0,0,NA,0,3,3,2,0,0,3,1,0,-2.5,4,5.3
58,26,"2016-02-24","22-317","DET","","PHI",20,0,"18:20",2,10,0.2,1,4,0.25,1,2,0.5,1,4,5,1,1,0,0,1,6,2.6,-1,16.3
59,27,"2016-02-27","22-320","DET","@","MIL",11,0,"12:33",2,4,0.5,2,2,1,2,2,1,0,1,1,1,0,0,1,1,8,5.6,6,11.3
60,28,"2016-02-28","22-321","DET","","TOR",13,0,"8:39",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,2,0,-2.2,-23,0
61,29,"2016-03-02","22-324","DET","@","SAS",-16,0,"11:38",1,4,0.25,1,3,0.333,0,0,NA,0,1,1,1,0,0,0,0,3,1.6,0,6.3
62,30,"2016-03-05","22-327","DET","@","NYK",-13,0,"8:56",1,4,0.25,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,2,-0.8,-3,2
63,31,"2016-03-06","22-328","DET","","POR",20,0,"7:20",2,3,0.667,1,2,0.5,0,0,NA,0,0,0,1,1,0,0,0,5,5.4,-3,9
