"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-10-31","24-227","IND","","UTA",-21,0,"1:56",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
11,2,"2015-11-16","24-243","IND","@","CHI",-1,0,"12:59",2,5,0.4,0,2,0,0,0,NA,1,0,1,0,0,0,1,0,4,1,-7,4.8
12,3,"2015-11-18","24-245","IND","@","PHI",27,0,"10:34",2,5,0.4,0,1,0,0,0,NA,0,5,5,1,1,0,1,1,4,3.1,-1,13.3
13,4,"2015-11-21","24-248","IND","","MIL",37,0,"5:10",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,1,0,3,1.7,5,3
14,5,"2015-11-24","24-251","IND","@","WAS",17,0,"0:42",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
15,6,"2015-11-27","24-254","IND","","CHI",12,0,"11:47",0,1,0,0,1,0,0,0,NA,0,3,3,3,1,0,0,0,0,3.3,8,10.3
18,7,"2015-12-03","24-260","IND","@","POR",-12,0,"1:09",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
20,8,"2015-12-08","24-265","IND","","GSW",-8,0,"21:08",3,8,0.375,0,0,NA,0,0,NA,5,4,9,2,1,1,0,4,6,7.8,9,24.3
22,9,"2015-12-12","24-269","IND","@","DET",-22,0,"5:30",2,3,0.667,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,4,2.7,3,4
23,10,"2015-12-14","24-271","IND","","TOR",16,0,"3:27",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-9,0
24,11,"2015-12-16","24-273","IND","","DAL",26,0,"3:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,2,0,0,0,0,0,1.4,5,3
26,12,"2015-12-19","24-276","IND","@","MEM",-12,0,"1:01",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
27,13,"2015-12-21","24-278","IND","@","SAS",-14,0,"1:57",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,2,1.3
30,14,"2015-12-28","24-285","IND","","ATL",6,0,"25:51",5,10,0.5,0,3,0,0,0,NA,0,3,3,1,2,0,2,1,10,6.2,11,18.3
31,15,"2015-12-30","24-287","IND","@","CHI",-2,0,"20:13",3,7,0.429,0,2,0,2,2,1,2,2,4,3,1,2,0,2,8,10,-12,23.5
32,16,"2015-12-31","24-288","IND","","MIL",-4,0,"18:27",1,4,0.25,0,0,NA,2,2,1,0,1,1,0,1,1,0,1,4,3.2,19,9.3
33,17,"2016-01-02","24-290","IND","","DET",12,0,"16:44",2,4,0.5,0,1,0,0,0,NA,0,5,5,1,1,2,1,2,4,4.8,-4,17.3
34,18,"2016-01-04","24-292","IND","@","MIA",-3,0,"17:55",1,5,0.2,0,2,0,2,2,1,1,0,1,0,0,0,0,4,4,0,-17,5.3
38,19,"2016-01-12","24-300","IND","","PHO",19,0,"3:19",0,0,NA,0,0,NA,2,2,1,0,0,0,0,0,0,0,1,2,1.6,4,2
40,20,"2016-01-15","24-303","IND","","WAS",-14,0,"7:34",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,2,1.3
41,21,"2016-01-17","24-305","IND","@","DEN",-3,0,"27:35",2,5,0.4,2,3,0.667,0,0,NA,1,5,6,2,1,2,1,3,6,7.1,-6,23
42,22,"2016-01-19","24-307","IND","@","PHO",3,0,"5:37",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-3,0
43,23,"2016-01-22","24-310","IND","@","GSW",-12,1,"21:19",3,6,0.5,0,1,0,2,2,1,1,4,5,2,1,0,0,0,8,9.3,-12,19.3
46,24,"2016-01-28","24-316","IND","","ATL",19,0,"0:54",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,4,0
47,25,"2016-01-30","24-318","IND","","DEN",4,0,"11:10",1,4,0.25,0,1,0,2,2,1,2,4,6,1,1,0,1,0,4,4.9,-2,14.5
48,26,"2016-02-01","24-320","IND","","CLE",-5,0,"19:56",3,7,0.429,1,2,0.5,3,4,0.75,2,4,6,1,1,0,1,3,10,8,1,21
49,27,"2016-02-03","24-322","IND","@","BRK",14,0,"21:00",2,4,0.5,1,2,0.5,2,2,1,1,4,5,2,0,0,1,1,7,6.9,18,16.3
50,28,"2016-02-05","24-324","IND","@","ATL",-6,0,"14:46",1,7,0.143,0,3,0,2,2,1,2,0,2,0,1,0,1,2,4,0.1,-13,8
51,29,"2016-02-06","24-325","IND","","DET",8,0,"6:53",0,0,NA,0,0,NA,0,0,NA,1,0,1,2,0,0,2,2,0,-0.7,1,3.3
53,30,"2016-02-10","24-329","IND","","CHO",-22,0,"16:04",2,4,0.5,0,0,NA,0,0,NA,0,1,1,1,1,0,0,0,4,4,-2,8.8
54,31,"2016-02-19","24-338","IND","@","OKC",3,0,"13:26",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-1.9,-10,1.3
55,32,"2016-02-21","24-340","IND","@","ORL",3,0,"13:38",0,0,NA,0,0,NA,1,2,0.5,2,0,2,1,0,0,1,1,1,1.3,-4,4.5
56,33,"2016-02-22","24-341","IND","@","MIA",-8,0,"16:40",0,2,0,0,0,NA,0,0,NA,1,2,3,1,1,0,1,2,0,-0.2,-4,6.8
57,34,"2016-02-24","24-343","IND","","NYK",3,0,"14:04",3,4,0.75,1,1,1,0,0,NA,1,0,1,0,0,0,0,1,7,5.7,-8,8.8
58,35,"2016-02-26","24-345","IND","","CHO",-1,0,"16:13",1,1,1,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,2,2.7,3,4.5
59,36,"2016-02-28","24-347","IND","","POR",-9,0,"15:05",2,3,0.667,1,1,1,0,0,NA,0,3,3,1,0,0,0,0,5,5.3,-10,10.8
60,37,"2016-02-29","24-348","IND","@","CLE",-4,0,"4:19",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,0.6,-2,2.5
