"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-28","34-299","CHI","@","BRK",15,0,"4:57",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-7,1.5
9,2,"2015-11-13","34-315","CHI","","CHO",5,0,"9:05",2,3,0.667,1,1,1,0,0,NA,0,0,0,1,0,0,0,1,5,4,4,7
10,3,"2015-11-16","34-318","CHI","","IND",1,0,"13:20",2,6,0.333,0,1,0,5,6,0.833,0,1,1,1,2,0,1,2,9,6.4,-5,15.3
11,4,"2015-11-18","34-320","CHI","@","PHO",6,1,"23:32",6,7,0.857,2,2,1,0,0,NA,0,2,2,6,1,0,1,0,14,16.3,5,28
12,5,"2015-11-20","34-322","CHI","@","GSW",-12,1,"34:24",6,11,0.545,3,4,0.75,2,2,1,1,1,2,1,2,0,2,6,17,11,0,25.5
13,6,"2015-11-24","34-326","CHI","@","POR",5,0,"25:34",1,4,0.25,0,1,0,1,1,1,0,1,1,3,0,0,0,4,3,1.4,-2,8.8
14,7,"2015-11-27","34-329","CHI","@","IND",-12,0,"21:38",3,7,0.429,3,4,0.75,2,2,1,0,1,1,2,0,0,1,3,11,6.8,4,16.3
17,8,"2015-12-05","34-337","CHI","","CHO",-6,0,"13:46",2,6,0.333,0,2,0,0,0,NA,0,3,3,2,1,0,1,2,4,2.1,5,12.3
18,9,"2015-12-07","34-339","CHI","","PHO",-2,0,"13:48",0,5,0,0,1,0,0,0,NA,0,1,1,0,0,0,1,2,0,-5,-4,0.8
19,10,"2015-12-09","34-341","CHI","@","BOS",-5,0,"11:02",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,1,2,2,0.2,0,2.8
20,11,"2015-12-10","34-342","CHI","","LAC",3,0,"19:49",1,4,0.25,1,4,0.25,0,0,NA,1,1,2,3,1,0,1,1,3,3.3,9,12
21,12,"2015-12-12","34-344","CHI","","NOP",4,0,"14:32",1,1,1,1,1,1,0,0,NA,0,2,2,2,1,0,2,0,3,3.7,7,10
22,13,"2015-12-14","34-346","CHI","","PHI",19,0,"13:25",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,1,0,1,2,3,1.2,23,5
23,14,"2015-12-16","34-348","CHI","","MEM",13,0,"10:41",2,3,0.667,1,1,1,0,0,NA,0,1,1,2,0,0,1,2,5,3.6,5,9.3
24,15,"2015-12-18","34-350","CHI","","DET",-3,0,"13:08",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,3,0,-1.9,2,0
25,16,"2015-12-19","34-351","CHI","@","NYK",-16,0,"20:18",0,2,0,0,1,0,0,0,NA,0,4,4,1,0,0,1,3,0,-1.7,-9,6
26,17,"2015-12-21","34-353","CHI","","BRK",-3,0,"12:13",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,2,0,0,0,3,3,2.5,-3,7.8
27,18,"2015-12-25","34-357","CHI","@","OKC",9,0,"17:16",1,2,0.5,0,0,NA,0,0,NA,0,0,0,2,0,0,0,2,2,1.6,-1,5
28,19,"2015-12-26","34-358","CHI","@","DAL",-7,0,"10:12",0,3,0,0,3,0,0,0,NA,0,1,1,1,0,0,1,2,0,-2.9,-1,2.3
29,20,"2015-12-28","34-360","CHI","","TOR",7,0,"9:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,14,1.5
30,21,"2015-12-30","34-362","CHI","","IND",2,1,"12:34",1,3,0.333,1,2,0.5,0,0,NA,0,0,0,0,0,1,2,1,3,-0.4,-9,4.5
31,22,"2016-01-01","34-364","CHI","","NYK",27,1,"16:27",1,2,0.5,0,1,0,0,0,NA,0,5,5,2,0,0,1,0,2,2.9,0,10.8
32,23,"2016-01-03","35-001","CHI","@","TOR",2,1,"20:48",3,4,0.75,2,3,0.667,0,0,NA,1,1,2,4,1,0,0,2,8,10.4,-3,19.5
33,24,"2016-01-05","35-003","CHI","","MIL",11,0,"13:28",1,2,0.5,0,1,0,0,0,NA,0,1,1,4,0,0,1,1,2,2.7,-4,8.8
34,25,"2016-01-07","35-005","CHI","","BOS",9,0,"13:33",1,3,0.333,1,2,0.5,0,0,NA,0,1,1,1,0,0,1,2,3,0.5,3,5.8
37,26,"2016-01-12","35-010","CHI","@","MIL",-5,0,"11:52",0,2,0,0,1,0,0,0,NA,0,3,3,1,0,0,0,1,0,-0.2,-8,5.3
38,27,"2016-01-14","35-012","CHI","@","PHI",4,1,"32:18",2,4,0.5,1,3,0.333,0,0,NA,0,4,4,1,1,0,1,1,5,4.5,14,13.5
39,28,"2016-01-15","35-013","CHI","","DAL",-6,0,"7:30",1,3,0.333,0,2,0,5,5,1,1,1,2,0,1,0,0,1,7,6.9,-9,11.5
46,29,"2016-01-31","35-029","CHI","@","LAC",-27,0,"10:53",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,3,0,-2.3,-8,1.3
47,30,"2016-02-01","35-030","CHI","@","UTA",-9,0,"15:20",1,3,0.333,0,1,0,0,0,NA,1,2,3,0,0,0,1,2,2,-0.2,5,5.3
48,31,"2016-02-03","35-032","CHI","@","SAC",5,0,"18:55",1,2,0.5,1,1,1,0,0,NA,1,3,4,5,0,0,0,3,3,5.9,-5,16
49,32,"2016-02-05","35-034","CHI","@","DEN",-5,0,"16:20",0,3,0,0,1,0,0,0,NA,1,3,4,0,0,0,2,2,0,-3.3,-17,4
50,33,"2016-02-06","35-035","CHI","@","MIN",-7,0,"16:56",3,6,0.5,2,3,0.667,0,0,NA,0,3,3,3,0,0,0,0,8,8,6,17.3
51,34,"2016-02-08","35-037","CHI","@","CHO",-17,1,"25:32",1,8,0.125,1,5,0.2,0,0,NA,0,2,2,5,1,0,2,3,3,-0.3,-15,14.5
52,35,"2016-02-10","35-039","CHI","","ATL",-23,0,"10:26",1,1,1,0,0,NA,0,0,NA,0,0,0,2,0,0,1,1,2,1.7,-7,4.5
56,36,"2016-02-26","35-055","ATL","","CHI",15,0,"2:29",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
59,37,"2016-03-04","35-062","ATL","@","LAL",29,0,"3:10",1,1,1,0,0,NA,0,0,NA,0,0,0,3,1,0,0,0,2,4.8,6,8.5
63,38,"2016-03-12","35-070","ATL","","MEM",12,0,"15:23",0,4,0,0,2,0,0,0,NA,1,2,3,3,1,0,0,0,0,1.6,15,10.3
64,39,"2016-03-13","35-071","ATL","","IND",29,0,"12:00",0,2,0,0,1,0,0,0,NA,0,3,3,2,0,0,2,1,0,-1.5,-4,5.8
66,40,"2016-03-17","35-075","ATL","","DEN",18,0,"14:38",0,0,NA,0,0,NA,0,0,NA,0,2,2,1,0,1,1,0,0,1,-12,5.5
67,41,"2016-03-19","35-077","ATL","","HOU",12,0,"1:20",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,1,0
69,42,"2016-03-23","35-081","ATL","@","WAS",21,0,"2:19",0,0,NA,0,0,NA,0,0,NA,0,1,1,2,0,0,0,0,0,1.7,0,4.3
73,43,"2016-03-30","35-088","ATL","@","TOR",-8,0,"11:48",1,1,1,1,1,1,0,0,NA,0,2,2,2,0,0,0,0,3,4.7,15,9
76,44,"2016-04-07","35-096","ATL","","TOR",8,0,"4:45",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,2,0
78,45,"2016-04-11","35-100","ATL","@","CLE",-15,0,"5:05",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,1,0,2.8
79,46,"2016-04-13","35-102","ATL","@","WAS",-11,0,"3:01",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,3,0
