"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-28","25-138","NOP","@","POR",-18,1,"21:07",5,14,0.357,1,4,0.25,1,1,1,0,1,1,3,0,0,2,2,12,3.8,-13,17.3
3,2,"2015-10-31","25-141","NOP","","GSW",-14,1,"26:45",8,19,0.421,1,4,0.25,5,5,1,0,2,2,6,0,0,4,4,22,11.1,-11,32
4,3,"2015-11-03","25-144","NOP","","ORL",-9,1,"23:24",4,13,0.308,2,3,0.667,4,6,0.667,0,2,2,4,2,1,3,0,14,8.8,8,28
5,4,"2015-11-06","25-147","NOP","","ATL",-6,1,"23:00",1,2,0.5,1,2,0.5,1,2,0.5,0,1,1,8,1,0,7,0,4,2.5,0,16.3
7,5,"2015-11-10","25-151","NOP","","DAL",15,1,"15:29",4,5,0.8,2,2,1,0,0,NA,0,1,1,3,2,0,1,2,10,10.7,10,20.3
9,6,"2015-11-13","25-154","NOP","@","TOR",-19,1,"21:11",8,14,0.571,2,4,0.5,1,2,0.5,0,0,0,3,2,0,2,1,19,13.7,-15,27.5
10,7,"2015-11-15","25-156","NOP","@","NYK",-8,1,"24:46",2,8,0.25,0,1,0,3,4,0.75,0,3,3,4,1,0,3,3,7,2.3,-9,17.3
11,8,"2015-11-17","25-158","NOP","","DEN",-17,1,"22:42",4,13,0.308,0,4,0,2,2,1,0,1,1,7,0,1,1,1,10,7,-20,23.3
13,9,"2015-11-20","25-161","NOP","","SAS",14,1,"23:52",3,10,0.3,0,2,0,3,3,1,0,3,3,7,0,1,1,4,9,7.1,6,24.8
14,10,"2015-11-22","25-163","NOP","","PHO",6,1,"22:57",3,6,0.5,0,0,NA,2,4,0.5,0,0,0,4,0,0,1,6,8,3.6,-7,13.5
15,11,"2015-11-25","25-166","NOP","@","PHO",6,1,"25:01",6,15,0.4,1,4,0.25,6,6,1,0,2,2,5,0,1,2,4,19,12.1,8,30.5
16,12,"2015-11-27","25-168","NOP","@","LAC",-21,1,"13:00",3,6,0.5,0,2,0,1,2,0.5,0,2,2,3,0,0,2,4,7,2.7,-4,13
17,13,"2015-11-28","25-169","NOP","@","UTA",-14,1,"14:22",0,4,0,0,1,0,2,2,1,0,2,2,2,0,0,4,1,2,-3.2,-6,5.5
18,14,"2015-12-01","25-172","NOP","","MEM",-9,1,"25:58",4,7,0.571,2,4,0.5,2,2,1,0,1,1,4,1,0,2,1,12,10.4,6,21.3
20,15,"2015-12-04","25-175","NOP","","CLE",6,0,"25:01",5,10,0.5,1,2,0.5,2,3,0.667,2,5,7,5,2,0,2,3,13,12.8,11,32.8
21,16,"2015-12-07","25-178","NOP","","BOS",-18,0,"22:13",4,9,0.444,1,2,0.5,5,5,1,0,2,2,6,1,1,1,1,14,14.4,-4,29.5
22,17,"2015-12-11","25-182","NOP","","WAS",2,0,"26:44",6,10,0.6,5,7,0.714,2,2,1,0,0,0,6,3,0,4,3,19,16.4,3,34.5
24,18,"2015-12-14","25-185","NOP","@","POR",-4,0,"28:41",7,14,0.5,3,6,0.5,2,2,1,0,5,5,2,2,1,2,3,19,14.4,17,34.8
25,19,"2015-12-16","25-187","NOP","@","UTA",10,0,"23:33",6,10,0.6,2,3,0.667,1,1,1,2,1,3,4,2,1,0,2,15,16.8,11,31.8
26,20,"2015-12-18","25-189","NOP","@","PHO",-16,0,"26:50",4,13,0.308,1,6,0.167,5,8,0.625,0,2,2,4,0,0,2,2,14,5.9,-18,22
27,21,"2015-12-20","25-191","NOP","@","DEN",5,0,"24:44",7,13,0.538,2,5,0.4,5,8,0.625,0,3,3,5,2,1,1,3,21,18.4,-11,38.8
28,22,"2015-12-23","25-194","NOP","","POR",26,0,"20:52",7,13,0.538,3,5,0.6,2,2,1,0,2,2,5,0,0,0,1,19,16.4,7,30.5
29,23,"2015-12-25","25-196","NOP","@","MIA",-6,0,"26:47",4,9,0.444,1,3,0.333,0,0,NA,0,3,3,2,0,0,2,2,9,3.8,-2,15.3
30,24,"2015-12-26","25-197","NOP","","HOU",2,0,"27:11",3,7,0.429,1,2,0.5,2,3,0.667,0,2,2,3,1,1,2,3,9,6.1,6,19.5
31,25,"2015-12-28","25-199","NOP","@","ORL",-15,0,"25:48",4,10,0.4,1,2,0.5,2,2,1,0,2,2,4,1,1,1,0,11,9.7,5,23.5
32,26,"2015-12-31","25-202","NOP","","LAC",-6,0,"27:54",4,8,0.5,1,2,0.5,2,2,1,1,1,2,6,1,0,5,5,11,6.2,-1,22.5
33,27,"2016-01-02","25-204","NOP","@","DAL",7,0,"30:01",8,14,0.571,2,6,0.333,2,4,0.5,0,3,3,5,2,1,3,1,20,16.3,1,36.8
34,28,"2016-01-06","25-208","NOP","","DAL",-9,0,"29:20",5,13,0.385,1,3,0.333,0,0,NA,1,5,6,6,1,0,2,5,11,7.3,-16,29
35,29,"2016-01-08","25-210","NOP","","IND",-5,0,"35:15",5,12,0.417,1,2,0.5,4,6,0.667,0,0,0,4,4,2,3,2,15,12.2,-4,32
36,30,"2016-01-10","25-212","NOP","@","LAC",-3,0,"36:14",11,27,0.407,1,4,0.25,6,8,0.75,3,8,11,4,3,0,3,3,29,19.8,-4,55.3
37,31,"2016-01-12","25-214","NOP","@","LAL",-4,0,"26:19",7,18,0.389,0,4,0,0,0,NA,0,5,5,4,0,0,0,1,14,8.1,-5,26.3
38,32,"2016-01-13","25-215","NOP","@","SAC",12,0,"27:26",2,12,0.167,0,4,0,2,2,1,0,3,3,10,1,0,1,4,6,4.7,8,26.3
39,33,"2016-01-15","25-217","NOP","","CHO",2,0,"27:24",6,14,0.429,1,3,0.333,0,0,NA,1,5,6,10,0,0,2,2,13,12,6,36.5
40,34,"2016-01-18","25-220","NOP","@","MEM",-2,0,"28:57",9,13,0.692,1,2,0.5,4,4,1,0,2,2,9,0,0,3,2,23,20.6,4,38
41,35,"2016-01-19","25-221","NOP","","MIN",15,0,"27:05",7,14,0.5,2,3,0.667,3,4,0.75,1,1,2,9,1,0,1,0,19,18.9,17,37.5
42,36,"2016-01-21","25-223","NOP","","DET",16,0,"22:29",3,11,0.273,0,1,0,0,0,NA,0,2,2,4,1,0,1,0,6,2.9,6,16
43,37,"2016-01-23","25-225","NOP","","MIL",17,0,"24:52",6,11,0.545,1,2,0.5,0,0,NA,0,4,4,9,3,0,2,3,13,15,32,37
44,38,"2016-01-25","25-227","NOP","","HOU",-1,0,"36:09",13,21,0.619,2,5,0.4,4,5,0.8,1,5,6,9,3,0,4,2,32,28.8,16,58
45,39,"2016-01-28","25-230","NOP","","SAC",9,0,"33:47",8,24,0.333,1,4,0.25,8,8,1,3,2,5,8,0,0,0,3,25,18.5,10,43.8
46,40,"2016-01-30","25-232","NOP","","BRK",2,0,"23:30",10,19,0.526,3,7,0.429,3,3,1,0,0,0,7,0,0,3,3,26,17.4,3,36.5
47,41,"2016-02-01","25-234","NOP","","MEM",-15,0,"27:09",1,14,0.071,0,4,0,2,4,0.5,0,1,1,4,0,2,2,2,4,-4.5,-12,14.3
48,42,"2016-02-03","25-236","NOP","@","SAS",-13,0,"30:09",8,18,0.444,0,4,0,4,4,1,2,2,4,5,2,0,3,3,20,13.9,-19,35
49,43,"2016-02-04","25-237","NOP","","LAL",-3,0,"34:00",9,20,0.45,1,6,0.167,0,0,NA,0,0,0,9,1,1,2,1,19,14.2,13,36
50,44,"2016-02-06","25-239","NOP","@","CLE",-15,0,"28:25",5,18,0.278,1,4,0.25,1,2,0.5,2,3,5,4,2,0,0,1,12,7.7,-15,28.8
51,45,"2016-02-08","25-241","NOP","@","MIN",14,0,"27:56",11,23,0.478,3,7,0.429,2,2,1,1,5,6,9,3,0,1,0,27,25.8,26,55
52,46,"2016-02-10","25-243","NOP","","UTA",4,0,"30:59",9,19,0.474,0,3,0,3,4,0.75,2,4,6,9,2,1,5,3,21,16.3,13,45.5
53,47,"2016-02-11","25-244","NOP","@","OKC",-26,0,"31:31",11,20,0.55,1,4,0.25,0,0,NA,0,4,4,6,5,0,4,1,23,19.4,-17,45.5
54,48,"2016-02-19","25-252","NOP","","PHI",7,0,"33:25",8,17,0.471,1,4,0.25,7,8,0.875,0,3,3,12,4,0,4,1,24,23.8,22,53.8
55,49,"2016-02-21","25-254","NOP","@","DET",5,0,"32:18",6,14,0.429,0,4,0,8,9,0.889,2,5,7,9,0,0,5,3,20,15.2,4,39.8
56,50,"2016-02-23","25-256","NOP","@","WAS",-20,0,"31:59",7,21,0.333,0,5,0,6,7,0.857,0,4,4,7,0,0,3,3,20,9.6,1,34
57,51,"2016-02-25","25-258","NOP","","OKC",4,0,"25:45",8,12,0.667,2,3,0.667,4,4,1,0,1,1,9,1,0,4,5,22,18.4,8,37.8
58,52,"2016-02-27","25-260","NOP","","MIN",-2,0,"35:30",8,13,0.615,1,3,0.333,3,3,1,0,2,2,8,2,1,6,1,20,16.6,4,38
59,53,"2016-03-02","25-264","NOP","@","HOU",-5,0,"29:44",5,13,0.385,1,7,0.143,2,2,1,0,3,3,8,1,0,5,3,13,7.2,-4,28.8
60,54,"2016-03-03","25-265","NOP","","SAS",-8,0,"27:50",5,17,0.294,1,4,0.25,2,2,1,1,2,3,7,2,0,1,0,13,10.3,-6,31.3
61,55,"2016-03-05","25-267","NOP","","UTA",-12,0,"37:29",9,22,0.409,3,7,0.429,1,1,1,0,2,2,7,2,0,3,4,22,13.1,-8,39
62,56,"2016-03-07","25-269","NOP","","SAC",3,1,"35:39",9,18,0.5,1,5,0.2,1,1,1,0,4,4,10,4,1,3,2,20,20.1,-4,50.5
63,57,"2016-03-09","25-271","NOP","@","CHO",-9,1,"37:58",13,23,0.565,5,9,0.556,7,7,1,0,4,4,6,0,0,4,3,38,27.3,-4,52.5
64,58,"2016-03-11","25-273","NOP","@","MEM",-7,1,"40:31",12,27,0.444,2,7,0.286,8,10,0.8,0,5,5,10,0,1,7,4,34,19.7,3,56.3
65,59,"2016-03-12","25-274","NOP","@","MIL",-11,0,"29:14",4,13,0.308,0,6,0,0,0,NA,0,3,3,4,1,1,7,3,8,-2.3,2,18.3
66,60,"2016-03-14","25-276","NOP","@","GSW",-18,1,"28:08",5,16,0.313,1,5,0.2,2,2,1,0,4,4,4,2,0,1,1,13,8.4,-28,28
67,61,"2016-03-16","25-278","NOP","@","SAC",15,1,"28:20",7,14,0.5,1,3,0.333,2,2,1,0,0,0,4,0,0,3,1,17,9.4,6,22
68,62,"2016-03-18","25-280","NOP","","POR",-5,1,"38:22",11,19,0.579,4,4,1,4,4,1,0,2,2,6,2,0,1,5,30,24.9,3,47
69,63,"2016-03-20","25-282","NOP","","LAC",4,1,"39:15",7,17,0.412,3,6,0.5,5,6,0.833,1,1,2,8,1,1,5,4,22,14.2,1,39.5
70,64,"2016-03-22","25-284","NOP","","MIA",-14,1,"36:24",7,23,0.304,3,8,0.375,7,7,1,0,5,5,7,4,0,1,2,24,19.3,-17,49.8
73,65,"2016-03-28","25-290","NOP","","NYK",8,1,"34:12",9,19,0.474,2,5,0.4,2,2,1,1,5,6,6,4,0,2,0,22,20.7,4,46.5
