"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-29","26-207","ATL","@","NYK",11,0,"12:56",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,2,0.6,-9,2
5,2,"2015-11-03","26-212","ATL","@","MIA",6,0,"12:49",3,7,0.429,1,5,0.2,0,0,NA,0,2,2,1,1,0,1,1,7,4.2,4,13
6,3,"2015-11-04","26-213","ATL","","BRK",14,0,"29:06",3,9,0.333,0,2,0,0,0,NA,0,1,1,2,1,4,1,1,6,5,17,19.8
7,4,"2015-11-06","26-215","ATL","@","NOP",6,0,"14:55",2,3,0.667,0,0,NA,0,0,NA,0,2,2,1,0,0,1,2,4,2.2,-1,7.5
8,5,"2015-11-07","26-216","ATL","","WAS",15,0,"16:41",2,6,0.333,2,5,0.4,0,0,NA,2,1,3,1,1,0,0,1,6,5.6,3,14.3
9,6,"2015-11-09","26-218","ATL","","MIN",-10,0,"5:38",0,1,0,0,1,0,0,0,NA,0,0,0,1,1,0,1,2,0,-0.8,-11,3
10,7,"2015-11-11","26-220","ATL","","NOP",8,0,"4:16",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,-1,1.3
11,8,"2015-11-13","26-222","ATL","@","BOS",-13,0,"14:13",2,4,0.5,1,3,0.333,0,0,NA,0,1,1,1,0,0,1,1,5,2.6,3,7.8
12,9,"2015-11-15","26-224","ATL","","UTA",-1,0,"10:28",0,1,0,0,1,0,0,0,NA,0,0,0,1,1,0,0,1,0,0.6,-7,3.5
13,10,"2015-11-17","26-226","ATL","@","BRK",-2,0,"22:49",1,2,0.5,1,2,0.5,0,0,NA,0,4,4,0,2,0,2,1,3,2.8,-2,11.5
14,11,"2015-11-18","26-227","ATL","","SAC",6,1,"17:38",2,7,0.286,2,5,0.4,0,0,NA,1,2,3,1,1,0,2,0,6,2.9,-7,13.3
15,12,"2015-11-21","26-230","ATL","@","CLE",-12,0,"15:54",3,8,0.375,2,4,0.5,1,2,0.5,0,1,1,0,0,0,0,1,9,4.1,0,11.3
16,13,"2015-11-24","26-233","ATL","","BOS",24,0,"2:51",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-1,0
19,14,"2015-11-28","26-237","ATL","@","SAS",-20,0,"8:16",2,3,0.667,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,0,5,4,6,6.8
