"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","20-298","BRK","","CHI",-15,0,"24:15",4,6,0.667,0,0,NA,0,0,NA,0,5,5,0,2,1,1,0,8,8.6,16,19.8
2,2,"2015-10-30","20-300","BRK","@","SAS",-27,0,"26:09",5,7,0.714,0,0,NA,0,0,NA,0,4,4,0,0,2,3,1,10,6.3,0,17.5
3,3,"2015-10-31","20-301","BRK","@","MEM",-10,0,"12:56",0,2,0,0,0,NA,0,0,NA,1,2,3,1,0,0,0,2,0,-0.2,-8,5.3
4,4,"2015-11-02","20-303","BRK","","MIL",-7,0,"4:25",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-1,0
5,5,"2015-11-04","20-305","BRK","@","ATL",-14,0,"11:25",0,2,0,0,0,NA,0,0,NA,0,3,3,1,3,0,0,0,0,3.2,13,11.3
6,6,"2015-11-06","20-307","BRK","","LAL",-6,1,"25:22",2,3,0.667,0,0,NA,1,4,0.25,4,7,11,3,1,0,2,5,5,6.5,5,24.3
7,7,"2015-11-07","20-308","BRK","@","MIL",-8,1,"23:30",0,2,0,0,0,NA,2,4,0.5,4,3,7,5,3,0,0,2,2,9.2,-10,24.3
8,8,"2015-11-11","20-312","BRK","@","HOU",8,1,"12:10",0,2,0,0,0,NA,0,0,NA,2,2,4,1,1,1,3,1,0,-0.4,-1,9
9,9,"2015-11-13","20-314","BRK","@","SAC",-2,1,"16:48",2,3,0.667,0,0,NA,0,0,NA,1,6,7,1,0,0,1,3,4,3.7,-2,13.8
10,10,"2015-11-14","20-315","BRK","@","GSW",-8,1,"31:54",3,6,0.5,0,1,0,1,2,0.5,4,9,13,2,2,1,1,1,7,11.8,4,31.8
11,11,"2015-11-17","20-318","BRK","","ATL",2,1,"23:13",3,5,0.6,0,0,NA,1,2,0.5,1,1,2,2,1,0,1,1,7,6.3,5,14
12,12,"2015-11-18","20-319","BRK","@","CHO",-5,1,"24:34",2,4,0.5,0,0,NA,1,2,0.5,0,2,2,1,1,0,1,4,5,2.3,-8,10.5
13,13,"2015-11-20","20-321","BRK","@","BOS",-25,1,"31:23",5,12,0.417,1,4,0.25,2,3,0.667,4,7,11,2,3,0,5,2,13,9.7,-15,35.3
14,14,"2015-11-22","20-323","BRK","","BOS",10,1,"30:37",2,3,0.667,0,0,NA,5,6,0.833,3,4,7,4,5,1,1,5,9,16.1,4,35.3
15,15,"2015-11-25","20-326","BRK","@","OKC",-11,1,"28:23",4,7,0.571,0,0,NA,3,3,1,2,9,11,1,0,0,0,3,11,11.3,-3,27.8
16,16,"2015-11-28","20-329","BRK","@","CLE",-2,1,"29:45",2,4,0.5,0,0,NA,2,2,1,3,7,10,1,5,1,0,3,6,13.4,-4,32
17,17,"2015-11-29","20-330","BRK","","DET",4,1,"21:20",0,4,0,0,0,NA,2,2,1,1,3,4,0,0,1,0,1,2,1.1,-11,9
18,18,"2015-12-01","20-332","BRK","","PHO",3,1,"22:46",4,5,0.8,0,0,NA,0,0,NA,2,7,9,1,0,0,2,5,8,6.3,-6,19.8
19,19,"2015-12-04","20-335","BRK","@","NYK",-17,1,"17:46",1,4,0.25,0,0,NA,0,0,NA,0,3,3,1,0,0,0,2,2,0.4,-23,7.3
70,20,"2016-03-22","21-079","BRK","","CHO",-5,0,"15:24",2,4,0.5,0,1,0,1,2,0.5,0,3,3,2,1,0,1,3,5,3.7,8,13.3
71,21,"2016-03-24","21-081","BRK","","CLE",9,0,"16:31",5,8,0.625,0,0,NA,0,0,NA,1,6,7,2,3,0,0,1,10,12.9,4,27.8
72,22,"2016-03-26","21-083","BRK","","IND",10,0,"16:05",2,3,0.667,0,0,NA,2,2,1,1,2,3,1,1,0,1,2,6,5.9,-15,12.8
73,23,"2016-03-28","21-085","BRK","@","MIA",-11,0,"20:14",0,1,0,0,0,NA,2,2,1,0,3,3,3,1,0,1,3,2,3.1,-2,11.8
76,24,"2016-04-01","21-089","BRK","@","NYK",-14,1,"14:45",0,5,0,0,1,0,1,2,0.5,1,1,2,1,1,0,0,1,1,-0.6,-11,7
77,25,"2016-04-03","21-091","BRK","","NOP",-19,1,"19:00",2,6,0.333,1,2,0.5,3,4,0.75,1,1,2,0,1,2,1,1,8,6.2,12,16.5
78,26,"2016-04-06","21-094","BRK","@","WAS",-18,1,"23:55",2,7,0.286,1,2,0.5,2,2,1,1,2,3,3,1,0,0,3,7,6.1,-5,17.8
79,27,"2016-04-08","21-096","BRK","@","CHO",-14,0,"23:29",3,8,0.375,1,3,0.333,0,0,NA,0,6,6,1,0,1,0,2,7,5,-9,18.5
81,28,"2016-04-11","21-099","BRK","","WAS",-9,0,"23:12",5,10,0.5,0,0,NA,4,4,1,2,4,6,2,2,3,0,2,14,16.3,5,34.5
82,29,"2016-04-13","21-101","BRK","","TOR",-7,0,"24:12",3,5,0.6,0,0,NA,2,4,0.5,0,3,3,1,1,2,1,1,8,7.5,-4,18.8
