"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-12-02","31-053","WAS","","LAL",-4,0,"10:50",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,1,1,0,-0.7,-6,0.8
3,2,"2015-12-04","31-055","WAS","","PHO",3,1,"12:49",1,1,1,0,0,NA,0,0,NA,2,2,4,0,0,0,2,2,2,0.9,-1,6
4,3,"2015-12-06","31-057","WAS","","DAL",-12,1,"4:34",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-1.1,0,1.3
5,4,"2015-12-07","31-058","WAS","@","MIA",11,1,"14:25",2,3,0.667,0,0,NA,0,0,NA,4,1,5,0,0,1,0,1,4,6.1,-1,12.3
7,5,"2015-12-11","31-062","WAS","@","NOP",-2,0,"5:13",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-10,2
13,6,"2015-12-29","31-080","MEM","","MIA",9,0,"8:42",0,0,NA,0,0,NA,0,0,NA,1,0,1,1,1,1,1,4,0,0.5,-6,NA
14,7,"2016-01-02","31-084","MEM","@","UTA",-5,0,"6:00",0,1,0,0,0,NA,0,0,NA,2,0,2,0,0,1,0,0,0,1.4,-10,4.5
15,8,"2016-01-04","31-086","MEM","@","POR",13,0,"1:04",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,1.3
16,9,"2016-01-06","31-088","MEM","@","OKC",-18,0,"12:02",3,3,1,0,0,NA,1,1,1,1,2,3,1,0,2,0,1,7,9.1,-9,16.3
17,10,"2016-01-21","31-103","MEM","@","DEN",1,0,"12:46",2,3,0.667,0,0,NA,0,0,NA,0,4,4,0,0,1,0,3,4,3.4,-12,NA
18,11,"2016-01-23","31-105","MEM","@","MIN",-5,0,"19:44",2,4,0.5,0,0,NA,1,2,0.5,2,0,2,1,1,0,2,3,5,2.5,-2,10
19,12,"2016-01-25","31-107","MEM","","ORL",6,0,"7:04",2,3,0.667,0,0,NA,0,0,NA,1,2,3,0,0,0,0,0,4,4,4,7.8
20,13,"2016-01-28","31-110","MEM","","MIL",20,0,"17:50",2,4,0.5,0,0,NA,1,2,0.5,2,2,4,1,0,1,0,4,5,4.4,2,13.5
21,14,"2016-01-30","31-112","MEM","","SAC",4,0,"9:55",0,0,NA,0,0,NA,3,4,0.75,0,3,3,0,0,2,1,3,3,2.7,-6,10.3
22,15,"2016-02-01","31-114","MEM","@","NOP",15,0,"5:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,-9,0
23,16,"2016-02-05","31-118","MEM","@","NYK",6,0,"16:31",2,2,1,0,0,NA,4,4,1,1,1,2,1,0,1,1,1,8,8.4,2,13.5
24,17,"2016-02-06","31-119","MEM","","DAL",-4,0,"8:56",1,1,1,0,0,NA,2,2,1,0,2,2,0,0,0,0,2,4,3.5,-5,6.5
25,18,"2016-02-08","31-121","MEM","","POR",-6,0,"5:43",0,1,0,0,0,NA,0,0,NA,0,2,2,1,0,0,0,1,0,0.2,2,4
26,19,"2016-02-10","31-123","MEM","@","BRK",19,0,"25:22",3,6,0.5,0,0,NA,0,0,NA,3,1,4,1,0,0,2,4,6,2.5,-1,11.5
27,20,"2016-03-02","31-144","MEM","","SAC",6,0,"1:53",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-1.4,1,NA
28,21,"2016-03-04","31-146","MEM","","UTA",6,0,"10:58",0,0,NA,0,0,NA,2,2,1,1,0,1,0,0,1,1,1,2,2,14,4.8
29,22,"2016-03-06","31-148","MEM","","PHO",-9,0,"12:16",0,3,0,0,0,NA,2,4,0.5,2,0,2,0,0,1,0,3,2,0,-19,6.5
30,23,"2016-03-07","31-149","MEM","@","CLE",3,1,"21:55",2,2,1,0,0,NA,0,0,NA,0,2,2,0,0,1,1,5,4,1.7,-12,8
31,24,"2016-03-09","31-151","MEM","@","BOS",-20,1,"24:34",3,5,0.6,0,0,NA,1,2,0.5,2,4,6,0,0,0,1,0,7,5.9,-14,14
32,25,"2016-03-11","31-153","MEM","","NOP",7,1,"12:34",2,3,0.667,0,0,NA,0,2,0,1,1,2,0,0,3,2,2,4,2.2,-9,11.5
33,26,"2016-03-12","31-154","MEM","@","ATL",-12,1,"19:51",1,2,0.5,0,0,NA,0,0,NA,1,3,4,1,0,0,2,1,2,0.9,0,7.5
34,27,"2016-03-14","31-156","MEM","@","HOU",-49,1,"25:56",4,7,0.571,0,0,NA,2,4,0.5,4,4,8,0,0,0,1,3,10,7.7,-35,19.5
