"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-008","UTA","@","DET",-5,1,"29:25",6,15,0.4,0,7,0,0,0,NA,1,3,4,6,0,0,1,5,12,6.7,7,25.5
2,2,"2015-10-30","23-010","UTA","@","PHI",28,1,"22:37",6,14,0.429,3,6,0.5,2,2,1,0,0,0,1,0,0,1,3,17,8.1,15,19.5
3,3,"2015-10-31","23-011","UTA","@","IND",21,1,"28:43",8,13,0.615,1,3,0.333,0,0,NA,1,4,5,1,4,0,3,4,17,13.1,12,31.8
4,4,"2015-11-04","23-015","UTA","","POR",-16,1,"23:09",4,10,0.4,0,3,0,2,2,1,1,1,2,4,1,0,0,4,10,7.8,-16,20.5
5,5,"2015-11-05","23-016","UTA","@","DEN",12,1,"22:47",3,7,0.429,2,5,0.4,0,0,NA,0,1,1,4,0,1,1,4,8,5.5,-2,17.8
6,6,"2015-11-07","23-018","UTA","","MEM",10,1,"30:54",2,5,0.4,1,3,0.333,2,2,1,0,2,2,2,1,3,3,3,7,5.2,4,19.5
7,7,"2015-11-10","23-021","UTA","@","CLE",-4,1,"29:43",4,10,0.4,2,7,0.286,6,6,1,0,3,3,2,2,0,2,6,16,10.5,-10,26.8
8,8,"2015-11-12","23-023","UTA","@","MIA",-1,1,"38:26",4,14,0.286,1,5,0.2,1,2,0.5,0,1,1,3,2,0,1,3,10,3.6,2,19.8
10,9,"2015-11-15","23-026","UTA","@","ATL",1,1,"36:46",8,17,0.471,4,9,0.444,0,0,NA,0,0,0,3,1,0,1,3,20,12.2,-4,28
11,10,"2015-11-18","23-029","UTA","","TOR",4,1,"34:35",5,10,0.5,2,4,0.5,4,4,1,1,5,6,4,1,0,4,2,16,12.2,12,30.5
12,11,"2015-11-20","23-031","UTA","@","DAL",-9,1,"36:03",5,14,0.357,0,4,0,3,4,0.75,1,0,1,4,1,0,3,3,13,5.1,-18,20.8
13,12,"2015-11-23","23-034","UTA","","OKC",-22,1,"20:26",3,6,0.5,0,2,0,3,5,0.6,0,2,2,1,3,0,2,2,9,6.7,-2,18
14,13,"2015-11-25","23-036","UTA","@","LAC",11,1,"30:36",4,6,0.667,0,0,NA,5,6,0.833,0,4,4,5,0,0,2,4,13,11.1,6,24.5
15,14,"2015-11-28","23-039","UTA","","NOP",14,1,"33:30",5,15,0.333,2,5,0.4,4,4,1,1,1,2,4,2,0,1,3,16,11.1,4,29
16,15,"2015-11-30","23-041","UTA","","GSW",-3,1,"34:20",4,12,0.333,2,7,0.286,2,2,1,0,0,0,3,1,0,1,2,12,6.5,4,19
17,16,"2015-12-03","23-044","UTA","","ORL",-9,1,"24:50",1,8,0.125,1,5,0.2,0,0,NA,1,3,4,1,0,1,2,3,3,-2.4,-9,11
18,17,"2015-12-05","23-046","UTA","","IND",3,1,"20:43",2,5,0.4,0,1,0,2,2,1,0,4,4,2,0,0,0,6,6,3.5,13,14
19,18,"2015-12-08","23-049","UTA","@","SAC",-8,1,"33:56",6,12,0.5,5,8,0.625,0,0,NA,0,2,2,3,1,0,2,2,17,11.9,-15,27.5
20,19,"2015-12-09","23-050","UTA","","NYK",21,1,"29:03",2,7,0.286,0,4,0,1,1,1,2,2,4,3,1,0,2,4,5,2.4,18,15.5
21,20,"2015-12-11","23-052","UTA","","OKC",-4,1,"33:15",4,12,0.333,1,6,0.167,0,0,NA,0,5,5,1,0,0,2,2,9,1.6,-6,16.3
22,21,"2015-12-13","23-054","UTA","@","OKC",-6,1,"37:36",8,17,0.471,4,9,0.444,3,4,0.75,1,2,3,1,1,0,3,1,23,13.5,-4,30.8
23,22,"2015-12-14","23-055","UTA","@","SAS",-37,1,"23:13",2,8,0.25,0,2,0,0,0,NA,0,2,2,2,0,0,2,1,4,-1.2,-34,8.5
24,23,"2015-12-16","23-057","UTA","","NOP",-10,1,"20:40",4,5,0.8,1,1,1,0,0,NA,0,2,2,0,0,0,1,5,9,4.7,-20,11.5
