"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","31-272","GSW","","NOP",16,0,"23:23",1,3,0.333,0,1,0,0,0,NA,1,4,5,3,1,0,1,2,2,3.5,1,14.3
2,2,"2015-10-30","31-275","GSW","@","HOU",20,0,"29:47",5,9,0.556,2,5,0.4,0,0,NA,3,3,6,4,2,0,0,0,12,15.5,23,30.5
3,3,"2015-10-31","31-276","GSW","@","NOP",14,0,"29:30",3,6,0.5,1,2,0.5,1,2,0.5,1,6,7,3,1,0,0,3,8,9,9,23.8
4,4,"2015-11-02","31-278","GSW","","MEM",50,0,"21:30",3,8,0.375,0,3,0,0,0,NA,1,2,3,4,2,1,2,0,6,6.4,24,20.8
5,5,"2015-11-04","31-280","GSW","","LAC",4,0,"31:41",2,7,0.286,0,4,0,2,4,0.5,1,4,5,5,1,0,1,3,6,5.3,9,21.3
6,6,"2015-11-06","31-282","GSW","","DEN",15,0,"23:07",1,3,0.333,0,1,0,0,0,NA,0,2,2,7,2,1,0,2,2,7.7,13,21
7,7,"2015-11-07","31-283","GSW","@","SAC",9,0,"33:40",6,8,0.75,2,3,0.667,0,0,NA,2,4,6,4,4,0,1,0,14,19.2,23,36
8,8,"2015-11-09","31-285","GSW","","DET",14,0,"29:24",5,11,0.455,1,1,1,2,3,0.667,1,4,5,2,1,0,2,2,13,8.4,7,23.8
9,9,"2015-11-11","31-287","GSW","@","MEM",16,0,"26:45",6,9,0.667,4,5,0.8,4,6,0.667,1,0,1,0,0,0,1,3,20,13.8,9,22.8
10,10,"2015-11-12","31-288","GSW","@","MIN",13,0,"29:37",1,6,0.167,1,3,0.333,0,0,NA,0,4,4,6,1,0,0,3,3,4.4,-5,19.5
11,11,"2015-11-14","31-290","GSW","","BRK",8,0,"37:53",6,12,0.5,3,6,0.5,0,0,NA,1,5,6,6,2,0,3,2,15,13.6,11,35.5
12,12,"2015-11-17","31-293","GSW","","TOR",5,0,"32:00",3,3,1,1,1,1,0,1,0,3,0,3,7,0,0,1,4,7,10.1,4,21.3
13,13,"2015-11-19","31-295","GSW","@","LAC",7,0,"30:52",3,4,0.75,2,2,1,0,0,NA,1,3,4,7,0,0,3,0,8,9.9,12,23
14,14,"2015-11-20","31-296","GSW","","CHI",12,0,"28:36",5,9,0.556,1,3,0.333,1,2,0.5,0,5,5,1,1,0,1,1,12,9.1,24,21.8
15,15,"2015-11-22","31-298","GSW","@","DEN",13,0,"26:32",5,6,0.833,2,3,0.667,0,0,NA,0,3,3,4,4,1,1,4,12,15.6,19,32.3
16,16,"2015-11-24","31-300","GSW","","LAL",34,0,"21:59",3,4,0.75,0,1,0,0,0,NA,1,8,9,4,1,0,0,0,6,11.3,25,25.3
17,17,"2015-11-27","31-303","GSW","@","PHO",19,0,"23:18",4,6,0.667,1,2,0.5,0,0,NA,2,3,5,2,0,0,2,0,9,8.1,10,17.8
18,18,"2015-11-28","31-304","GSW","","SAC",19,0,"22:05",3,4,0.75,3,4,0.75,0,0,NA,1,2,3,1,0,1,3,2,9,6.3,16,16.3
19,19,"2015-11-30","31-306","GSW","@","UTA",3,0,"26:31",0,0,NA,0,0,NA,0,0,NA,0,2,2,2,0,1,1,2,0,0.9,-2,7
20,20,"2015-12-02","31-308","GSW","@","CHO",17,0,"19:06",3,6,0.5,2,4,0.5,0,0,NA,3,0,3,3,1,1,0,2,8,10.1,11,21.3
21,21,"2015-12-05","31-311","GSW","@","TOR",3,0,"28:47",0,2,0,0,1,0,0,0,NA,1,5,6,2,1,1,0,1,0,3.5,-6,14.5
22,22,"2015-12-06","31-312","GSW","@","BRK",16,0,"24:34",2,8,0.25,0,4,0,0,0,NA,2,7,9,3,4,0,1,3,4,6.6,16,27.3
23,23,"2015-12-08","31-314","GSW","@","IND",8,0,"32:46",3,4,0.75,0,0,NA,0,0,NA,0,3,3,5,5,1,0,1,6,14.1,18,29.3
24,24,"2015-12-11","31-317","GSW","@","BOS",5,0,"43:51",5,12,0.417,1,4,0.25,2,2,1,3,7,10,5,2,0,2,1,13,13.9,2,38
25,25,"2015-12-12","31-318","GSW","@","MIL",-13,0,"27:33",1,9,0.111,0,4,0,0,0,NA,1,8,9,5,2,0,1,2,2,2.9,-14,24.3
26,26,"2015-12-16","31-322","GSW","","PHO",25,0,"25:14",2,4,0.5,0,1,0,1,1,1,1,4,5,0,1,0,1,0,5,4.9,10,12.8
27,27,"2015-12-18","31-324","GSW","","MIL",9,0,"19:28",1,5,0.2,1,3,0.333,0,0,NA,0,0,0,2,0,0,1,1,3,-0.1,-4,6
28,28,"2015-12-23","31-329","GSW","","UTA",18,0,"29:15",3,5,0.6,1,1,1,2,2,1,0,1,1,0,2,0,3,1,9,5.6,3,13.3
29,29,"2015-12-25","31-331","GSW","","CLE",6,0,"30:12",1,6,0.167,1,5,0.2,4,6,0.667,0,2,2,3,1,1,0,1,7,6.4,7,18.5
30,30,"2015-12-28","31-334","GSW","","SAC",19,0,"28:58",0,2,0,0,2,0,0,0,NA,2,4,6,6,2,0,2,1,0,5,4,19.5
