"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","28-165","DET","@","ATL",12,1,"34:26",6,12,0.5,3,6,0.5,1,2,0.5,3,4,7,3,0,1,3,4,16,11.1,20,31.3
2,2,"2015-10-28","28-166","DET","","UTA",5,1,"21:46",3,6,0.5,2,4,0.5,0,0,NA,0,2,2,1,1,0,1,4,8,4.7,-6,14.5
3,3,"2015-10-30","28-168","DET","","CHI",4,1,"21:47",1,5,0.2,0,3,0,0,0,NA,3,2,5,0,0,0,1,3,2,-0.6,6,7.8
4,4,"2015-11-03","28-172","DET","","IND",-12,1,"34:36",5,13,0.385,2,4,0.5,0,0,NA,4,0,4,0,1,0,0,0,12,8.7,0,20
5,5,"2015-11-06","28-175","DET","@","PHO",8,1,"21:19",2,6,0.333,1,3,0.333,1,1,1,1,3,4,0,1,1,2,2,6,3.1,3,14.5
6,6,"2015-11-08","28-177","DET","@","POR",17,1,"26:04",2,5,0.4,2,4,0.5,0,0,NA,0,1,1,4,1,0,0,2,6,6.6,-4,16.3
7,7,"2015-11-09","28-178","DET","@","GSW",-14,1,"16:54",2,5,0.4,0,2,0,0,0,NA,2,0,2,1,0,0,1,2,4,1.6,-13,7.5
8,8,"2015-11-11","28-180","DET","@","SAC",-9,1,"16:55",3,6,0.5,2,4,0.5,0,0,NA,0,2,2,1,0,1,1,4,8,4.4,-14,14.5
9,9,"2015-11-14","28-183","DET","@","LAC",-5,1,"29:29",5,8,0.625,3,4,0.75,7,9,0.778,1,1,2,0,0,1,2,4,20,13.7,6,25
10,10,"2015-11-15","28-184","DET","@","LAL",-12,1,"28:51",2,10,0.2,1,4,0.25,1,2,0.5,2,4,6,0,0,0,1,2,6,0.2,-6,13.5
11,11,"2015-11-17","28-186","DET","","CLE",5,1,"28:42",6,10,0.6,4,6,0.667,4,4,1,1,5,6,2,1,0,0,2,20,19.2,11,34.5
12,12,"2015-11-20","28-189","DET","@","MIN",10,1,"19:28",2,5,0.4,1,2,0.5,1,2,0.5,0,1,1,2,1,1,2,2,6,3.5,6,13.8
13,13,"2015-11-21","28-190","DET","","WAS",-2,1,"32:31",7,10,0.7,1,2,0.5,3,4,0.75,2,3,5,2,0,0,1,1,18,15.7,13,27.3
14,14,"2015-11-23","28-192","DET","@","MIL",-21,1,"24:07",0,7,0,0,3,0,0,0,NA,3,0,3,2,1,1,2,2,0,-2.5,-19,9.8
15,15,"2015-11-25","28-194","DET","","MIA",23,1,"22:55",3,7,0.429,3,4,0.75,4,4,1,1,2,3,3,0,0,0,2,13,11.9,22,22.8
16,16,"2015-11-27","28-196","DET","@","OKC",-16,1,"28:22",3,8,0.375,1,5,0.2,2,2,1,2,2,4,0,0,0,1,1,9,5.2,-15,14
17,17,"2015-11-29","28-198","DET","@","BRK",-4,1,"26:03",4,9,0.444,0,1,0,0,0,NA,2,3,5,0,1,0,1,2,8,4.8,6,15.8
18,18,"2015-11-30","28-199","DET","","HOU",11,1,"24:30",5,11,0.455,1,4,0.25,2,2,1,1,2,3,0,0,1,0,1,13,8.9,2,19.3
19,19,"2015-12-02","28-201","DET","","PHO",5,1,"34:44",8,13,0.615,3,6,0.5,4,6,0.667,1,3,4,1,1,0,4,4,23,14,27,31
20,20,"2015-12-04","28-203","DET","","MIL",7,1,"24:53",4,10,0.4,1,5,0.2,4,5,0.8,1,7,8,0,0,0,0,1,13,9.6,10,23.5
21,21,"2015-12-06","28-205","DET","","LAL",20,1,"12:36",3,5,0.6,1,2,0.5,0,0,NA,1,0,1,0,0,0,3,4,7,0.8,3,7.3
22,22,"2015-12-07","28-206","DET","@","CHO",-20,1,"27:59",4,14,0.286,3,10,0.3,4,8,0.5,1,12,13,1,1,1,3,2,15,8.1,-19,38.3
23,23,"2015-12-09","28-208","DET","","MEM",-1,1,"34:13",3,9,0.333,1,4,0.25,0,1,0,3,4,7,3,1,3,1,5,7,7,-3,28.3
24,24,"2015-12-11","28-210","DET","@","PHI",12,1,"25:39",6,13,0.462,3,7,0.429,0,0,NA,1,7,8,2,2,2,0,3,15,14.7,34,37.5
25,25,"2015-12-12","28-211","DET","","IND",22,1,"28:47",9,13,0.692,2,4,0.5,0,0,NA,1,4,5,1,0,2,0,2,20,17.7,18,32.8
26,26,"2015-12-14","28-213","DET","","LAC",-2,1,"20:06",3,8,0.375,0,2,0,0,0,NA,2,1,3,1,1,0,0,1,6,4.6,-12,13.3
27,27,"2015-12-16","28-215","DET","","BOS",3,1,"31:22",2,8,0.25,2,5,0.4,5,6,0.833,1,4,5,0,1,2,1,3,11,7.9,-6,23.8
28,28,"2015-12-18","28-217","DET","@","CHI",3,1,"53:56",6,17,0.353,1,8,0.125,5,8,0.625,3,6,9,4,0,0,2,5,18,10,-3,34.8
29,29,"2015-12-22","28-221","DET","@","MIA",1,1,"24:00",3,7,0.429,0,1,0,0,0,NA,4,4,8,0,1,1,2,0,6,6,-21,19
30,30,"2015-12-23","28-222","DET","@","ATL",-7,1,"33:01",2,9,0.222,1,5,0.2,0,0,NA,2,5,7,1,1,0,1,3,5,1.9,3,17.3
