"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","20-161","MIL","","NYK",-25,0,"14:44",1,2,0.5,1,2,0.5,0,0,NA,1,3,4,1,1,0,1,3,3,3.1,-6,11.5
2,2,"2015-10-30","20-163","MIL","","WAS",-5,0,"3:15",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.8,-7,1.3
3,3,"2015-11-01","20-165","MIL","@","TOR",-19,0,"3:33",0,2,0,0,1,0,2,2,1,0,0,0,0,1,0,1,0,2,0.6,0,3.5
7,4,"2015-11-07","20-171","MIL","","BRK",8,0,"1:44",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-7,0
8,5,"2015-11-10","20-174","MIL","","BOS",-16,0,"12:12",1,3,0.333,0,2,0,1,2,0.5,0,3,3,1,0,0,1,1,3,1.1,-14,7.8
26,6,"2015-12-15","20-209","MIL","@","LAL",-18,0,"1:49",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
30,7,"2015-12-23","20-217","MIL","","PHI",13,0,"2:01",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-3,-0.5
39,8,"2016-01-10","20-235","MIL","@","NYK",-12,0,"2:45",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,5,1.3
66,9,"2016-03-12","20-297","MIL","","NOP",11,0,"2:44",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,-4,3.3
67,10,"2016-03-13","20-298","MIL","@","BRK",9,0,"0:38",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
68,11,"2016-03-15","20-300","MIL","","TOR",-18,0,"3:31",0,1,0,0,1,0,0,0,NA,0,0,0,0,1,0,1,0,0,-0.7,0,1.5
69,12,"2016-03-17","20-302","MIL","","MEM",10,0,"21:33",3,5,0.6,0,2,0,4,4,1,0,5,5,2,0,3,0,0,10,12.7,11,25.3
70,13,"2016-03-20","20-305","MIL","","UTA",-9,0,"7:46",1,3,0.333,0,0,NA,0,0,NA,0,2,2,0,0,0,1,0,2,-0.1,3,4
71,14,"2016-03-21","20-306","MIL","@","DET",-1,0,"13:21",1,3,0.333,0,0,NA,0,0,NA,0,3,3,1,0,0,0,1,2,1.5,-9,7.3
72,15,"2016-03-23","20-308","MIL","@","CLE",-9,0,"8:43",1,3,0.333,0,1,0,0,0,NA,1,3,4,0,0,0,0,1,2,1.5,-3,7
74,16,"2016-03-26","20-311","MIL","","CHO",-24,0,"5:52",0,2,0,0,1,0,0,0,NA,0,1,1,1,0,0,0,0,0,-0.4,-2,2.8
77,17,"2016-04-03","20-319","MIL","","CHI",-4,1,"9:19",0,1,0,0,0,NA,0,0,NA,0,1,1,1,1,0,1,0,0,0.3,-7,4.3
78,18,"2016-04-05","20-321","MIL","","CLE",-29,0,"5:41",0,2,0,0,0,NA,0,0,NA,0,0,0,1,0,0,1,0,0,-1.7,-1,1
79,19,"2016-04-08","20-324","MIL","@","BOS",-15,0,"14:54",0,3,0,0,1,0,0,0,NA,0,1,1,1,1,0,1,3,0,-2.3,2,4.3
82,20,"2016-04-13","20-329","MIL","","IND",-5,0,"20:16",4,5,0.8,2,2,1,0,0,NA,0,4,4,1,1,0,2,1,10,8.6,-2,18.5
