"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
25,1,"2015-12-20","23-272","CLE","","PHI",22,1,"17:04",5,12,0.417,2,2,1,0,0,NA,0,1,1,4,2,0,1,1,12,9.3,16,23.8
26,2,"2015-12-23","23-275","CLE","","NYK",7,1,"18:57",1,7,0.143,0,1,0,3,3,1,1,0,1,4,0,0,2,2,5,1.2,-5,11.3
27,3,"2015-12-25","23-277","CLE","@","GSW",-6,1,"26:14",4,15,0.267,0,6,0,5,5,1,3,0,3,2,1,0,2,1,13,6.2,7,20.8
29,4,"2015-12-28","23-280","CLE","@","PHO",4,1,"24:10",7,16,0.438,2,7,0.286,6,6,1,0,1,1,2,1,0,1,0,22,15.3,10,28.8
31,5,"2016-01-02","23-285","CLE","","ORL",25,1,"21:26",4,12,0.333,0,4,0,5,7,0.714,1,1,2,5,0,0,1,1,13,8.5,16,22.5
32,6,"2016-01-04","23-287","CLE","","TOR",22,1,"28:44",10,16,0.625,2,5,0.4,3,3,1,2,4,6,8,0,0,1,1,25,24.6,23,45
33,7,"2016-01-06","23-289","CLE","@","WAS",6,1,"33:53",14,22,0.636,1,4,0.25,3,5,0.6,2,3,5,3,2,1,4,1,32,24.1,6,47.3
34,8,"2016-01-08","23-291","CLE","@","MIN",26,1,"27:00",5,12,0.417,1,3,0.333,2,2,1,2,0,2,2,0,0,4,3,13,4.2,9,17
35,9,"2016-01-10","23-293","CLE","@","PHI",10,1,"30:49",3,15,0.2,1,6,0.167,1,1,1,0,5,5,2,2,1,2,2,8,1.5,12,22.8
36,10,"2016-01-12","23-295","CLE","@","DAL",3,1,"38:50",8,20,0.4,3,8,0.375,3,4,0.75,0,2,2,9,1,0,3,2,22,14.9,-4,40
37,11,"2016-01-14","23-297","CLE","@","SAS",-4,1,"32:26",6,17,0.353,2,5,0.4,2,2,1,0,2,2,4,1,0,3,1,16,7.5,-7,26
38,12,"2016-01-15","23-298","CLE","@","HOU",14,1,"29:34",9,17,0.529,1,5,0.2,4,5,0.8,0,4,4,1,0,1,1,2,23,15.1,7,31.5
39,13,"2016-01-18","23-301","CLE","","GSW",-34,1,"22:36",3,11,0.273,1,3,0.333,1,1,1,2,3,5,3,0,0,2,0,8,3.9,-21,18.3
40,14,"2016-01-20","23-303","CLE","@","BRK",13,1,"21:17",4,7,0.571,1,2,0.5,0,0,NA,0,1,1,5,0,0,2,0,9,7.5,8,17.3
41,15,"2016-01-21","23-304","CLE","","LAC",13,1,"28:32",8,18,0.444,2,4,0.5,3,3,1,1,1,2,4,1,0,1,3,21,14.2,15,32
42,16,"2016-01-23","23-306","CLE","","CHI",-13,1,"31:11",5,16,0.313,0,2,0,1,1,1,2,1,3,3,2,1,0,1,11,7.9,0,25.3
43,17,"2016-01-25","23-308","CLE","","MIN",7,1,"27:58",7,18,0.389,1,4,0.25,2,2,1,3,6,9,4,0,0,4,1,17,9.5,-9,32.8
44,18,"2016-01-27","23-310","CLE","","PHO",22,1,"22:25",4,11,0.364,0,3,0,0,0,NA,1,3,4,3,3,0,3,0,8,5.6,9,22
45,19,"2016-01-29","23-312","CLE","@","DET",8,1,"32:25",11,19,0.579,0,3,0,6,7,0.857,0,4,4,2,1,0,1,2,28,20.5,13,37.5
46,20,"2016-01-30","23-313","CLE","","SAS",14,1,"36:29",9,17,0.529,0,2,0,3,4,0.75,1,0,1,6,2,0,1,2,21,17.4,13,34.8
47,21,"2016-02-01","23-315","CLE","@","IND",5,1,"40:59",10,20,0.5,1,4,0.25,4,4,1,0,3,3,7,0,0,3,2,25,17,-3,38.3
48,22,"2016-02-03","23-317","CLE","@","CHO",-9,1,"36:37",10,17,0.588,1,4,0.25,5,5,1,0,1,1,5,1,0,1,4,26,20.3,-4,36.8
49,23,"2016-02-05","23-319","CLE","","BOS",-1,1,"37:29",7,15,0.467,0,2,0,5,6,0.833,0,3,3,6,0,0,2,3,19,12.8,-4,30.8
50,24,"2016-02-06","23-320","CLE","","NOP",15,1,"37:03",11,21,0.524,3,9,0.333,4,4,1,0,4,4,3,2,0,3,1,29,20.6,19,42.5
51,25,"2016-02-08","23-322","CLE","","SAC",20,1,"35:00",13,21,0.619,5,8,0.625,1,1,1,2,1,3,12,0,1,2,5,32,29.3,22,58.8
52,26,"2016-02-10","23-324","CLE","","LAL",9,1,"35:50",15,24,0.625,3,6,0.5,2,4,0.5,1,2,3,7,2,0,1,5,35,28.6,7,54.3
