"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","25-194","DET","@","ATL",12,1,"32:07",4,10,0.4,2,4,0.5,5,5,1,1,7,8,5,2,0,2,0,15,15.9,26,36.5
2,2,"2015-10-28","25-195","DET","","UTA",5,1,"31:15",7,14,0.5,1,3,0.333,4,7,0.571,0,2,2,4,0,0,4,1,19,9.8,-5,26
3,3,"2015-10-30","25-197","DET","","CHI",4,1,"37:05",9,24,0.375,1,4,0.25,3,4,0.75,1,6,7,7,2,0,5,3,22,11.6,7,43.3
4,4,"2015-11-03","25-201","DET","","IND",-12,1,"34:17",8,20,0.4,2,4,0.5,2,2,1,0,0,0,6,1,1,6,3,20,7.9,8,31
5,5,"2015-11-06","25-204","DET","@","PHO",8,1,"30:19",8,18,0.444,1,4,0.25,6,8,0.75,0,6,6,7,0,1,4,3,23,15,7,41.5
6,6,"2015-11-08","25-206","DET","@","POR",17,1,"34:17",15,26,0.577,3,3,1,7,8,0.875,2,3,5,5,2,0,2,1,40,32.8,22,58.3
7,7,"2015-11-09","25-207","DET","@","GSW",-14,1,"29:40",7,19,0.368,1,6,0.167,5,6,0.833,0,2,2,5,2,0,6,0,20,9.2,-5,31.5
8,8,"2015-11-11","25-209","DET","@","SAC",-9,1,"32:41",5,15,0.333,1,6,0.167,5,6,0.833,1,3,4,3,0,0,2,2,16,8,-15,25
9,9,"2015-11-14","25-212","DET","@","LAC",-5,1,"34:21",7,15,0.467,2,6,0.333,4,5,0.8,1,5,6,5,1,0,4,1,20,14.2,-5,36
10,10,"2015-11-15","25-213","DET","@","LAL",-12,1,"24:17",4,11,0.364,1,4,0.25,0,0,NA,0,4,4,3,0,0,5,1,9,0.8,-13,16.5
11,11,"2015-11-17","25-215","DET","","CLE",5,1,"34:27",7,18,0.389,1,2,0.5,8,8,1,1,5,6,12,1,0,5,3,23,18.6,15,50
12,12,"2015-11-20","25-218","DET","@","MIN",10,1,"27:31",8,15,0.533,2,5,0.4,0,0,NA,1,4,5,5,1,0,0,3,18,15.9,15,34.8
13,13,"2015-11-21","25-219","DET","","WAS",-2,1,"31:34",8,18,0.444,1,6,0.167,3,3,1,1,2,3,9,1,0,6,2,20,12.4,18,36.8
14,14,"2015-11-23","25-221","DET","@","MIL",-21,1,"23:43",3,11,0.273,0,3,0,1,1,1,0,1,1,7,1,0,3,1,7,3.3,-12,19.3
