"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
32,1,"2015-12-29","26-097","DET","@","NYK",-12,0,"16:44",2,4,0.5,1,2,0.5,2,2,1,0,1,1,4,0,0,1,1,7,6.7,-7,14.3
33,2,"2015-12-31","26-099","DET","","MIN",25,0,"20:53",3,9,0.333,1,6,0.167,0,1,0,0,6,6,3,0,0,3,1,7,2,4,18
34,3,"2016-01-02","26-101","DET","@","IND",-12,0,"19:17",1,5,0.2,0,2,0,2,2,1,0,2,2,3,1,0,1,2,4,2.8,11,12.5
35,4,"2016-01-04","26-103","DET","","ORL",26,0,"18:29",5,9,0.556,3,4,0.75,4,6,0.667,0,1,1,6,1,0,0,1,17,17,25,30.8
36,5,"2016-01-06","26-105","DET","@","BOS",5,0,"16:33",1,4,0.25,1,4,0.25,3,4,0.75,1,0,1,2,0,0,3,1,6,1.9,11,9.3
37,6,"2016-01-09","26-108","DET","","BRK",14,0,"15:25",0,3,0,0,2,0,0,0,NA,0,1,1,5,0,0,0,1,0,1.3,5,8.8
38,7,"2016-01-12","26-111","DET","","SAS",-10,0,"17:43",4,9,0.444,0,2,0,1,1,1,0,0,0,4,0,0,1,1,9,5.7,-6,14.5
39,8,"2016-01-14","26-113","DET","@","MEM",-2,0,"24:17",3,5,0.6,2,4,0.5,2,2,1,0,1,1,3,0,0,1,1,10,8.7,-7,16.3
40,9,"2016-01-16","26-115","DET","","GSW",18,0,"8:25",1,5,0.2,0,2,0,0,0,NA,0,1,1,1,1,0,0,1,2,0.5,4,6.8
41,10,"2016-01-18","26-117","DET","","CHI",-10,0,"15:39",1,6,0.167,0,2,0,0,0,NA,1,2,3,2,0,0,1,0,2,-0.1,-17,8.3
42,11,"2016-01-20","26-119","DET","@","HOU",9,0,"15:34",2,5,0.4,1,2,0.5,0,0,NA,0,0,0,4,1,0,1,1,5,4.7,6,13
43,12,"2016-01-21","26-120","DET","@","NOP",-16,0,"20:11",6,11,0.545,3,6,0.5,5,6,0.833,0,1,1,5,0,0,1,0,20,17.1,-1,29.8
44,13,"2016-01-23","26-122","DET","@","DEN",-3,0,"18:26",2,6,0.333,1,3,0.333,0,0,NA,2,8,10,4,1,0,1,0,5,8.2,10,25.5
45,14,"2016-01-25","26-124","DET","@","UTA",3,0,"17:05",0,4,0,0,1,0,1,3,0.333,0,1,1,4,1,0,0,2,1,0.7,-4,10.3
