"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","25-184","UTA","@","PHI",28,0,"3:49",1,2,0.5,0,0,NA,0,0,NA,1,2,3,1,0,0,0,0,2,3,-1,7.3
3,2,"2015-10-31","25-185","UTA","@","IND",21,0,"2:25",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,1,0,0,0,1,1.6,4,3
4,3,"2015-11-04","25-189","UTA","","POR",-16,0,"0:54",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
5,4,"2015-11-05","25-190","UTA","@","DEN",12,0,"5:10",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,3,1.6,-3,3.5
7,5,"2015-11-10","25-195","UTA","@","CLE",-4,0,"1:21",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,0,2
9,6,"2015-11-13","25-198","UTA","@","ORL",-9,0,"20:08",1,8,0.125,1,4,0.25,1,2,0.5,1,4,5,1,0,0,2,3,4,-2.2,18,11.3
10,7,"2015-11-15","25-200","UTA","@","ATL",1,0,"3:19",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-2,0
11,8,"2015-11-18","25-203","UTA","","TOR",4,0,"4:46",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.1,4,1.3
12,9,"2015-11-20","25-205","UTA","@","DAL",-9,0,"1:08",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-1,0
13,10,"2015-11-23","25-208","UTA","","OKC",-22,0,"5:49",2,3,0.667,2,2,1,0,0,NA,0,0,0,0,0,0,0,0,6,4.7,3,7
14,11,"2015-11-25","25-210","UTA","@","LAC",11,0,"6:55",0,2,0,0,1,0,0,0,NA,0,1,1,1,0,2,1,2,0,-0.8,-6,6.3
15,12,"2015-11-28","25-213","UTA","","NOP",14,0,"0:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
17,13,"2015-12-03","25-218","UTA","","ORL",-9,0,"7:31",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
18,14,"2015-12-05","25-220","UTA","","IND",3,0,"6:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,0.3,-8,1.5
20,15,"2015-12-09","25-224","UTA","","NYK",21,0,"3:01",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-5,0
23,16,"2015-12-14","25-229","UTA","@","SAS",-37,0,"8:58",2,4,0.5,0,1,0,0,0,NA,1,1,2,1,1,0,1,0,4,3.7,7,9.5
