"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","34-121","BRK","","CHI",-15,1,"32:21",4,15,0.267,0,2,0,2,3,0.667,4,6,10,3,1,0,0,3,10,7.2,-29,30.5
2,2,"2015-10-30","34-123","BRK","@","SAS",-27,1,"25:14",1,7,0.143,0,1,0,0,0,NA,0,2,2,1,1,0,1,5,2,-3.2,-22,7.5
3,3,"2015-10-31","34-124","BRK","@","MEM",-10,1,"32:22",4,7,0.571,1,2,0.5,2,2,1,0,2,2,3,0,0,1,1,11,9,-6,18
4,4,"2015-11-02","34-126","BRK","","MIL",-7,1,"40:50",5,14,0.357,2,7,0.286,2,2,1,1,2,3,6,0,0,0,2,14,10.9,-4,27.8
5,5,"2015-11-04","34-128","BRK","@","ATL",-14,1,"29:54",1,10,0.1,0,3,0,3,4,0.75,2,4,6,6,0,0,1,1,5,3.4,-3,21
6,6,"2015-11-06","34-130","BRK","","LAL",-6,1,"38:08",8,16,0.5,1,5,0.2,5,5,1,0,3,3,2,2,1,3,2,22,15.2,-6,33.8
7,7,"2015-11-07","34-131","BRK","@","MIL",-8,1,"35:20",3,10,0.3,0,3,0,2,2,1,2,7,9,6,1,0,2,2,8,8.1,-13,29.3
8,8,"2015-11-11","34-135","BRK","@","HOU",8,1,"37:56",4,13,0.308,1,2,0.5,7,7,1,1,6,7,10,0,0,0,2,16,17.2,10,41.8
9,9,"2015-11-13","34-137","BRK","@","SAC",-2,1,"35:27",6,16,0.375,2,8,0.25,0,1,0,0,3,3,4,0,0,2,1,14,6.1,7,23.8
10,10,"2015-11-14","34-138","BRK","@","GSW",-8,1,"41:26",3,12,0.25,0,3,0,0,0,NA,0,4,4,3,1,0,5,1,6,-2.3,-9,15
11,11,"2015-11-17","34-141","BRK","","ATL",2,1,"39:00",5,14,0.357,2,5,0.4,1,2,0.5,0,7,7,9,1,0,0,1,13,13.8,7,38.3
12,12,"2015-11-18","34-142","BRK","@","CHO",-5,1,"36:31",6,13,0.462,3,7,0.429,1,2,0.5,0,4,4,3,1,0,2,1,16,10.8,4,28
13,13,"2015-11-20","34-144","BRK","@","BOS",-25,1,"18:19",1,5,0.2,1,2,0.5,0,0,NA,0,2,2,1,0,0,0,0,3,1.2,-19,7.5
14,14,"2015-11-22","34-146","BRK","","BOS",10,1,"36:23",5,10,0.5,3,6,0.5,4,6,0.667,0,4,4,4,1,0,3,3,17,12,22,30
15,15,"2015-11-25","34-149","BRK","@","OKC",-11,1,"31:36",2,11,0.182,0,5,0,1,1,1,1,5,6,4,1,0,6,2,5,-2.7,-6,17.5
16,16,"2015-11-28","34-152","BRK","@","CLE",-2,1,"39:28",5,11,0.455,2,5,0.4,5,5,1,0,3,3,1,2,0,6,3,17,7.7,2,24.3
17,17,"2015-11-29","34-153","BRK","","DET",4,1,"38:45",4,10,0.4,1,4,0.25,4,4,1,0,5,5,1,0,0,3,1,13,6.4,10,19.8
18,18,"2015-12-01","34-155","BRK","","PHO",3,1,"35:16",4,8,0.5,1,4,0.25,0,0,NA,0,2,2,2,3,0,4,1,9,5.6,-2,19
19,19,"2015-12-04","34-158","BRK","@","NYK",-17,1,"31:43",3,9,0.333,1,2,0.5,2,2,1,1,3,4,4,1,0,1,3,9,7.1,-12,22
20,20,"2015-12-06","34-160","BRK","","GSW",-16,1,"36:25",4,12,0.333,1,3,0.333,0,0,NA,2,3,5,3,0,0,2,2,9,3.8,-15,19.3
21,21,"2015-12-08","34-162","BRK","","HOU",5,1,"43:23",9,15,0.6,2,5,0.4,2,3,0.667,3,2,5,8,3,0,2,3,22,22.8,6,46.3
22,22,"2015-12-10","34-164","BRK","","PHI",9,1,"33:16",3,9,0.333,1,4,0.25,0,0,NA,0,0,0,2,0,0,1,1,7,1.9,-4,10
23,23,"2015-12-12","34-166","BRK","","LAC",-5,1,"35:38",6,14,0.429,2,6,0.333,1,2,0.5,1,3,4,3,0,0,2,1,15,8.5,3,24.5
24,24,"2015-12-14","34-168","BRK","","ORL",-23,1,"26:24",2,8,0.25,2,4,0.5,0,0,NA,1,2,3,5,0,0,2,3,6,2.8,-16,17.3
25,25,"2015-12-16","34-170","BRK","","MIA",-6,1,"32:44",2,9,0.222,1,1,1,0,0,NA,0,2,2,4,0,0,2,2,5,0.1,-9,13
26,26,"2015-12-18","34-172","BRK","@","IND",-7,1,"32:48",4,11,0.364,3,4,0.75,0,0,NA,0,0,0,3,3,0,1,2,11,8.2,-1,22.5
27,27,"2015-12-20","34-174","BRK","","MIN",-15,1,"30:57",2,10,0.2,0,1,0,2,2,1,2,4,6,6,0,0,2,3,6,3.4,-14,21.5
28,28,"2015-12-21","34-175","BRK","@","CHI",3,1,"37:24",5,15,0.333,2,6,0.333,0,0,NA,0,3,3,5,2,0,0,3,12,8.7,2,28.3
29,29,"2015-12-23","34-177","BRK","","DAL",-1,1,"36:59",6,16,0.375,1,6,0.167,0,0,NA,1,4,5,6,1,0,2,3,13,8.1,-4,29.8
30,30,"2015-12-26","34-180","BRK","","WAS",-15,1,"36:47",3,10,0.3,1,4,0.25,2,4,0.5,0,3,3,1,0,0,2,1,9,1.6,-11,13.8
31,31,"2015-12-28","34-182","BRK","@","MIA",6,1,"35:19",1,6,0.167,1,4,0.25,1,2,0.5,2,4,6,4,0,0,2,3,4,2,4,17
32,32,"2015-12-30","34-184","BRK","@","ORL",-7,1,"34:18",3,8,0.375,1,5,0.2,0,0,NA,1,2,3,0,1,0,1,1,7,3.5,-11,12.8
33,33,"2016-01-02","34-187","BRK","@","BOS",3,1,"38:32",9,19,0.474,2,7,0.286,0,0,NA,0,1,1,2,0,0,3,2,20,8.2,-1,23.8
34,34,"2016-01-04","34-189","BRK","","BOS",-9,1,"34:51",8,15,0.533,2,4,0.5,3,4,0.75,4,2,6,4,0,0,2,3,21,16.3,-4,34.5
35,35,"2016-01-06","34-191","BRK","","TOR",-17,1,"31:54",2,7,0.286,1,2,0.5,0,0,NA,0,2,2,1,0,0,3,3,5,-2,-18,8
36,36,"2016-01-08","34-193","BRK","","ORL",-6,1,"38:44",5,12,0.417,3,7,0.429,0,0,NA,0,3,3,3,1,0,2,3,13,7.4,-6,23.8
