"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","19-151","DET","@","ATL",12,0,"24:29",3,10,0.3,1,3,0.333,0,0,NA,3,1,4,3,0,0,1,1,7,4.3,-13,16.5
2,2,"2015-10-28","19-152","DET","","UTA",5,0,"19:35",3,10,0.3,1,3,0.333,4,4,1,2,3,5,0,0,0,0,3,11,6.3,0,17.8
3,3,"2015-10-30","19-154","DET","","CHI",4,0,"11:59",3,8,0.375,0,1,0,1,1,1,2,2,4,1,1,0,1,1,7,4.9,-4,15
4,4,"2015-11-03","19-158","DET","","IND",-12,0,"11:33",0,5,0,0,1,0,0,2,0,1,2,3,2,0,0,1,4,0,-4.2,-8,6.3
5,5,"2015-11-06","19-161","DET","@","PHO",8,0,"22:28",2,5,0.4,0,2,0,1,3,0.333,0,5,5,2,1,0,3,5,5,0.4,7,14.8
6,6,"2015-11-08","19-163","DET","@","POR",17,0,"20:10",1,4,0.25,0,2,0,1,2,0.5,0,0,0,0,0,0,1,0,3,-0.8,-9,2.5
7,7,"2015-11-09","19-164","DET","@","GSW",-14,0,"32:05",9,14,0.643,2,4,0.5,0,1,0,2,5,7,0,0,0,0,2,20,15.5,-9,29.8
8,8,"2015-11-11","19-166","DET","@","SAC",-9,0,"27:18",3,11,0.273,0,3,0,2,2,1,2,3,5,2,2,0,1,2,8,5.4,-3,20.8
9,9,"2015-11-14","19-169","DET","@","LAC",-5,0,"20:52",4,8,0.5,1,4,0.25,0,0,NA,1,3,4,1,1,0,2,4,9,4.7,-11,17
10,10,"2015-11-15","19-170","DET","@","LAL",-12,0,"16:28",2,6,0.333,0,2,0,0,0,NA,0,3,3,1,2,0,1,5,4,1.2,-16,12.8
11,11,"2015-11-17","19-172","DET","","CLE",5,0,"16:20",2,6,0.333,0,1,0,0,0,NA,0,6,6,1,1,0,2,1,4,1.7,-8,14
12,12,"2015-11-20","19-175","DET","@","MIN",10,0,"24:22",6,10,0.6,3,5,0.6,0,0,NA,1,1,2,1,0,0,1,0,15,11.1,3,20
13,13,"2015-11-21","19-176","DET","","WAS",-2,0,"16:03",2,6,0.333,0,3,0,0,0,NA,0,0,0,1,0,0,2,0,4,-0.7,-16,4.5
14,14,"2015-11-23","19-178","DET","@","MIL",-21,0,"25:46",5,14,0.357,0,4,0,6,7,0.857,1,1,2,2,1,0,2,3,16,8,-8,22.5
15,15,"2015-11-25","19-180","DET","","MIA",23,0,"20:14",3,12,0.25,0,2,0,1,1,1,2,3,5,2,1,1,2,5,7,1.2,-1,19.3
16,16,"2015-11-27","19-182","DET","@","OKC",-16,0,"16:20",2,5,0.4,1,1,1,0,0,NA,1,1,2,0,1,0,3,2,5,0.5,-1,8.5
17,17,"2015-11-29","19-184","DET","@","BRK",-4,0,"26:38",4,10,0.4,2,3,0.667,0,0,NA,0,5,5,1,1,0,1,3,10,5.6,-1,20.3
18,18,"2015-11-30","19-185","DET","","HOU",11,0,"29:42",6,11,0.545,4,5,0.8,3,4,0.75,2,8,10,1,1,2,1,5,19,17.2,14,42
19,19,"2015-12-02","19-187","DET","","PHO",5,0,"21:12",2,7,0.286,1,3,0.333,2,2,1,0,2,2,1,0,0,1,1,7,2.8,-25,11
20,20,"2015-12-04","19-189","DET","","MIL",7,0,"23:20",4,10,0.4,2,4,0.5,0,0,NA,0,1,1,1,1,0,0,2,10,5.8,-2,15.8
21,21,"2015-12-06","19-191","DET","","LAL",20,0,"27:13",2,10,0.2,0,3,0,2,2,1,0,6,6,2,1,0,1,1,6,2.6,8,18
22,22,"2015-12-07","19-192","DET","@","CHO",-20,0,"20:18",2,6,0.333,0,1,0,0,0,NA,0,3,3,1,0,0,0,1,4,1.8,-8,9.3
23,23,"2015-12-09","19-194","DET","","MEM",-1,0,"17:25",2,4,0.5,0,1,0,0,0,NA,0,3,3,0,0,0,1,2,4,1.1,7,7.3
24,24,"2015-12-11","19-196","DET","@","PHI",12,0,"15:27",2,6,0.333,0,1,0,0,0,NA,0,1,1,0,0,1,2,1,4,-0.8,-18,6.3
25,25,"2015-12-12","19-197","DET","","IND",22,0,"25:28",4,10,0.4,1,5,0.2,2,2,1,0,4,4,2,3,0,4,4,11,5.6,5,23.5
26,26,"2015-12-14","19-199","DET","","LAC",-2,0,"19:09",0,5,0,0,0,NA,0,0,NA,0,4,4,1,0,0,1,0,0,-2.6,3,6
27,27,"2015-12-16","19-201","DET","","BOS",3,0,"21:11",3,5,0.6,0,0,NA,2,3,0.667,1,6,7,0,0,0,1,1,8,6.4,8,16.3
28,28,"2015-12-18","19-203","DET","@","CHI",3,0,"30:24",6,11,0.545,1,2,0.5,3,4,0.75,1,6,7,1,1,0,2,6,16,10.1,6,27.8
29,29,"2015-12-22","19-207","DET","@","MIA",1,0,"22:56",5,10,0.5,4,7,0.571,0,0,NA,0,4,4,3,0,0,2,0,14,10.3,0,24.5
30,30,"2015-12-23","19-208","DET","@","ATL",-7,0,"25:41",4,10,0.4,1,2,0.5,0,0,NA,0,2,2,0,1,0,1,2,9,3.4,2,13.5
31,31,"2015-12-26","19-211","DET","","BOS",-6,0,"25:33",5,11,0.455,2,3,0.667,0,0,NA,2,1,3,1,1,0,1,4,12,7.1,1,19.8
32,32,"2015-12-29","19-214","DET","@","NYK",-12,0,"18:51",2,6,0.333,0,2,0,0,0,NA,0,2,2,3,0,0,0,2,4,2.5,-9,11
33,33,"2015-12-31","19-216","DET","","MIN",25,0,"21:32",2,9,0.222,1,3,0.333,0,0,NA,1,3,4,4,0,0,0,1,5,3.5,6,16.5
34,34,"2016-01-02","19-218","DET","@","IND",-12,0,"18:32",2,6,0.333,0,1,0,2,3,0.667,1,1,2,2,0,0,1,3,6,2.4,7,11
35,35,"2016-01-04","19-220","DET","","ORL",26,0,"24:52",2,8,0.25,2,5,0.4,0,0,NA,1,6,7,3,2,0,1,3,6,5.6,23,23.8
36,36,"2016-01-06","19-222","DET","@","BOS",5,0,"23:06",4,8,0.5,1,3,0.333,2,2,1,2,8,10,2,1,0,5,3,11,7,8,28
37,37,"2016-01-09","19-225","DET","","BRK",14,1,"39:04",4,13,0.308,0,5,0,0,0,NA,0,4,4,1,2,1,1,0,8,4.1,9,20
38,38,"2016-01-12","19-228","DET","","SAS",-10,0,"23:54",0,7,0,0,1,0,2,2,1,0,3,3,1,0,0,1,4,2,-3.9,-1,6.8
39,39,"2016-01-14","19-230","DET","@","MEM",-2,0,"25:05",7,14,0.5,5,9,0.556,0,0,NA,0,3,3,0,2,0,2,0,19,12.9,-4,28.3
40,40,"2016-01-16","19-232","DET","","GSW",18,0,"20:15",3,7,0.429,1,2,0.5,1,1,1,0,2,2,3,1,1,0,3,8,7.5,7,19.5
41,41,"2016-01-18","19-234","DET","","CHI",-10,0,"22:28",2,7,0.286,0,2,0,4,4,1,3,1,4,1,1,0,4,2,8,3.2,-21,14.5
42,42,"2016-01-20","19-236","DET","@","HOU",9,0,"23:53",1,4,0.25,0,2,0,5,6,0.833,2,7,9,2,1,1,3,3,7,6.6,14,23.8
43,43,"2016-01-21","19-237","DET","@","NOP",-16,0,"19:32",3,6,0.5,0,2,0,0,0,NA,1,1,2,2,0,0,1,3,6,3.2,1,11
44,44,"2016-01-23","19-239","DET","@","DEN",-3,0,"20:11",5,10,0.5,2,5,0.4,0,0,NA,1,3,4,1,0,0,1,2,12,7.5,12,19
45,45,"2016-01-25","19-241","DET","@","UTA",3,0,"22:56",3,4,0.75,2,3,0.667,0,2,0,0,2,2,2,1,0,2,4,8,5,-1,15.5
46,46,"2016-01-27","19-243","DET","","PHI",13,0,"31:34",8,16,0.5,1,4,0.25,1,2,0.5,2,1,3,3,1,0,1,3,18,12.2,16,28.3
47,47,"2016-01-29","19-245","DET","","CLE",-8,0,"30:11",6,10,0.6,1,1,1,2,3,0.667,1,3,4,5,1,0,2,4,15,12.5,7,29
48,48,"2016-01-30","19-246","DET","@","TOR",-4,0,"28:04",4,13,0.308,0,2,0,4,4,1,0,4,4,1,1,0,1,5,12,4.4,-11,20
49,49,"2016-02-01","19-248","DET","@","BRK",5,0,"20:56",5,11,0.455,3,6,0.5,0,0,NA,0,1,1,1,1,0,3,2,13,5.5,-12,17.8
50,50,"2016-02-03","19-250","DET","@","BOS",-7,0,"30:24",4,13,0.308,3,10,0.3,0,0,NA,1,8,9,2,0,0,3,3,11,3.8,-1,25.3
51,51,"2016-02-04","19-251","DET","","NYK",6,1,"44:01",7,12,0.583,1,2,0.5,7,8,0.875,0,9,9,5,2,1,2,3,22,21.7,11,46.3
52,52,"2016-02-06","19-253","DET","@","IND",-8,1,"37:45",6,13,0.462,0,3,0,2,2,1,2,8,10,3,1,0,2,6,14,9.8,-8,33.5
53,53,"2016-02-08","19-255","DET","","TOR",-14,1,"33:44",2,9,0.222,1,4,0.25,0,0,NA,1,4,5,3,0,0,1,3,5,1.3,-12,15.8
54,54,"2016-02-10","19-257","DET","","DEN",-11,1,"36:48",5,16,0.313,0,4,0,1,1,1,1,4,5,5,0,0,4,5,11,1.2,-17,22.8
55,55,"2016-02-19","19-266","DET","@","WAS",-12,0,"22:25",2,5,0.4,1,3,0.333,0,0,NA,0,2,2,1,0,0,2,3,5,0.4,-15,8.5
56,56,"2016-02-21","19-268","DET","","NOP",-5,0,"21:46",2,5,0.4,1,1,1,1,2,0.5,1,7,8,2,0,0,2,2,6,4.3,1,18.5
57,57,"2016-02-22","19-269","DET","@","CLE",8,0,"21:50",4,9,0.444,1,4,0.25,1,1,1,2,2,4,1,0,1,1,0,10,7.7,4,18.5
65,58,"2016-03-11","19-287","DET","@","CHO",-15,0,"9:13",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,2,3,1.9,-7,3.5
66,59,"2016-03-12","19-288","DET","@","PHI",14,0,"13:45",0,2,0,0,0,NA,0,0,NA,1,4,5,1,0,0,1,0,0,0.2,-9,7.3
67,60,"2016-03-14","19-290","DET","@","WAS",-43,0,"25:48",2,11,0.182,0,4,0,0,0,NA,0,6,6,4,2,1,1,2,4,2.6,-22,23
68,61,"2016-03-16","19-292","DET","","ATL",-4,0,"19:41",2,5,0.4,1,1,1,2,2,1,0,4,4,3,0,0,3,0,7,4.6,1,15.5
69,62,"2016-03-18","19-294","DET","","SAC",7,0,"22:15",3,7,0.429,0,3,0,0,1,0,1,1,2,1,1,1,1,3,6,3.1,-12,13.5
70,63,"2016-03-19","19-295","DET","","BRK",12,0,"31:29",3,6,0.5,1,2,0.5,3,3,1,0,7,7,6,4,0,0,3,10,16.1,22,36.3
71,64,"2016-03-21","19-297","DET","","MIL",1,0,"15:43",1,6,0.167,0,2,0,2,2,1,0,0,0,0,2,0,5,4,4,-4.4,2,5.5
72,65,"2016-03-23","19-299","DET","","ORL",16,0,"29:13",4,9,0.444,3,6,0.5,2,2,1,1,7,8,2,1,0,5,3,13,7.3,4,27
73,66,"2016-03-25","19-301","DET","","CHO",7,0,"22:01",1,4,0.25,0,1,0,0,0,NA,0,4,4,1,0,0,0,4,2,-0.1,16,8.5
74,67,"2016-03-26","19-302","DET","","ATL",-17,0,"23:35",1,5,0.2,0,3,0,2,2,1,2,3,5,1,0,0,2,0,4,1.9,-4,10.8
75,68,"2016-03-29","19-305","DET","","OKC",6,0,"17:59",3,6,0.5,1,2,0.5,0,1,0,1,2,3,1,0,0,3,2,7,1.8,-15,11.3
76,69,"2016-04-01","19-308","DET","","DAL",-9,0,"13:51",1,4,0.25,1,3,0.333,0,0,NA,1,2,3,1,0,0,1,1,3,1.2,-6,8.3
77,70,"2016-04-02","19-309","DET","@","CHI",4,0,"16:24",0,5,0,0,1,0,0,0,NA,0,2,2,0,1,0,0,2,0,-2.7,7,4.5
78,71,"2016-04-05","19-312","DET","@","MIA",-18,0,"19:27",1,9,0.111,0,2,0,0,0,NA,1,2,3,1,1,0,1,1,2,-2.3,-3,8.8
81,72,"2016-04-12","19-319","DET","","MIA",-6,0,"13:49",2,5,0.4,0,1,0,1,2,0.5,1,4,5,1,1,0,2,3,5,2.3,-10,13.8
82,73,"2016-04-13","19-320","DET","@","CLE",2,1,"31:32",4,14,0.286,1,3,0.333,3,4,0.75,2,6,8,2,3,1,1,5,12,8.7,-22,33
