"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","23-176","MIA","@","CLE",-10,0,"1:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,4,0
3,2,"2015-11-01","23-178","MIA","","HOU",20,0,"21:12",5,7,0.714,1,2,0.5,0,1,0,3,5,8,3,1,1,0,0,11,15.1,25,30
4,3,"2015-11-03","23-180","MIA","","ATL",-6,0,"20:36",3,6,0.5,0,1,0,1,2,0.5,1,1,2,1,2,0,1,1,7,5.9,-7,14.5
5,4,"2015-11-05","23-182","MIA","@","MIN",12,0,"25:26",2,4,0.5,1,2,0.5,3,4,0.75,1,3,4,3,0,0,1,5,8,6.3,-7,17.5
6,5,"2015-11-06","23-183","MIA","@","IND",-3,0,"18:49",2,5,0.4,1,2,0.5,1,2,0.5,0,1,1,2,1,0,1,2,6,3.8,1,12.3
7,6,"2015-11-08","23-185","MIA","","TOR",20,0,"22:46",4,5,0.8,2,2,1,0,0,NA,0,3,3,1,0,0,1,4,10,7.1,14,15.8
8,7,"2015-11-10","23-187","MIA","","LAL",13,0,"28:48",3,9,0.333,0,1,0,3,3,1,0,2,2,2,1,2,2,0,9,6.3,-10,19.5
9,8,"2015-11-12","23-189","MIA","","UTA",1,0,"29:29",8,12,0.667,1,1,1,0,0,NA,1,3,4,3,1,2,3,3,17,13.7,5,31.5
10,9,"2015-11-17","23-194","MIA","","MIN",-12,0,"18:24",1,6,0.167,0,2,0,1,1,1,1,1,2,1,0,0,1,2,3,-0.9,-8,6.5
11,10,"2015-11-19","23-196","MIA","","SAC",7,0,"25:04",6,8,0.75,3,4,0.75,4,4,1,1,2,3,3,1,0,1,1,19,18.8,8,30.3
12,11,"2015-11-21","23-198","MIA","","PHI",5,0,"17:19",2,6,0.333,0,2,0,0,1,0,0,0,0,1,0,0,1,1,4,-0.5,-17,5
13,12,"2015-11-23","23-200","MIA","","NYK",17,0,"20:35",3,5,0.6,1,1,1,5,6,0.833,2,1,3,1,1,1,1,0,12,12.4,16,21.3
14,13,"2015-11-25","23-202","MIA","@","DET",-23,0,"22:09",3,8,0.375,0,2,0,2,2,1,2,1,3,1,0,0,0,2,8,5.2,-5,13.3
15,14,"2015-11-27","23-204","MIA","@","NYK",19,0,"20:22",2,5,0.4,0,0,NA,2,2,1,0,0,0,2,1,0,2,1,6,3.3,2,10
16,15,"2015-11-30","23-207","MIA","","BOS",-10,0,"19:40",4,5,0.8,2,2,1,0,0,NA,1,0,1,2,1,0,1,1,10,9.8,-11,16.8
17,16,"2015-12-03","23-210","MIA","","OKC",2,0,"17:53",3,5,0.6,0,0,NA,2,3,0.667,1,0,1,3,2,0,0,3,8,8.9,-2,17.8
18,17,"2015-12-05","23-212","MIA","","CLE",15,0,"29:32",6,10,0.6,2,5,0.4,5,6,0.833,0,5,5,2,1,1,2,2,19,15.8,13,32.3
19,18,"2015-12-07","23-214","MIA","","WAS",-11,0,"22:43",1,4,0.25,1,1,1,2,2,1,1,0,1,1,0,0,1,0,5,3,-17,7.8
