"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","28-109","LAC","@","SAC",7,0,"10:36",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,1,0,0,0,3,3,-8,5.5
2,2,"2015-10-29","28-110","LAC","","DAL",16,0,"21:47",3,7,0.429,0,4,0,0,0,NA,1,6,7,0,0,1,0,2,6,4.7,3,16.8
3,3,"2015-10-31","28-112","LAC","","SAC",5,0,"11:24",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,3,0,-2.3,-13,1.3
4,4,"2015-11-02","28-114","LAC","","PHO",6,0,"14:03",4,5,0.8,0,1,0,1,1,1,0,3,3,0,0,0,0,1,9,7.6,15,12.8
5,5,"2015-11-04","28-116","LAC","@","GSW",-4,0,"10:24",2,2,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,3,5,3.2,-12,5.5
6,6,"2015-11-07","28-119","LAC","","HOU",-4,0,"9:18",2,3,0.667,0,1,0,1,2,0.5,1,0,1,1,1,1,0,1,5,6,-1,11.8
7,7,"2015-11-09","28-121","LAC","","MEM",2,0,"1:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
8,8,"2015-11-11","28-123","LAC","@","DAL",-10,0,"13:00",2,2,1,2,2,1,1,2,0.5,0,1,1,1,0,0,0,1,7,6.6,4,10.8
9,9,"2015-11-12","28-124","LAC","@","PHO",-14,0,"24:12",5,11,0.455,3,6,0.5,1,1,1,0,3,3,0,1,0,1,3,14,8,5,20.8
10,10,"2015-11-14","28-126","LAC","","DET",5,0,"13:01",0,2,0,0,1,0,0,0,NA,0,2,2,0,2,0,0,1,0,0.8,-1,6.5
11,11,"2015-11-19","28-131","LAC","","GSW",-7,0,"16:07",3,6,0.5,1,2,0.5,0,0,NA,1,1,2,1,1,0,0,1,7,6.3,-2,13.5
12,12,"2015-11-20","28-132","LAC","@","POR",-11,0,"22:02",2,3,0.667,0,1,0,0,0,NA,1,2,3,1,1,0,2,1,4,3.3,2,10.3
13,13,"2015-11-22","28-134","LAC","","TOR",-11,0,"18:08",3,6,0.5,2,5,0.4,0,0,NA,0,0,0,0,0,2,1,2,8,4.6,0,12.5
14,14,"2015-11-24","28-136","LAC","@","DEN",17,1,"24:33",4,6,0.667,3,4,0.75,0,0,NA,0,2,2,1,0,1,0,5,11,8.4,8,18.5
15,15,"2015-11-25","28-137","LAC","","UTA",-11,1,"19:42",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,3,3,0,-5.3,-2,-0.3
16,16,"2015-11-27","28-139","LAC","","NOP",21,1,"14:12",1,4,0.25,0,1,0,0,0,NA,0,2,2,0,0,0,0,4,2,-1.4,-2,4.5
17,17,"2015-11-29","28-141","LAC","","MIN",8,0,"4:12",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,5,1.3
18,18,"2015-11-30","28-142","LAC","","POR",15,0,"4:41",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,3,2.3,6,3.5
19,19,"2015-12-02","28-144","LAC","","IND",-12,0,"9:26",2,5,0.4,0,3,0,0,0,NA,0,1,1,0,1,0,0,1,4,2.2,2,7.3
20,20,"2015-12-05","28-147","LAC","","ORL",2,0,"35:39",6,12,0.5,6,12,0.5,3,5,0.6,1,6,7,2,2,1,1,2,21,19,12,41.3
21,21,"2015-12-07","28-149","LAC","@","MIN",4,0,"22:03",4,6,0.667,2,4,0.5,0,0,NA,1,1,2,1,1,2,0,2,10,10.7,12,21
22,22,"2015-12-09","28-151","LAC","@","MIL",14,0,"18:32",3,9,0.333,0,5,0,1,3,0.333,0,3,3,0,4,2,0,0,7,7.4,10,22.8
23,23,"2015-12-10","28-152","LAC","@","CHI",-3,0,"15:21",3,6,0.5,3,4,0.75,0,0,NA,2,2,4,0,0,0,0,0,9,8,-6,15.5
24,24,"2015-12-12","28-154","LAC","@","BRK",5,0,"18:01",2,5,0.4,1,3,0.333,0,0,NA,0,1,1,0,0,0,0,1,5,2.2,4,6.8
25,25,"2015-12-14","28-156","LAC","@","DET",2,0,"29:44",2,6,0.333,1,3,0.333,0,0,NA,1,3,4,0,3,0,1,3,5,4,-10,16
26,26,"2015-12-16","28-158","LAC","","MIL",13,0,"13:05",0,3,0,0,2,0,0,0,NA,0,1,1,0,0,1,1,2,0,-2.9,2,2.8
27,27,"2015-12-18","28-160","LAC","@","SAS",-8,0,"14:47",2,4,0.5,1,3,0.333,2,2,1,0,3,3,0,0,2,1,1,7,5.9,-7,14.8
28,28,"2015-12-19","28-161","LAC","@","HOU",-10,0,"9:03",2,7,0.286,1,4,0.25,0,0,NA,0,0,0,0,0,1,1,0,5,0.6,-1,7
29,29,"2015-12-21","28-163","LAC","","OKC",-1,0,"12:12",1,4,0.25,0,2,0,0,0,NA,1,0,1,1,0,0,0,0,2,1,7,4.8
30,30,"2015-12-25","28-167","LAC","@","LAL",10,0,"10:44",3,5,0.6,2,4,0.5,0,0,NA,0,1,1,0,0,1,1,1,8,5.3,-3,11.8
31,31,"2015-12-26","28-168","LAC","@","UTA",5,0,"15:28",4,8,0.5,1,4,0.25,0,0,NA,0,2,2,1,1,0,2,2,9,4.5,-1,14.5
32,32,"2015-12-28","28-170","LAC","@","WAS",17,0,"30:40",5,8,0.625,1,4,0.25,3,4,0.75,0,4,4,0,0,0,1,4,14,8.6,3,19
33,33,"2015-12-30","28-172","LAC","@","CHO",5,0,"20:46",1,4,0.25,0,3,0,0,2,0,1,0,1,2,2,1,0,4,2,2,-2,12.3
34,34,"2015-12-31","28-173","LAC","@","NOP",6,0,"27:15",3,10,0.3,1,7,0.143,0,0,NA,0,3,3,2,1,0,0,2,7,3.7,3,16.3
35,35,"2016-01-02","28-175","LAC","","PHI",31,1,"24:19",4,8,0.5,4,7,0.571,0,0,NA,0,2,2,1,4,2,1,2,12,12.9,19,29.5
36,36,"2016-01-06","28-179","LAC","@","POR",11,0,"23:48",1,7,0.143,1,4,0.25,2,2,1,0,7,7,1,0,1,1,1,5,2.6,-3,17.3
37,37,"2016-01-09","28-182","LAC","","CHO",14,0,"22:57",1,7,0.143,1,5,0.2,0,0,NA,1,3,4,0,1,1,0,4,3,0.2,-4,12.5
