"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-292","HOU","","DEN",-20,1,"28:32",6,13,0.462,0,2,0,3,5,0.6,4,2,6,0,1,1,2,4,15,9,-18,25.5
2,2,"2015-10-30","23-294","HOU","","GSW",-20,1,"18:09",2,7,0.286,0,1,0,0,0,NA,1,3,4,1,0,1,0,0,4,2.9,-6,12.5
8,3,"2015-11-11","23-306","HOU","","BRK",-8,0,"15:50",0,3,0,0,1,0,0,2,0,1,3,4,2,0,0,0,2,0,-0.7,-9,8
9,4,"2015-11-13","23-308","HOU","@","DEN",-9,0,"20:51",9,12,0.75,3,4,0.75,2,2,1,4,3,7,0,0,4,2,1,23,22.3,3,40.3
10,5,"2015-11-14","23-309","HOU","","DAL",-12,1,"41:39",10,15,0.667,1,3,0.333,2,4,0.5,0,6,6,1,1,3,2,4,23,17.7,-10,39.5
11,6,"2015-11-16","23-311","HOU","","BOS",-16,1,"27:57",7,14,0.5,0,1,0,1,4,0.25,3,5,8,4,1,0,1,2,15,12.4,6,32.5
12,7,"2015-11-18","23-313","HOU","","POR",5,1,"30:12",2,5,0.4,1,2,0.5,3,4,0.75,0,2,2,2,0,1,1,3,8,5.4,-7,15.5
13,8,"2015-11-20","23-315","HOU","@","MEM",-12,1,"28:45",4,12,0.333,1,2,0.5,1,4,0.25,1,3,4,1,1,0,1,2,10,3.5,5,18.5
14,9,"2015-11-21","23-316","HOU","","NYK",-5,1,"36:51",5,14,0.357,1,1,1,7,9,0.778,6,3,9,0,1,0,1,4,18,12.9,-9,31.3
15,10,"2015-11-25","23-320","HOU","","MEM",-9,1,"19:25",1,5,0.2,1,2,0.5,0,0,NA,0,4,4,1,0,1,3,0,3,-0.5,-10,10.5
16,11,"2015-11-27","23-322","HOU","","PHI",2,0,"24:05",2,5,0.4,1,2,0.5,0,0,NA,1,7,8,1,0,1,1,3,5,4.3,-14,18.5
17,12,"2015-11-29","23-324","HOU","@","NYK",5,0,"24:59",2,8,0.25,1,3,0.333,3,4,0.75,3,1,4,1,0,1,0,2,8,5.8,-14,17
18,13,"2015-11-30","23-325","HOU","@","DET",-11,0,"15:06",1,5,0.2,0,2,0,1,2,0.5,1,2,3,0,0,0,0,0,3,0.8,-18,6.8
19,14,"2015-12-02","23-327","HOU","","NOP",7,0,"24:42",6,12,0.5,1,2,0.5,2,4,0.5,1,3,4,1,1,2,0,0,15,12.9,-4,28
20,15,"2015-12-04","23-329","HOU","@","DAL",4,1,"32:18",7,12,0.583,0,0,NA,3,3,1,3,6,9,1,0,0,5,4,17,9.4,25,27.3
21,16,"2015-12-05","23-330","HOU","","SAC",7,0,"25:40",6,9,0.667,1,3,0.333,3,3,1,3,2,5,1,0,1,2,2,16,13.4,10,25.3
22,17,"2015-12-08","23-333","HOU","@","BRK",-5,0,"16:11",2,5,0.4,1,2,0.5,0,0,NA,1,2,3,2,1,0,0,2,5,5.2,-8,14.3
23,18,"2015-12-09","23-334","HOU","@","WAS",6,0,"20:02",1,4,0.25,0,0,NA,2,2,1,0,3,3,0,0,1,1,1,4,1.8,-3,9.3
24,19,"2015-12-12","23-337","HOU","","LAL",29,0,"23:26",4,13,0.308,1,2,0.5,0,0,NA,3,6,9,1,0,3,1,1,9,6.8,15,27.8
25,20,"2015-12-14","23-339","HOU","@","DEN",-6,1,"12:35",0,3,0,0,0,NA,0,0,NA,1,1,2,1,1,0,0,1,0,0.2,-9,6
26,21,"2015-12-15","23-340","HOU","@","SAC",-10,0,"12:40",0,0,NA,0,0,NA,1,2,0.5,1,3,4,0,0,0,1,3,1,0,-12,5.5
27,22,"2015-12-17","23-342","HOU","@","LAL",20,0,"20:35",5,7,0.714,1,2,0.5,5,6,0.833,0,4,4,2,0,1,1,0,16,15,-5,26
28,23,"2015-12-19","23-344","HOU","","LAC",10,0,"21:13",3,8,0.375,2,4,0.5,0,0,NA,0,6,6,0,0,0,1,1,8,4,-5,16
29,24,"2015-12-21","23-346","HOU","","CHO",7,0,"24:05",7,11,0.636,0,1,0,3,5,0.6,2,4,6,0,0,2,0,2,17,14.5,0,28.5
30,25,"2015-12-23","23-348","HOU","@","ORL",-3,0,"11:45",3,6,0.5,1,2,0.5,1,1,1,2,1,3,0,0,0,0,0,8,6.7,7,12.3
31,26,"2015-12-25","23-350","HOU","","SAS",4,0,"22:06",6,11,0.545,0,1,0,2,2,1,0,6,6,0,1,0,0,0,14,11.5,4,23.5
32,27,"2015-12-26","23-351","HOU","@","NOP",-2,0,"21:40",4,12,0.333,1,1,1,4,6,0.667,2,3,5,1,2,0,1,2,13,8.6,15,24.8
34,28,"2015-12-31","23-356","HOU","","GSW",-4,0,"14:34",1,6,0.167,0,2,0,0,0,NA,1,1,2,0,1,1,0,3,2,-0.3,-24,8.5
35,29,"2016-01-02","23-358","HOU","@","SAS",-18,0,"26:32",3,7,0.429,0,2,0,2,2,1,0,2,2,3,0,0,3,4,8,2.4,-36,13.5
36,30,"2016-01-04","23-360","HOU","@","UTA",2,0,"15:16",0,1,0,0,0,NA,2,2,1,0,1,1,0,1,0,1,0,2,1.6,-4,4.8
37,31,"2016-01-07","23-363","HOU","","UTA",9,1,"32:07",6,10,0.6,0,1,0,2,2,1,1,7,8,2,0,0,0,0,14,13.6,9,27
