"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
7,1,"2015-11-10","19-184","MIN","","CHO",-9,0,"12:31",0,4,0,0,0,NA,1,2,0.5,0,1,1,1,1,0,0,1,1,-0.6,-23,5.8
8,2,"2015-11-12","19-186","MIN","","GSW",-13,0,"1:11",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-4,0
29,3,"2015-12-23","19-227","MIN","","SAS",-25,0,"19:49",3,7,0.429,0,1,0,0,0,NA,0,1,1,2,2,0,1,0,6,5,-11,13.8
30,4,"2015-12-26","19-230","MIN","","IND",-14,0,"11:24",0,1,0,0,0,NA,0,0,NA,0,3,3,1,0,1,0,1,0,1.2,-13,7.3
31,5,"2015-12-28","19-232","MIN","@","SAS",-6,0,"11:26",1,2,0.5,0,0,NA,0,0,NA,0,0,0,2,0,0,3,2,2,-1.4,-8,3.5
32,6,"2015-12-30","19-234","MIN","","UTA",14,0,"12:15",2,4,0.5,1,1,1,0,0,NA,0,1,1,2,1,0,1,1,5,4.3,0,11.3
33,7,"2015-12-31","19-235","MIN","@","DET",-25,0,"13:09",2,5,0.4,1,1,1,0,0,NA,0,5,5,4,0,0,1,1,5,5.2,0,17.3
34,8,"2016-01-02","19-237","MIN","","MIL",-10,0,"14:30",2,6,0.333,0,0,NA,2,3,0.667,3,1,4,2,0,0,1,0,6,5,-19,13.5
35,9,"2016-01-04","19-239","MIN","@","PHI",-10,0,"1:47",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,2,0.7,-5,1.5
53,10,"2016-02-08","19-274","MIN","","NOP",-14,0,"12:00",1,5,0.2,0,1,0,1,1,1,0,3,3,5,0,0,0,0,3,4.3,11,14.3
55,11,"2016-02-19","19-285","MIN","@","MEM",-5,0,"13:41",1,3,0.333,1,1,1,2,2,1,0,0,0,2,0,0,1,1,5,3.3,-3,8
57,12,"2016-02-22","19-288","MIN","","BOS",2,0,"15:59",4,7,0.571,1,2,0.5,0,0,NA,1,1,2,1,1,0,1,2,9,6.6,-9,15
58,13,"2016-02-24","19-290","MIN","@","TOR",-9,0,"11:48",1,3,0.333,0,0,NA,2,2,1,0,0,0,3,1,0,0,1,4,5,-2,10.5
59,14,"2016-02-27","19-293","MIN","@","NOP",2,0,"12:30",2,4,0.5,2,3,0.667,1,2,0.5,1,2,3,3,0,0,1,0,7,7,-5,15.8
60,15,"2016-02-28","19-294","MIN","@","DAL",-27,0,"23:07",2,9,0.222,2,4,0.5,1,1,1,0,3,3,6,2,0,0,0,7,8.6,1,24.8
61,16,"2016-03-02","19-297","MIN","","WAS",-6,0,"10:06",1,4,0.25,1,3,0.333,0,0,NA,0,0,0,0,0,0,1,0,3,-0.4,-16,3
62,17,"2016-03-04","19-299","MIN","@","MIL",-15,0,"24:05",1,3,0.333,0,1,0,0,0,NA,1,4,5,5,2,0,2,0,2,5.7,7,18.8
63,18,"2016-03-05","19-300","MIN","","BRK",14,0,"15:47",3,5,0.6,2,3,0.667,1,1,1,0,1,1,2,0,0,1,3,9,6.2,-6,13.8
64,19,"2016-03-07","19-302","MIN","@","CHO",-5,0,"13:39",1,3,0.333,0,0,NA,0,0,NA,0,1,1,4,1,0,1,0,2,3.4,-18,10.8
65,20,"2016-03-08","19-303","MIN","","SAS",-25,0,"26:47",4,7,0.571,2,4,0.5,0,0,NA,0,0,0,6,0,0,0,1,10,10.5,1,20
66,21,"2016-03-11","19-306","MIN","@","OKC",3,0,"12:05",2,7,0.286,1,4,0.25,0,0,NA,0,0,0,1,0,0,0,0,5,1.6,-13,7
67,22,"2016-03-14","19-309","MIN","@","PHO",-3,0,"11:34",0,3,0,0,1,0,0,0,NA,0,1,1,1,1,0,2,2,0,-2.9,-15,3.8
68,23,"2016-03-16","19-311","MIN","@","MEM",6,0,"19:11",3,4,0.75,0,1,0,4,6,0.667,0,0,0,5,1,2,2,0,10,11.5,10,22.5
69,24,"2016-03-18","19-313","MIN","@","HOU",-5,0,"15:38",1,4,0.25,0,1,0,0,0,NA,0,2,2,4,0,0,0,1,2,2.6,7,10.5
70,25,"2016-03-21","19-316","MIN","","GSW",-5,0,"15:09",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,2,0,-3.2,-6,-0.5
71,26,"2016-03-23","19-318","MIN","","SAC",9,0,"21:38",1,5,0.2,0,1,0,1,2,0.5,0,0,0,5,3,0,2,1,3,3.6,-4,15.5
72,27,"2016-03-25","19-320","MIN","@","WAS",3,0,"13:31",3,6,0.5,0,1,0,2,2,1,0,0,0,6,2,0,1,2,8,9.4,-7,20.5
73,28,"2016-03-26","19-321","MIN","","UTA",-9,0,"17:26",2,7,0.286,0,1,0,4,4,1,0,2,2,2,1,0,2,1,8,4.5,-16,14.5
74,29,"2016-03-28","19-323","MIN","","PHO",5,0,"13:46",1,3,0.333,0,2,0,1,2,0.5,0,0,0,2,2,0,2,0,3,2.3,-2,9
75,30,"2016-03-30","19-325","MIN","","LAC",-20,0,"22:49",1,10,0.1,0,7,0,0,0,NA,0,0,0,2,0,0,0,3,2,-4.4,2,5
76,31,"2016-04-01","19-327","MIN","@","UTA",-13,0,"5:45",0,1,0,0,1,0,0,0,NA,1,0,1,1,1,0,2,0,0,-0.3,8,3.8
77,32,"2016-04-03","19-329","MIN","","DAL",-10,0,"13:56",0,1,0,0,1,0,1,2,0.5,0,1,1,0,0,0,0,1,1,-0.2,-17,2.3
78,33,"2016-04-05","19-331","MIN","@","GSW",7,0,"19:10",3,4,0.75,0,0,NA,1,2,0.5,0,0,0,5,1,0,0,1,7,9.1,19,16.5
