"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-099","LAC","@","SAC",7,1,"27:06",4,6,0.667,0,0,NA,0,3,0,2,10,12,1,0,4,1,5,8,9.1,15,32
2,2,"2015-10-29","27-100","LAC","","DAL",16,1,"25:52",2,2,1,0,0,NA,2,8,0.25,2,13,15,2,0,4,1,1,6,11.1,11,35.3
3,3,"2015-10-31","27-102","LAC","","SAC",5,1,"35:41",5,6,0.833,0,0,NA,5,12,0.417,3,15,18,1,1,7,1,1,15,21.8,24,56
4,4,"2015-11-02","27-104","LAC","","PHO",6,1,"31:53",3,3,1,0,0,NA,1,2,0.5,0,9,9,0,1,3,1,3,7,9.3,10,25.8
5,5,"2015-11-04","27-106","LAC","@","GSW",-4,1,"34:16",5,7,0.714,0,0,NA,1,4,0.25,5,8,13,1,0,2,3,3,11,10.7,10,32.8
6,6,"2015-11-07","27-109","LAC","","HOU",-4,1,"33:47",4,6,0.667,0,0,NA,3,7,0.429,4,10,14,2,0,3,3,4,11,11.5,-3,37.5
7,7,"2015-11-09","27-111","LAC","","MEM",2,1,"35:38",6,9,0.667,0,0,NA,1,2,0.5,4,8,12,1,0,4,1,4,13,14.8,-12,38.5
8,8,"2015-11-11","27-113","LAC","@","DAL",-10,1,"27:04",3,5,0.6,0,0,NA,3,9,0.333,2,9,11,0,0,1,2,5,9,5.1,-23,23.8
9,9,"2015-11-12","27-114","LAC","@","PHO",-14,1,"27:00",3,5,0.6,0,0,NA,5,13,0.385,2,7,9,1,0,1,1,1,11,9,-27,25.3
10,10,"2015-11-14","27-116","LAC","","DET",5,1,"38:23",5,7,0.714,0,0,NA,0,0,NA,3,13,16,2,1,1,1,6,10,12.8,8,38
11,11,"2015-11-19","27-121","LAC","","GSW",-7,1,"38:53",2,4,0.5,0,0,NA,5,8,0.625,4,6,10,1,1,0,1,5,9,9.1,3,24.5
12,12,"2015-11-20","27-122","LAC","@","POR",-11,1,"34:29",5,6,0.833,0,0,NA,2,6,0.333,5,10,15,1,0,2,1,3,12,14.6,-14,37.3
13,13,"2015-11-22","27-124","LAC","","TOR",-11,1,"39:05",6,9,0.667,0,0,NA,1,4,0.25,3,12,15,1,1,5,1,1,13,17.4,-2,46.3
14,14,"2015-11-24","27-126","LAC","@","DEN",17,1,"26:51",3,4,0.75,0,0,NA,12,25,0.48,3,8,11,3,1,4,0,4,18,20,18,47.8
15,15,"2015-11-25","27-127","LAC","","UTA",-11,1,"31:50",3,7,0.429,0,0,NA,2,4,0.5,6,5,11,0,3,4,3,3,8,10.8,-11,34.3
16,16,"2015-11-27","27-129","LAC","","NOP",21,1,"24:36",4,5,0.8,0,0,NA,0,0,NA,2,9,11,1,0,1,0,4,8,10,21,25.3
17,17,"2015-11-29","27-131","LAC","","MIN",8,1,"32:42",3,3,1,0,0,NA,3,12,0.25,1,8,9,1,1,1,0,4,9,8.4,5,25.8
18,18,"2015-11-30","27-132","LAC","","POR",15,1,"33:01",3,6,0.5,0,0,NA,12,34,0.353,9,15,24,1,1,2,0,4,18,18.5,21,57
19,19,"2015-12-02","27-134","LAC","","IND",-12,1,"28:06",0,4,0,0,0,NA,2,8,0.25,6,9,15,0,0,0,2,4,2,0.1,-4,19.8
20,20,"2015-12-05","27-137","LAC","","ORL",2,1,"36:44",7,10,0.7,0,0,NA,1,3,0.333,5,9,14,0,0,1,0,0,15,16.9,7,36
21,21,"2015-12-07","27-139","LAC","@","MIN",4,1,"34:13",8,9,0.889,0,0,NA,4,6,0.667,6,6,12,0,2,4,1,4,20,24.3,-2,48
