"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
6,1,"2015-11-05","33-191","POR","","MEM",19,0,"3:34",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,-5,0
10,2,"2015-11-13","33-199","POR","@","MEM",-1,1,"23:41",4,6,0.667,0,0,NA,0,0,NA,1,3,4,3,0,0,3,3,8,4.9,-10,16
12,3,"2015-11-16","33-202","POR","@","SAS",-13,1,"19:53",1,7,0.143,0,0,NA,0,0,NA,1,3,4,1,0,0,0,2,2,-1,-3,8.5
32,4,"2015-12-26","33-242","POR","","CLE",29,0,"5:58",2,4,0.5,0,0,NA,0,0,NA,1,0,1,0,0,0,1,1,4,1.3,1,4.8
41,5,"2016-01-13","33-260","POR","","UTA",14,0,"1:54",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1,-2,2
46,6,"2016-01-23","33-270","POR","","LAL",18,0,"3:43",1,2,0.5,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,2,1.7,-2,3.5
47,7,"2016-01-26","33-273","POR","","SAC",15,0,"3:22",1,4,0.25,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,2,-1.4,-5,1.5
50,8,"2016-02-02","33-280","POR","","MIL",12,0,"1:50",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
55,9,"2016-02-19","33-297","POR","","GSW",32,0,"4:45",0,2,0,0,2,0,0,0,NA,0,2,2,0,0,0,0,1,0,-1.2,-6,2.5
64,10,"2016-03-06","33-313","POR","@","DET",-20,0,"2:54",1,1,1,1,1,1,0,0,NA,0,1,1,1,0,0,0,0,3,3.7,1,6.3
67,11,"2016-03-12","33-319","POR","","ORL",37,0,"7:54",1,2,0.5,0,0,NA,0,0,NA,0,2,2,2,0,0,0,1,2,2.6,9,7.5
68,12,"2016-03-14","33-321","POR","@","OKC",-34,0,"9:35",2,3,0.667,0,0,NA,1,1,1,0,2,2,1,1,0,1,1,5,4.6,2,10.5
69,13,"2016-03-17","33-324","POR","@","SAS",-8,0,"14:55",5,6,0.833,0,0,NA,2,2,1,3,2,5,1,0,1,1,2,12,12.1,-8,21.3
70,14,"2016-03-18","33-325","POR","@","NOP",5,0,"1:21",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-0.5,-1,1.3
77,15,"2016-04-02","33-340","POR","","MIA",17,0,"4:16",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,2,1,-5,2.8
79,16,"2016-04-05","33-343","POR","@","SAC",8,0,"2:11",0,0,NA,0,0,NA,0,0,NA,1,0,1,1,0,0,0,2,0,0.6,6,2.8
