"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","22-004","BRK","@","SAS",-27,0,"2:21",0,0,NA,0,0,NA,2,2,1,0,0,0,0,0,0,1,0,2,1,0,1.5
5,2,"2015-11-04","22-009","BRK","@","ATL",-14,0,"1:37",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
7,3,"2015-11-07","22-012","BRK","@","MIL",-8,0,"1:44",0,0,NA,0,0,NA,2,2,1,0,1,1,0,0,0,0,0,2,2.3,7,3.3
13,4,"2015-11-20","22-025","BRK","@","BOS",-25,0,"24:03",2,4,0.5,1,3,0.333,0,0,NA,0,0,0,1,1,0,1,3,5,2.5,-10,8.5
14,5,"2015-11-22","22-027","BRK","","BOS",10,0,"9:32",0,1,0,0,1,0,0,0,NA,0,3,3,0,0,0,0,0,0,0.2,6,3.8
15,6,"2015-11-25","22-030","BRK","@","OKC",-11,0,"7:39",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,3,0
16,7,"2015-11-28","22-033","BRK","@","CLE",-2,0,"2:32",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
17,8,"2015-11-29","22-034","BRK","","DET",4,0,"5:42",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-5,1.3
19,9,"2015-12-04","22-039","BRK","@","NYK",-17,0,"8:28",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.4,8,0
24,10,"2015-12-14","22-049","BRK","","ORL",-23,0,"4:05",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,1,0,0,-0.3,0,1
30,11,"2015-12-26","22-061","BRK","","WAS",-15,0,"2:51",1,1,1,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,2,2.3,4,4.5
35,12,"2016-01-06","22-072","BRK","","TOR",-17,0,"2:35",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,1,0,0,-0.3,-1,1
37,13,"2016-01-09","22-075","BRK","@","DET",-14,0,"4:46",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-2,-0.5
38,14,"2016-01-11","22-077","BRK","","SAS",-27,0,"4:41",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,-6,3.3
39,15,"2016-01-13","22-079","BRK","","NYK",6,0,"8:31",0,0,NA,0,0,NA,0,0,NA,1,1,2,0,0,0,1,3,0,-1.2,-5,2
40,16,"2016-01-15","22-081","BRK","","POR",-12,0,"5:21",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-13,0
41,17,"2016-01-16","22-082","BRK","@","ATL",-28,0,"2:47",0,0,NA,0,0,NA,2,2,1,1,1,2,0,0,0,0,0,2,3,-1,4.5
43,18,"2016-01-20","22-086","BRK","","CLE",-13,0,"6:22",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-0.1,-3,2.5
44,19,"2016-01-22","22-088","BRK","","UTA",-22,0,"9:35",4,5,0.8,1,2,0.5,0,0,NA,0,1,1,1,0,0,0,0,9,8.1,7,12.3
45,20,"2016-01-24","22-090","BRK","","OKC",10,0,"5:41",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,2,0.3,1,2.8
