"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-28","30-173","CLE","@","MEM",30,0,"5:59",0,0,NA,0,0,NA,0,0,NA,1,0,1,1,1,1,1,3,0,0.9,1,6.3
3,2,"2015-10-30","30-175","CLE","","MIA",10,0,"1:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-4,0
13,3,"2015-11-21","30-197","CLE","","ATL",12,0,"1:41",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
14,4,"2015-11-23","30-199","CLE","","ORL",14,0,"1:03",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0.7,-1,1.3
20,5,"2015-12-05","30-211","CLE","@","MIA",-15,0,"8:27",1,2,0.5,0,0,NA,2,2,1,2,1,3,0,0,0,1,1,4,3.3,10,7.3
22,6,"2015-12-11","30-217","CLE","@","ORL",35,0,"6:05",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,1,0,0,0,5,1.5
25,7,"2015-12-20","30-226","CLE","","PHI",22,0,"5:56",2,3,0.667,0,0,NA,0,0,NA,2,0,2,0,0,0,1,1,4,2.7,-11,6
28,8,"2015-12-26","30-232","CLE","@","POR",-29,0,"5:58",0,0,NA,0,0,NA,0,0,NA,1,1,2,1,0,1,2,0,0,0.4,-1,5
38,9,"2016-01-15","30-252","CLE","@","HOU",14,0,"2:09",0,0,NA,0,0,NA,0,2,0,1,0,1,0,0,0,0,0,0,-0.1,-4,1.3
51,10,"2016-02-08","30-276","CLE","","SAC",20,0,"3:02",0,0,NA,0,0,NA,1,2,0.5,0,1,1,0,0,0,0,1,1,0.5,-4,2.3
53,11,"2016-02-18","30-286","CLE","","CHI",11,0,"2:35",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-7,0
54,12,"2016-02-21","30-289","CLE","@","OKC",23,0,"2:39",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,2,0
55,13,"2016-02-22","30-290","CLE","","DET",-8,0,"0:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
56,14,"2016-02-24","30-292","CLE","","CHO",11,0,"0:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
60,15,"2016-03-04","30-301","CLE","","WAS",25,0,"4:19",1,1,1,0,0,NA,0,1,0,1,2,3,0,0,1,0,1,2,2.9,-3,7.8
61,16,"2016-03-05","30-302","CLE","","BOS",17,0,"1:26",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,2,2
64,17,"2016-03-10","30-307","CLE","@","LAL",12,0,"0:57",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
65,18,"2016-03-13","30-310","CLE","@","LAC",24,0,"2:08",0,1,0,0,0,NA,0,0,NA,1,1,2,0,0,0,1,0,0,-0.7,-1,2
66,18,"2016-03-14","30-311","CLE","@","UTA",-9,0,"0:00",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,0,NA
69,19,"2016-03-19","30-316","CLE","@","MIA",-21,0,"2:40",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,2,1
70,20,"2016-03-21","30-318","CLE","","DEN",33,0,"5:18",2,2,1,0,0,NA,0,0,NA,0,2,2,1,1,0,0,0,4,5.7,5,10
73,21,"2016-03-26","30-323","CLE","@","NYK",14,0,"1:14",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
79,22,"2016-04-06","30-334","CLE","@","IND",-14,0,"5:08",1,1,1,0,0,NA,0,0,NA,0,3,3,0,0,0,0,0,2,2.6,4,5.8
81,23,"2016-04-11","30-339","CLE","","ATL",15,0,"1:34",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
82,24,"2016-04-13","30-341","CLE","","DET",-2,0,"23:01",1,6,0.167,0,0,NA,0,0,NA,2,3,5,0,1,2,0,0,2,2.9,5,14.3
