"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","23-153","CHO","@","ATL",-3,0,"14:38",4,8,0.5,3,5,0.6,0,0,NA,0,2,2,1,0,2,1,0,11,8.7,-9,20
3,2,"2015-11-01","23-155","CHO","","ATL",-2,0,"18:16",4,11,0.364,1,4,0.25,0,0,NA,0,4,4,2,0,2,0,1,9,6.5,-5,21.5
4,3,"2015-11-03","23-157","CHO","","CHI",25,0,"25:34",9,10,0.9,2,3,0.667,0,1,0,0,4,4,3,2,0,1,0,20,20.5,22,34
5,4,"2015-11-05","23-159","CHO","@","DAL",14,0,"24:05",7,11,0.636,2,4,0.5,0,0,NA,2,2,4,0,0,0,0,2,16,12.3,3,22
6,5,"2015-11-07","23-161","CHO","@","SAS",-20,0,"23:11",2,8,0.25,0,3,0,0,2,0,2,2,4,0,0,0,2,2,4,-2.4,-29,8
7,6,"2015-11-10","23-164","CHO","@","MIN",9,0,"22:55",8,10,0.8,2,3,0.667,0,0,NA,0,4,4,0,1,0,1,1,18,15,13,25.5
8,7,"2015-11-11","23-165","CHO","","NYK",2,0,"23:42",6,10,0.6,2,4,0.5,0,0,NA,0,4,4,0,2,0,1,0,14,11.6,13,23.5
9,8,"2015-11-13","23-167","CHO","@","CHI",-5,0,"32:00",5,14,0.357,2,7,0.286,3,4,0.75,2,7,9,2,0,0,1,2,15,9.9,-12,29.8
10,9,"2015-11-15","23-169","CHO","","POR",12,0,"27:56",6,10,0.6,1,5,0.2,0,0,NA,0,5,5,3,0,2,1,2,13,11.6,21,27.8
11,10,"2015-11-17","23-171","CHO","@","NYK",-8,0,"22:52",5,7,0.714,0,2,0,2,2,1,1,5,6,3,0,0,0,2,12,12.6,11,24
12,11,"2015-11-18","23-172","CHO","","BRK",5,0,"21:26",2,7,0.286,0,2,0,2,2,1,0,3,3,1,0,1,0,0,6,4.2,6,13.3
13,12,"2015-11-20","23-174","CHO","","PHI",25,0,"30:09",4,10,0.4,2,4,0.5,3,3,1,0,3,3,2,1,0,1,3,13,8.7,14,22.3
14,13,"2015-11-23","23-177","CHO","","SAC",5,0,"25:54",5,9,0.556,0,2,0,1,2,0.5,0,5,5,2,1,0,1,5,11,7.2,-11,21.8
15,14,"2015-11-25","23-179","CHO","","WAS",14,0,"31:48",6,12,0.5,2,5,0.4,4,4,1,0,7,7,3,1,1,3,2,18,14.1,18,34.8
16,15,"2015-11-27","23-181","CHO","","CLE",-5,0,"23:46",5,12,0.417,0,2,0,1,3,0.333,1,7,8,0,0,1,1,2,11,5.5,-8,22.5
17,16,"2015-11-29","23-183","CHO","","MIL",5,0,"27:16",5,10,0.5,3,6,0.5,1,2,0.5,1,8,9,2,0,0,0,0,14,13.1,21,29.8
18,17,"2015-12-02","23-186","CHO","","GSW",-17,0,"21:16",5,13,0.385,2,5,0.4,1,2,0.5,2,2,4,0,0,0,2,0,13,5.5,-8,18
19,18,"2015-12-05","23-189","CHO","@","CHI",6,0,"22:24",4,10,0.4,0,2,0,2,2,1,1,0,1,1,0,0,0,1,10,5.6,0,12.8
