"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
31,1,"2015-12-23","32-095","PHI","@","MIL",-13,0,"12:59",2,6,0.333,0,0,NA,6,8,0.75,2,3,5,1,1,1,1,1,10,9.1,5,21.3
32,2,"2015-12-26","32-098","PHI","@","PHO",7,0,"22:52",7,10,0.7,0,0,NA,2,2,1,2,6,8,0,1,0,2,3,16,12.8,18,27
33,3,"2015-12-28","32-100","PHI","@","UTA",-4,1,"8:23",0,3,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-2.1,-9,0
36,4,"2016-01-02","32-105","PHI","@","LAC",-31,0,"16:01",4,7,0.571,0,0,NA,3,6,0.5,1,3,4,1,2,0,1,2,11,9,-5,21
37,5,"2016-01-04","32-107","PHI","","MIN",10,0,"22:22",8,11,0.727,0,0,NA,0,0,NA,3,1,4,1,0,1,0,0,16,15.3,19,24.5
38,6,"2016-01-07","32-110","PHI","","ATL",-28,0,"6:23",3,5,0.6,0,0,NA,0,1,0,1,2,3,0,0,0,1,1,6,3.2,-8,9.3
39,7,"2016-01-09","32-112","PHI","","TOR",-13,0,"12:39",5,6,0.833,1,1,1,0,0,NA,1,2,3,0,0,0,0,2,11,9.3,-6,15.3
40,8,"2016-01-10","32-113","PHI","","CLE",-10,0,"9:00",1,3,0.333,0,0,NA,1,2,0.5,0,0,0,0,0,0,1,5,3,-2.1,-5,2.5
41,9,"2016-01-14","32-117","PHI","","CHI",-4,1,"19:09",4,8,0.5,0,1,0,0,0,NA,0,3,3,1,0,1,2,4,8,2.7,12,14.3
42,10,"2016-01-16","32-119","PHI","","POR",25,0,"7:08",0,0,NA,0,0,NA,3,4,0.75,0,0,0,0,1,0,0,1,3,3.2,-6,5
43,11,"2016-01-18","32-121","PHI","@","NYK",-6,0,"4:12",1,2,0.5,0,0,NA,0,0,NA,0,2,2,0,0,0,1,0,2,0.6,-3,4
49,12,"2016-02-03","32-137","PHI","","ATL",-38,0,"14:47",3,7,0.429,0,1,0,0,0,NA,0,2,2,1,0,2,0,1,6,4.6,-18,14
50,13,"2016-02-05","32-139","PHI","@","WAS",-12,0,"1:32",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,-4,3.3
53,14,"2016-02-10","32-144","PHI","","SAC",-4,0,"5:52",1,3,0.333,0,0,NA,0,0,NA,2,1,3,1,0,0,1,1,2,1.3,14,6.8
54,15,"2016-02-19","32-153","PHI","@","NOP",-7,0,"8:07",0,1,0,0,0,NA,0,0,NA,1,0,1,2,0,0,1,0,0,0.4,3,3.8
55,16,"2016-02-21","32-155","PHI","@","DAL",-26,0,"6:17",0,1,0,0,0,NA,1,2,0.5,0,0,0,0,0,1,0,0,1,0.6,-1,3
57,17,"2016-02-24","32-158","PHI","@","DET",-20,0,"9:45",4,5,0.8,0,1,0,2,2,1,0,5,5,2,0,0,1,2,10,9.2,8,18.8
60,18,"2016-02-29","32-163","PHI","@","WAS",-8,0,"18:15",6,8,0.75,0,0,NA,3,5,0.6,1,1,2,0,0,0,1,5,15,9,-7,17
61,19,"2016-03-02","32-165","PHI","","CHO",-20,0,"13:40",3,6,0.5,0,0,NA,3,4,0.75,0,3,3,0,1,0,0,1,9,7.1,-1,14.8
62,20,"2016-03-04","32-167","PHI","","MIA",-10,1,"9:33",0,4,0,0,0,NA,3,4,0.75,2,1,3,1,0,0,0,5,3,0.2,-13,8.3
63,21,"2016-03-06","32-169","PHI","@","MIA",-5,1,"26:11",8,16,0.5,0,0,NA,2,6,0.333,5,2,7,0,1,0,0,3,18,12.3,-21,28.8
64,22,"2016-03-09","32-172","PHI","","HOU",-14,0,"9:18",0,2,0,0,0,NA,6,8,0.75,3,3,6,0,0,0,1,1,6,5.4,0,13
65,23,"2016-03-11","32-174","PHI","","BRK",6,0,"25:12",7,9,0.778,0,0,NA,2,2,1,1,7,8,1,0,0,1,2,16,14.2,-1,27
66,24,"2016-03-12","32-175","PHI","","DET",-14,1,"24:35",7,13,0.538,1,2,0.5,3,4,0.75,2,4,6,1,1,0,0,2,18,14.8,-10,29.5
67,25,"2016-03-15","32-178","PHI","@","BRK",-17,1,"25:38",3,7,0.429,0,1,0,4,6,0.667,2,6,8,4,1,1,0,3,10,12,-5,30
68,26,"2016-03-17","32-180","PHI","","WAS",-5,0,"10:45",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-1.9,-15,1.3
69,27,"2016-03-18","32-181","PHI","","OKC",-14,0,"11:46",2,7,0.286,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,4,-0.1,0,4
70,28,"2016-03-20","32-183","PHI","","BOS",-15,0,"25:28",10,18,0.556,0,1,0,6,6,1,5,3,8,0,0,0,0,2,26,21,2,36
71,29,"2016-03-21","32-184","PHI","@","IND",-16,0,"21:57",2,6,0.333,0,0,NA,0,0,NA,1,6,7,0,0,2,1,4,4,1.9,-5,16.3
