"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-028","DEN","@","HOU",20,1,"21:33",4,5,0.8,1,1,1,2,2,1,2,5,7,1,0,1,1,3,11,11.2,16,23.3
2,2,"2015-10-30","24-030","DEN","","MIN",-17,1,"16:15",4,7,0.571,0,1,0,2,2,1,3,2,5,2,0,0,0,3,10,9.6,-5,19.3
3,3,"2015-11-01","24-032","DEN","@","OKC",-24,1,"18:50",4,6,0.667,2,2,1,1,1,1,2,5,7,3,1,0,1,3,11,12.2,-17,26.8
17,4,"2015-11-28","24-059","DEN","@","DAL",-11,0,"8:19",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,1,2,0,-1.9,-7,2
18,5,"2015-11-30","24-061","DEN","@","MIL",-18,0,"19:05",3,9,0.333,0,0,NA,1,2,0.5,2,4,6,1,0,0,0,1,7,4.4,-8,16
19,6,"2015-12-02","24-063","DEN","@","CHI",-9,0,"21:21",3,13,0.231,1,1,1,4,4,1,1,6,7,2,0,1,0,2,11,6.9,-8,25.3
20,7,"2015-12-03","24-064","DEN","@","TOR",1,1,"24:33",6,9,0.667,0,1,0,2,2,1,1,9,10,1,0,1,0,2,14,14.1,0,31.5
21,8,"2015-12-05","24-066","DEN","@","PHI",3,1,"9:03",1,4,0.25,0,0,NA,0,0,NA,1,1,2,1,1,0,1,1,2,0.9,4,7.5
23,9,"2015-12-11","24-072","DEN","","MIN",3,1,"13:41",4,6,0.667,0,1,0,0,0,NA,0,3,3,0,0,0,0,2,8,5.5,-10,11.8
24,10,"2015-12-14","24-075","DEN","","HOU",6,1,"21:05",7,11,0.636,0,1,0,0,0,NA,4,7,11,1,0,0,2,4,14,11.1,-11,29.8
25,11,"2015-12-15","24-076","DEN","@","MIN",12,1,"16:00",4,5,0.8,1,1,1,2,2,1,1,6,7,1,0,0,2,2,11,9.5,8,20.8
26,12,"2015-12-18","24-079","DEN","@","UTA",-9,1,"26:59",5,12,0.417,2,4,0.5,0,0,NA,6,7,13,1,0,0,0,1,12,12.2,-4,32.3
27,13,"2015-12-20","24-081","DEN","","NOP",-5,1,"12:33",2,4,0.5,1,2,0.5,0,0,NA,0,2,2,1,0,1,0,2,5,4.2,-17,11.5
28,14,"2015-12-22","24-083","DEN","","LAL",-4,1,"16:05",0,4,0,0,1,0,0,0,NA,0,4,4,2,0,1,1,4,0,-2.1,-6,9.5
30,15,"2015-12-26","24-087","DEN","@","SAS",-15,1,"21:51",4,9,0.444,1,2,0.5,0,0,NA,1,5,6,1,0,0,0,0,9,7.2,-22,18.5
31,16,"2015-12-27","24-088","DEN","@","OKC",-10,1,"30:39",8,15,0.533,0,1,0,2,2,1,3,1,4,1,0,0,0,1,18,13.4,-14,24.5
32,17,"2015-12-29","24-090","DEN","","CLE",-6,1,"24:19",7,12,0.583,0,2,0,0,0,NA,3,4,7,3,1,0,4,1,14,10.4,-15,27.3
33,18,"2015-12-30","24-091","DEN","@","POR",-7,1,"22:37",4,11,0.364,1,2,0.5,3,3,1,1,5,6,3,2,0,2,2,12,9.4,-11,27.5
35,19,"2016-01-03","24-095","DEN","","POR",-6,0,"5:43",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-9,1.5
37,20,"2016-01-08","24-100","DEN","@","MEM",-7,0,"19:05",3,10,0.3,0,0,NA,0,1,0,3,4,7,0,0,0,2,5,6,-0.9,-2,13.8
38,21,"2016-01-10","24-102","DEN","","CHO",3,0,"8:16",0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,1,0,-0.5,-5,2.5
41,22,"2016-01-17","24-109","DEN","","IND",3,0,"15:21",2,5,0.4,1,2,0.5,0,0,NA,2,2,4,0,0,1,1,2,5,3.2,-2,12
42,23,"2016-01-19","24-111","DEN","","OKC",-6,0,"19:35",6,6,1,0,0,NA,0,0,NA,1,3,4,0,1,1,1,1,12,12.1,-9,20.5
43,24,"2016-01-21","24-113","DEN","","MEM",-1,0,"28:01",3,3,1,1,1,1,2,2,1,3,5,8,3,0,0,2,6,9,9.4,2,23
44,25,"2016-01-23","24-115","DEN","","DET",3,0,"16:10",2,3,0.667,0,1,0,0,1,0,1,3,4,1,0,0,1,2,4,2.8,-3,10
45,26,"2016-01-25","24-117","DEN","","ATL",-14,0,"15:00",2,4,0.5,0,1,0,4,4,1,0,4,4,0,1,0,2,1,8,5.8,-6,14
49,27,"2016-02-01","24-124","DEN","","TOR",19,0,"2:54",2,2,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,4,3.4,-4,4
