"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","30-025","MEM","","CLE",-30,1,"31:16",2,9,0.222,1,4,0.25,2,2,1,0,2,2,2,2,1,0,0,7,6.2,-12,19
2,2,"2015-10-29","30-026","MEM","@","IND",9,1,"29:14",4,9,0.444,0,4,0,2,2,1,1,1,2,1,1,0,1,1,10,6.6,9,15.5
3,3,"2015-10-31","30-028","MEM","","BRK",10,1,"33:38",4,9,0.444,1,3,0.333,6,6,1,1,0,1,1,2,0,1,0,15,12.7,5,21.8
4,4,"2015-11-02","30-030","MEM","@","GSW",-50,1,"24:37",2,11,0.182,0,5,0,2,3,0.667,1,2,3,0,1,0,0,3,6,-0.2,-44,11.8
5,5,"2015-11-03","30-031","MEM","@","SAC",14,1,"30:33",6,12,0.5,0,2,0,2,2,1,1,4,5,1,1,0,2,4,14,8,8,22.8
6,6,"2015-11-05","30-033","MEM","@","POR",-19,1,"30:06",6,10,0.6,3,6,0.5,3,4,0.75,1,1,2,0,1,0,0,0,18,15,-13,24
7,7,"2015-11-07","30-035","MEM","@","UTA",-10,1,"26:44",2,10,0.2,1,3,0.333,1,1,1,1,4,5,2,0,0,0,2,6,2.3,-15,15.8
8,8,"2015-11-09","30-037","MEM","@","LAC",-2,1,"29:30",2,6,0.333,0,1,0,2,2,1,0,2,2,5,3,0,1,5,6,6.7,11,21.5
9,9,"2015-11-11","30-039","MEM","","GSW",-16,1,"31:44",1,7,0.143,0,3,0,1,1,1,1,5,6,1,3,2,2,1,3,3.4,-5,21
10,10,"2015-11-13","30-041","MEM","","POR",1,1,"25:53",2,8,0.25,1,6,0.167,2,2,1,0,2,2,1,0,0,0,0,7,3.5,5,11.5
11,11,"2015-11-15","30-043","MEM","@","MIN",8,0,"28:12",3,7,0.429,1,1,1,0,0,NA,0,6,6,0,1,1,0,2,7,6,13,19
12,12,"2015-11-16","30-044","MEM","","OKC",8,0,"17:16",2,3,0.667,0,0,NA,2,2,1,0,1,1,2,1,0,1,1,6,6,14,11.8
13,13,"2015-11-20","30-048","MEM","","HOU",12,0,"31:59",3,7,0.429,0,3,0,0,0,NA,0,4,4,1,1,1,2,3,6,2.7,16,15.5
14,14,"2015-11-21","30-049","MEM","@","SAS",-10,0,"34:30",5,10,0.5,1,2,0.5,4,4,1,1,0,1,0,2,0,3,2,15,8.9,-10,19.3
15,15,"2015-11-24","30-052","MEM","","DAL",14,0,"17:55",0,5,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,1,0,-3.3,-2,2.5
16,16,"2015-11-25","30-053","MEM","@","HOU",9,0,"26:43",8,14,0.571,0,3,0,1,2,0.5,0,1,1,2,2,0,0,3,17,12.5,1,25.3
