"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","32-182","BOS","","PHI",17,1,"21:57",2,8,0.25,0,0,NA,4,4,1,1,4,5,5,0,1,2,3,8,6.1,-4,22.8
2,2,"2015-10-30","32-184","BOS","","TOR",-10,1,"17:02",2,5,0.4,0,0,NA,2,2,1,2,4,6,2,1,0,1,2,6,6.5,-9,18
3,3,"2015-11-01","32-186","BOS","","SAS",-8,1,"20:35",1,7,0.143,0,0,NA,0,0,NA,3,5,8,1,0,0,2,1,2,-0.6,0,12.5
4,4,"2015-11-04","32-189","BOS","@","IND",-2,0,"18:12",4,6,0.667,0,0,NA,2,3,0.667,2,4,6,1,0,0,1,2,10,8.5,5,18.5
5,5,"2015-11-06","32-191","BOS","","WAS",20,0,"12:39",1,4,0.25,0,0,NA,0,0,NA,0,3,3,0,1,0,1,3,2,-0.7,5,7.3
6,6,"2015-11-10","32-195","BOS","@","MIL",16,0,"21:01",5,7,0.714,0,0,NA,3,4,0.75,4,1,5,3,0,2,1,2,13,14.5,2,27.3
7,7,"2015-11-11","32-196","BOS","","IND",-11,0,"15:48",4,5,0.8,0,0,NA,5,7,0.714,2,4,6,0,0,0,1,2,13,11.1,-3,20
8,8,"2015-11-13","32-198","BOS","","ATL",13,0,"11:39",2,4,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,4,3,-4,6.8
9,9,"2015-11-15","32-200","BOS","@","OKC",15,0,"13:58",1,2,0.5,0,0,NA,2,2,1,0,2,2,2,1,0,3,3,4,1.8,8,10
10,10,"2015-11-16","32-201","BOS","@","HOU",16,0,"5:05",0,1,0,0,0,NA,0,0,NA,2,1,3,0,0,0,0,2,0,0.2,-6,3.8
11,11,"2015-11-18","32-203","BOS","","DAL",-4,0,"15:04",4,7,0.571,0,0,NA,6,6,1,0,1,1,1,0,0,1,2,14,9.9,-1,16.3
12,12,"2015-11-20","32-205","BOS","","BRK",25,0,"16:57",5,5,1,0,0,NA,1,2,0.5,0,3,3,3,1,1,3,3,11,9.6,6,21.8
13,13,"2015-11-22","32-207","BOS","@","BRK",-10,0,"7:02",0,3,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,1,0,-1.5,-10,2.5
14,14,"2015-11-24","32-209","BOS","@","ATL",-24,0,"25:04",5,9,0.556,0,0,NA,0,0,NA,0,6,6,3,2,0,3,4,10,7,4,24.5
15,15,"2015-11-25","32-210","BOS","","PHI",4,0,"4:37",0,1,0,0,0,NA,0,2,0,0,1,1,0,1,0,0,0,0,-0.2,-4,3.3
16,16,"2015-11-27","32-212","BOS","","WAS",33,0,"16:40",5,7,0.714,0,0,NA,2,2,1,4,2,6,4,0,0,3,1,12,11.9,7,24
17,17,"2015-11-29","32-214","BOS","@","ORL",-19,0,"21:18",5,6,0.833,0,0,NA,1,3,0.333,1,3,4,3,0,0,0,0,11,11.7,-15,20.5
18,18,"2015-11-30","32-215","BOS","@","MIA",10,0,"13:47",2,4,0.5,0,0,NA,0,0,NA,3,2,5,0,0,0,2,3,4,1.5,-11,9.3
19,19,"2015-12-03","32-218","BOS","@","SAC",17,0,"14:33",1,5,0.2,0,0,NA,0,0,NA,1,2,3,4,1,1,2,4,2,1.1,8,14.8
22,20,"2015-12-09","32-224","BOS","","CHI",5,0,"18:26",5,11,0.455,0,0,NA,2,2,1,2,4,6,2,1,0,1,2,12,9.5,6,24
23,21,"2015-12-11","32-226","BOS","","GSW",-5,0,"15:42",5,8,0.625,0,0,NA,0,0,NA,0,4,4,4,0,0,2,3,10,7.2,3,20
24,22,"2015-12-12","32-227","BOS","@","CHO",5,0,"17:53",4,12,0.333,0,0,NA,2,2,1,1,4,5,3,1,1,0,1,10,8.5,-19,24.8
25,23,"2015-12-15","32-230","BOS","","CLE",-12,0,"18:18",4,8,0.5,0,0,NA,0,0,NA,2,2,4,3,0,0,2,0,8,6.1,3,16.5
26,24,"2015-12-16","32-231","BOS","@","DET",-3,0,"7:41",2,6,0.333,0,0,NA,2,2,1,0,1,1,0,0,0,1,1,6,1.5,-5,6.8
27,25,"2015-12-18","32-233","BOS","","ATL",-8,0,"18:04",3,11,0.273,0,0,NA,0,0,NA,1,6,7,1,0,2,2,0,6,2.1,1,19.3
28,26,"2015-12-21","32-236","BOS","","MIN",14,1,"22:26",5,11,0.455,0,0,NA,3,4,0.75,5,3,8,3,0,1,3,3,13,9.9,7,28
29,27,"2015-12-23","32-238","BOS","@","CHO",13,0,"17:58",4,7,0.571,0,0,NA,2,2,1,2,5,7,3,0,2,0,2,10,12.3,-2,27.3
32,28,"2015-12-30","32-245","BOS","","LAL",-8,0,"15:19",3,5,0.6,0,1,0,0,0,NA,0,6,6,0,0,2,1,0,6,5.9,2,17
33,29,"2016-01-02","32-248","BOS","","BRK",-3,0,"9:38",1,5,0.2,0,0,NA,1,2,0.5,0,1,1,1,0,0,0,1,3,0.1,0,5.8
37,30,"2016-01-10","32-256","BOS","@","MEM",-3,0,"15:36",2,12,0.167,0,0,NA,0,0,NA,2,3,5,1,2,0,0,0,4,1.4,-12,15.8
56,31,"2016-02-24","32-301","DAL","","OKC",-13,0,"15:21",2,3,0.667,0,0,NA,0,1,0,1,3,4,2,1,0,1,3,4,4.1,5,13.5
57,32,"2016-02-26","32-303","DAL","","DEN",6,0,"25:04",6,10,0.6,0,0,NA,2,4,0.5,7,7,14,2,1,0,1,2,14,16.2,-9,37.5
58,33,"2016-02-28","32-305","DAL","","MIN",27,0,"22:04",6,9,0.667,0,0,NA,1,1,1,1,8,9,1,2,1,2,3,13,12.4,7,30.8
59,34,"2016-03-01","32-307","DAL","","ORL",13,0,"13:33",2,3,0.667,0,0,NA,3,4,0.75,0,4,4,2,0,2,1,5,7,6.3,10,18.5
60,35,"2016-03-03","32-309","DAL","","SAC",-3,0,"18:26",6,9,0.667,0,0,NA,0,0,NA,5,6,11,1,1,1,3,4,12,11.2,7,31.3
61,36,"2016-03-06","32-312","DAL","@","DEN",-2,0,"25:34",7,9,0.778,0,0,NA,4,4,1,3,9,12,3,0,4,1,3,18,22,1,46.5
62,37,"2016-03-07","32-313","DAL","","LAC",-19,0,"16:28",4,11,0.364,0,0,NA,5,6,0.833,4,4,8,0,0,0,1,2,13,8.7,-12,22.5
63,38,"2016-03-09","32-315","DAL","","DET",-6,0,"13:05",2,4,0.5,0,0,NA,0,0,NA,1,3,4,1,1,1,0,2,4,5.2,-14,14.5
64,39,"2016-03-12","32-318","DAL","","IND",-7,0,"19:11",5,6,0.833,0,0,NA,0,0,NA,2,6,8,1,0,1,1,4,10,9.8,0,23
65,40,"2016-03-14","32-320","DAL","@","CHO",11,0,"26:06",6,8,0.75,0,0,NA,0,0,NA,2,5,7,0,0,1,2,5,12,8.4,7,21.8
66,41,"2016-03-16","32-322","DAL","@","CLE",-1,0,"21:33",8,11,0.727,0,0,NA,4,4,1,1,2,3,1,0,0,0,2,20,16.7,2,25.3
67,42,"2016-03-18","32-324","DAL","","GSW",-18,0,"26:49",7,8,0.875,0,0,NA,2,2,1,7,9,16,0,0,1,1,2,16,19.7,-24,39
68,43,"2016-03-20","32-326","DAL","","POR",12,0,"15:30",1,2,0.5,0,0,NA,0,0,NA,3,5,8,2,0,1,2,2,2,3.9,-13,16
69,44,"2016-03-23","32-329","DAL","@","POR",-6,0,"13:21",2,5,0.4,0,0,NA,0,0,NA,3,2,5,0,0,0,1,1,4,2.6,-5,9.8
70,45,"2016-03-25","32-331","DAL","@","GSW",-8,1,"23:45",4,8,0.5,0,0,NA,4,7,0.571,2,7,9,6,1,0,2,3,12,12.3,-17,33.3
71,46,"2016-03-27","32-333","DAL","@","SAC",-22,0,"14:04",5,7,0.714,0,0,NA,2,2,1,2,4,6,2,0,0,1,2,12,11.3,-8,22
72,47,"2016-03-28","32-334","DAL","@","DEN",9,0,"3:52",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,0.6,-1,2.5
