"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-121","SAS","@","OKC",-6,1,"35:19",13,22,0.591,1,3,0.333,5,5,1,1,7,8,0,3,2,3,3,32,24.8,4,51
2,2,"2015-10-30","24-123","SAS","","BRK",27,1,"25:47",6,16,0.375,0,2,0,4,4,1,1,9,10,1,2,1,4,3,16,8.8,16,35.5
3,3,"2015-11-01","24-125","SAS","@","BOS",8,1,"34:17",8,18,0.444,1,3,0.333,2,2,1,0,5,5,2,2,1,2,2,19,12.4,3,33.8
4,4,"2015-11-02","24-126","SAS","@","NYK",10,1,"36:05",8,16,0.5,1,4,0.25,1,1,1,2,12,14,1,2,4,2,4,18,16.9,12,50
5,5,"2015-11-04","24-128","SAS","@","WAS",-3,1,"34:50",10,22,0.455,1,4,0.25,2,2,1,3,6,9,0,1,0,1,4,23,13.9,-12,36.3
6,6,"2015-11-07","24-131","SAS","","CHO",20,1,"34:06",10,16,0.625,2,4,0.5,1,2,0.5,0,4,4,2,2,0,0,3,23,18.8,11,36
7,7,"2015-11-09","24-133","SAS","@","SAC",18,1,"31:37",10,13,0.769,3,4,0.75,1,2,0.5,0,3,3,2,2,2,0,2,24,23.4,31,40.3
8,8,"2015-11-11","24-135","SAS","@","POR",12,1,"34:49",7,14,0.5,1,5,0.2,5,5,1,0,7,7,3,1,0,1,3,20,16,2,35.3
10,9,"2015-11-16","24-140","SAS","","POR",13,1,"30:47",8,15,0.533,3,5,0.6,0,1,0,2,7,9,3,2,2,0,1,19,19.9,4,44.3
11,10,"2015-11-18","24-142","SAS","","DEN",11,1,"36:49",8,16,0.5,3,4,0.75,1,1,1,1,7,8,3,2,1,0,2,20,18.8,8,42
12,11,"2015-11-20","24-144","SAS","@","NOP",-14,1,"36:37",9,20,0.45,3,5,0.6,1,2,0.5,0,5,5,2,1,1,0,2,22,15,-8,36.8
